gml_id,sa3_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a03,"11101","127","239","421","459","489","312","69","12","0","2121","86","179","341","339","403","261","85","25","3","1719","3372","4753","10178","11323","12258","8557","1586","164","16","52201",Lake Macquarie - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a04,"11102","99","170","320","308","321","199","42","9","0","1476","81","135","225","271","293","181","58","12","3","1265","1948","2817","6191","6621","6938","5214","1076","96","15","30909",Lake Macquarie - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a05,"11103","148","381","716","567","484","363","94","22","4","2778","127","297","585","503","477","313","101","34","8","2449","4009","8824","18546","16106","15227","10512","2014","252","27","75514",Newcastle
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a06,"11201","51","96","199","248","292","208","57","4","0","1159","85","98","263","371","331","284","116","29","20","1595","1770","1973","5237","7025","8053","6994","1814","224","51","33142",Richmond Valley - Coastal
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a07,"11202","48","116","194","183","245","184","62","4","0","1036","60","88","176","199","243","213","67","36","5","1086","1739","2217","4304","5359","6594","5866","1473","260","37","27847",Richmond Valley - Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a08,"11203","41","125","276","288","342","207","70","0","4","1362","112","139","286","334","359","299","99","36","13","1671","2203","2732","5818","7575","8594","7198","1669","220","37","36033",Tweed Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a09,"11301","55","113","171","140","137","111","27","8","3","763","85","103","181","161","183","165","59","23","7","971","1298","1839","4302","4117","4769","3781","1050","210","33","21399",Griffith - Murrumbidgee (West)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0a,"11302","13","21","34","25","31","25","14","0","0","166","16","24","46","51","68","54","27","13","0","292","281","417","998","1165","1399","1250","389","89","12","5996",Tumut - Tumbarumba
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0b,"11303","89","208","348","301","319","227","86","4","0","1583","100","150","319","257","310","234","86","36","13","1497","2991","4759","8726","8241","8742","6963","1889","342","49","42692",Wagga Wagga
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0c,"11401","58","141","290","287","296","215","68","8","0","1365","95","121","233","243","299","274","100","38","14","1416","2253","2962","6245","7037","8346","7129","1645","199","37","35854",Shoalhaven
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0d,"11402","46","88","166","162","191","140","47","8","0","849","41","74","105","174","223","187","90","22","7","920","1300","1429","3091","3882","4939","3997","1499","253","33","20414",Southern Highlands
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0e,"11501","100","232","409","492","549","421","136","7","0","2346","129","251","520","718","750","472","174","23","0","3042","3802","6873","11839","16730","17205","11871","3255","267","20","71857",Baulkham Hills
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a0f,"11502","53","76","94","114","141","115","39","6","0","642","36","56","85","102","168","102","46","15","3","601","850","1273","1746","2425","3304","2342","925","142","15","13023",Dural - Wisemans Ferry
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a10,"11503","40","93","114","124","135","109","18","0","0","635","50","58","107","127","171","85","41","14","0","648","797","1200","1981","2470","3181","2138","557","84","8","12415",Hawkesbury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a11,"11504","51","70","143","217","180","74","23","3","0","758","46","87","147","211","183","91","31","6","0","797","1181","1510","3054","4634","4050","2196","532","59","0","17213",Rouse Hill - McGraths Hill
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a12,"11601","96","238","594","489","441","303","73","6","0","2238","130","417","1001","835","733","452","95","17","3","3692","2737","5979","16093","14753","11708","8229","1577","103","19","61192",Blacktown
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a13,"11602","96","137","423","442","387","178","43","0","0","1711","75","159","498","619","447","226","58","7","0","2104","2394","3905","10774","13819","9609","5037","963","50","5","46555",Blacktown - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a14,"11603","79","199","343","307","284","216","49","5","0","1474","188","407","747","698","599","347","81","5","3","3075","2438","5036","10899","10122","9200","5720","939","52","12","44416",Mount Druitt
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a15,"11701","16","78","230","204","180","121","32","0","0","869","22","106","350","238","228","131","33","5","0","1110","773","2260","6625","5651","4597","2693","654","56","3","23313",Botany
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a16,"11703","67","330","1359","789","493","325","76","7","0","3452","100","676","2430","1174","725","372","158","35","7","5683","2211","13578","52791","27972","16922","9978","2884","363","55","126741",Sydney Inner City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a17,"11801","48","157","595","416","318","207","100","16","4","1856","61","204","1047","755","572","362","213","65","14","3293","1206","4685","20954","16034","11821","7719","3690","678","116","66898",Eastern Suburbs - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a18,"11802","70","165","590","500","362","271","95","13","3","2077","90","260","793","594","534","286","113","27","4","2706","2167","6536","19363","16269","12976","8023","2268","292","44","67930",Eastern Suburbs - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a19,"11901","112","326","687","774","582","439","92","13","0","3024","165","508","1047","950","879","610","121","24","11","4308","3047","7349","15849","15219","14031","9637","1924","178","20","67257",Bankstown
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1a,"11902","67","213","570","581","540","302","76","6","0","2355","118","391","987","832","812","442","94","16","3","3709","1950","5522","14898","12898","11199","6665","1304","116","11","54568",Canterbury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1b,"11903","64","209","425","418","466","336","76","13","0","1997","117","341","837","601","646","446","113","27","6","3132","2373","5858","14932","12480","12433","8195","1947","205","24","58451",Hurstville
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1c,"11904","69","215","587","561","462","329","93","12","0","2315","88","401","1093","707","627","432","121","24","5","3503","2132","6293","20384","15219","12514","8096","1931","202","28","66800",Kogarah - Rockdale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1d,"12001","48","116","335","289","328","211","74","10","0","1412","43","140","546","414","385","229","105","17","5","1878","1274","3286","11632","10365","8642","5671","1708","200","33","42816",Canada Bay
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1e,"12002","19","68","216","205","170","136","30","3","0","845","14","75","250","317","261","140","62","6","0","1128","616","2072","7042","8598","6514","3934","1250","104","10","30140",Leichhardt
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a1f,"12003","62","227","676","477","496","319","89","11","3","2351","114","501","1259","715","686","441","82","20","7","3833","2287","7909","23857","16060","14272","9010","2118","254","41","75804",Strathfield - Burwood - Ashfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a20,"12101","66","112","392","343","336","235","77","13","0","1571","57","195","634","610","514","299","110","24","4","2450","1621","4320","14638","14791","11580","7281","2375","315","38","56964",Chatswood - Lane Cove
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a21,"12102","56","141","289","321","321","224","52","4","3","1411","67","109","342","416","379","235","57","12","3","1623","1866","3216","7662","10502","9365","5995","1492","148","16","40261",Hornsby
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a22,"12103","90","153","217","272","394","264","94","22","3","1510","78","161","327","484","637","373","151","41","3","2266","2748","4709","7748","12005","14598","8990","3157","559","71","54587",Ku-ring-gai
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a23,"12104","51","102","363","300","251","179","64","8","0","1319","37","124","598","493","397","271","165","37","9","2138","948","3325","15773","12840","9565","6814","3019","459","63","52805",North Sydney - Mosman
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a24,"12201","29","64","156","136","128","63","34","3","0","609","33","68","245","243","229","112","56","10","7","991","690","1474","5397","5686","4777","2860","964","143","28","22019",Manly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a25,"12202","65","127","211","231","273","204","63","9","0","1185","77","108","204","321","404","267","114","29","11","1528","1595","2312","3972","6445","7491","5626","1872","233","29","29575",Pittwater
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a26,"12203","160","310","632","684","645","404","129","18","0","2981","144","274","709","934","923","452","145","39","9","3626","3771","5919","15009","19217","18350","10607","3057","388","34","76347",Warringah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a27,"12301","90","141","302","275","255","147","26","4","0","1238","97","160","301","352","318","170","57","7","4","1467","2235","3061","7005","8125","6873","3983","800","52","12","32162",Camden
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a28,"12302","120","342","571","480","445","377","90","4","0","2427","214","485","1013","835","818","573","131","18","3","4090","3576","7529","16319","14895","13976","10663","2024","131","19","69131",Campbelltown (NSW)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a29,"12303","63","94","201","180","187","110","28","0","0","864","67","87","197","197","218","148","54","15","0","987","1300","1864","3847","4378","4486","3208","705","76","18","19882",Wollondilly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a2a,"12401","64","106","184","249","287","214","66","7","0","1187","62","112","207","233","289","218","83","19","3","1234","1914","2648","5420","7660","8645","7248","1853","175","22","35588",Blue Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a2b,"12402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3",Blue Mountains - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a2c,"12403","162","319","736","613","489","338","87","6","0","2746","201","403","827","793","683","440","118","20","4","3495","4267","7042","16675","15768","13484","9412","2018","158","18","68836",Penrith
