sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Shoalhaven,11401,402,12579,96,13078,153,2424,23,2595,546,12036,98,12675,229,3642,38,3911,146,2121,28,2299,8,109,0,118,204,2025,2471,4702,1693,34937,2756,39381,449,14304,101,14853,145,2214,24,2382,504,12520,145,13176,233,3673,53,3963,123,1963,35,2114,11,87,4,100,118,1804,2410,4334,1587,36558,2773,40918,851,26883,198,27928,292,4637,48,4978,1053,24552,242,25851,463,7316,90,7872,276,4084,63,4413,16,195,8,217,319,3832,4879,9034,3271,71496,5524,80299
Southern Highlands,11402,83,8236,45,8357,33,1052,4,1088,90,4785,35,4915,38,1065,8,1114,19,591,10,621,3,59,0,60,12,537,1048,1596,278,16324,1148,17750,107,9536,61,9705,37,1116,11,1164,94,5204,44,5346,40,1185,17,1236,14,568,12,586,0,50,0,53,8,667,1087,1763,300,18326,1230,19857,186,17775,104,18064,67,2166,16,2256,188,9991,77,10260,75,2251,22,2349,32,1159,15,1211,3,102,3,109,23,1200,2136,3360,577,34646,2384,37601
Baulkham Hills,11501,87,38201,128,38411,12,1919,12,1943,39,7083,39,7162,7,1297,4,1312,3,774,6,785,0,267,0,266,4,885,1239,2133,161,50426,1433,52019,89,39431,125,39644,11,1826,12,1849,48,8760,59,8861,4,1677,10,1694,3,1199,8,1218,3,348,0,348,5,1309,1274,2592,168,54549,1493,56209,174,77626,250,78057,26,3738,27,3793,87,15845,93,16028,18,2978,15,3009,11,1979,20,2003,3,617,0,622,12,2199,2513,4721,331,104971,2929,108229
Dural - Wisemans Ferry,11502,21,5386,32,5438,6,483,5,498,32,2354,26,2407,3,488,5,495,3,316,3,324,0,71,0,73,0,157,440,596,71,9250,513,9835,22,6039,42,6098,7,407,3,418,17,2211,14,2245,10,443,6,459,0,298,3,305,0,58,0,64,3,194,453,644,58,9647,522,10229,44,11418,70,11537,13,893,3,914,50,4568,39,4656,17,924,11,954,4,614,6,625,0,128,3,135,3,349,895,1246,124,18901,1038,20065
Hawkesbury,11503,64,3465,14,3539,15,571,0,586,76,3245,25,3347,23,712,7,733,24,357,3,381,3,25,0,31,0,166,661,829,204,8531,709,9443,70,4338,26,4440,18,468,7,484,75,2720,12,2806,20,532,3,553,7,243,4,255,3,19,0,20,6,156,627,787,192,8465,687,9345,136,7800,41,7979,32,1033,7,1067,149,5964,43,6155,41,1246,4,1293,26,597,7,638,8,44,0,48,9,321,1286,1619,397,16997,1394,18794
Rouse Hill - McGraths Hill,11504,46,6472,16,6535,10,590,3,603,59,2941,10,3011,9,510,5,521,3,327,0,331,0,47,0,47,0,148,402,550,123,11031,445,11599,51,7281,22,7355,9,510,4,519,48,2599,25,2671,11,436,6,453,3,283,0,288,0,53,0,57,0,158,404,564,118,11320,462,11902,94,13758,35,13889,13,1101,6,1125,101,5546,38,5683,18,943,7,977,7,607,4,619,0,101,0,98,3,300,812,1115,243,22359,900,23497
Blacktown,11601,248,28925,137,29310,70,2361,19,2448,265,9819,70,10162,112,2327,32,2469,70,2318,16,2406,18,535,3,553,62,1313,2069,3448,842,47602,2351,50799,273,29426,111,29813,91,1900,12,2005,287,9453,61,9807,132,2456,26,2615,87,2797,33,2919,5,785,7,803,61,1501,2095,3659,931,48327,2354,51612,523,58349,249,59126,160,4261,31,4453,552,19271,137,19965,241,4786,57,5084,155,5118,49,5321,21,1316,11,1351,123,2821,4165,7108,1775,95931,4708,102415
Blacktown - North,11602,122,21041,64,21229,28,1366,4,1397,121,5517,25,5667,34,958,3,991,20,808,9,838,5,176,0,183,184,1316,1141,2632,520,31181,1244,32938,157,22436,78,22672,34,1171,9,1216,113,5423,38,5571,34,973,8,1014,16,976,12,1005,3,313,0,315,5,507,1079,1592,359,31802,1226,33382,278,43480,146,43901,67,2542,15,2617,231,10941,68,11239,66,1930,8,2004,40,1785,22,1846,5,490,3,493,185,1820,2215,4224,877,62979,2469,66322
Mount Druitt,11603,298,19136,107,19540,117,2017,15,2154,455,8105,59,8623,190,2227,17,2435,140,2090,26,2254,11,440,3,452,93,1111,2059,3260,1296,35135,2285,38714,429,20609,114,21149,167,1961,11,2142,521,8084,56,8670,228,2464,35,2729,131,2489,37,2662,14,702,10,723,102,1287,2181,3572,1592,37605,2442,41644,728,39742,216,40694,287,3984,30,4295,979,16197,121,17292,416,4693,49,5161,268,4584,60,4912,25,1137,14,1178,190,2402,4237,6834,2892,72737,4727,80357
Botany,11701,106,11648,47,11810,12,731,0,749,90,2567,19,2675,31,524,4,555,17,775,7,797,0,229,0,229,10,514,1124,1647,261,16998,1200,18465,139,12007,42,12185,32,598,0,632,81,2386,20,2491,21,630,7,659,12,1018,8,1041,0,322,0,330,18,536,1081,1634,310,17500,1166,18970,251,23658,87,23992,39,1335,3,1383,173,4954,39,5163,54,1156,8,1212,30,1793,16,1841,0,558,0,555,22,1047,2203,3279,565,34497,2364,37431
Sydney Inner City,11703,483,74197,310,74989,80,3053,26,3157,183,5747,37,5969,98,1383,14,1488,66,1368,18,1454,10,589,7,606,67,1690,13017,14776,984,88032,13424,102442,429,70908,298,71636,65,2330,11,2402,192,4681,32,4898,105,1186,15,1305,60,1603,12,1675,7,779,12,793,63,1784,10318,12164,926,83265,10689,94884,916,145108,604,146627,147,5380,33,5563,372,10425,60,10862,200,2563,31,2794,126,2973,32,3127,18,1368,16,1402,130,3482,23337,26944,1911,171294,24113,197319
Marrickville - Sydenham - Petersham,11702,151,14863,53,15066,24,811,3,837,71,2275,22,2361,17,492,9,515,20,961,14,1002,0,367,3,368,17,504,1740,2263,299,20271,1836,22408,159,16111,55,16322,21,644,0,663,67,1917,14,1998,27,412,3,443,26,1241,14,1280,0,561,4,570,15,510,1642,2171,322,21392,1740,23448,316,30970,105,31394,46,1454,3,1506,136,4191,34,4359,41,898,15,954,49,2203,27,2281,3,928,9,934,29,1016,3386,4433,620,41665,3573,45861
Eastern Suburbs - North,11801,115,37221,145,37479,11,1338,11,1359,37,2867,13,2912,9,561,3,572,9,452,6,468,5,108,4,112,4,752,4889,5644,183,43292,5076,48546,102,41335,171,41609,9,1415,17,1441,20,3650,37,3708,0,673,9,678,3,614,8,625,0,124,3,127,7,1031,5399,6432,138,48843,5638,54617,211,78553,319,79087,16,2752,29,2795,61,6515,47,6621,14,1226,11,1253,9,1070,14,1089,5,236,8,243,7,1782,10284,12076,321,92132,10710,103171
Eastern Suburbs - South,11802,274,39434,129,39838,32,1815,12,1858,135,5306,24,5464,60,1191,8,1268,34,1243,17,1297,5,300,0,309,264,2408,4040,6712,804,51691,4240,56740,315,42203,161,42678,60,1635,14,1704,177,5799,44,6017,64,1371,15,1450,54,1660,19,1731,8,438,5,445,36,1454,3951,5448,709,54560,4204,59472,586,81636,290,82514,87,3449,23,3558,311,11098,63,11478,132,2568,23,2717,90,2897,42,3027,9,737,9,755,297,3864,7992,12153,1519,106249,8441,116211
Bankstown,11901,155,34132,165,34447,30,2704,14,2750,137,11785,100,12022,55,2860,27,2940,31,3789,34,3849,8,1356,9,1377,22,1720,3124,4869,424,58345,3476,62242,170,35823,185,36172,31,2380,13,2428,151,11664,76,11899,67,3347,25,3445,53,4611,48,4710,4,2071,15,2089,28,1983,3222,5230,502,61883,3586,65970,321,69951,347,70619,58,5087,25,5174,286,23449,182,23913,123,6206,57,6382,81,8396,81,8560,11,3435,24,3466,48,3700,6350,10094,928,120224,7056,128210
Canterbury,11902,77,31658,147,31887,25,1826,13,1859,48,6780,51,6869,25,1810,12,1849,14,3781,34,3824,4,1539,7,1551,14,1378,2621,4018,200,48760,2890,51853,136,30615,133,30882,20,1561,4,1584,65,6603,37,6707,25,1802,16,1845,16,4373,35,4430,8,2031,14,2047,10,1332,2582,3932,274,48320,2827,51425,212,62274,279,62768,43,3384,20,3446,113,13381,88,13581,49,3615,27,3697,33,8154,68,8251,10,3564,27,3598,22,2717,5210,7943,482,97081,5721,103278
Hurstville,11903,92,32874,116,33080,16,1766,15,1791,64,6431,54,6551,19,1692,16,1724,14,1922,21,1960,3,660,3,673,4,1060,1852,2915,212,46405,2070,48687,127,34133,95,34354,21,1537,14,1565,82,7441,52,7573,22,2208,19,2244,18,2682,30,2730,0,1017,9,1030,7,1297,1939,3246,282,50321,2157,52753,214,67010,210,67436,35,3296,26,3355,150,13872,109,14128,43,3897,33,3974,36,4607,45,4688,3,1684,8,1694,11,2361,3787,6161,496,96725,4220,101435
Kogarah - Rockdale,11904,158,35523,144,35823,11,2128,8,2153,90,7172,49,7311,20,1538,22,1575,10,2575,12,2599,3,703,13,718,14,1484,3020,4521,308,51125,3271,54701,171,35993,142,36302,21,1751,15,1783,96,7466,50,7603,28,1781,17,1819,12,3379,31,3422,0,1121,11,1135,9,1734,3016,4764,329,53223,3283,56834,328,71515,288,72127,34,3884,23,3941,181,14638,101,14917,41,3313,41,3393,28,5955,41,6029,4,1825,27,1852,25,3222,6035,9282,634,104350,6552,111543
Canada Bay,12001,68,22954,75,23095,10,1062,9,1081,39,3707,27,3776,9,792,8,809,9,1217,5,1228,0,320,0,317,0,492,1794,2281,132,30540,1915,32589,77,24851,72,25004,7,957,9,973,33,4552,24,4603,16,1056,12,1087,11,1643,11,1667,0,447,4,454,0,685,1951,2639,135,34197,2086,36422,140,47804,150,48092,19,2025,17,2056,69,8259,49,8377,17,1850,25,1893,23,2857,16,2891,0,763,8,768,3,1175,3742,4924,268,64739,4006,69010
Leichhardt,12002,96,15217,52,15365,11,705,3,720,40,1923,9,1977,11,374,3,387,17,419,6,440,3,81,0,88,10,338,1669,2019,187,19065,1743,20999,111,17400,70,17577,9,621,4,637,68,2074,15,2156,20,422,5,446,11,547,9,565,3,124,5,125,17,408,1722,2149,239,21595,1823,23657,202,32615,121,32940,22,1325,6,1357,114,3999,24,4137,34,794,9,835,26,966,15,1005,9,203,3,218,30,752,3391,4165,427,40658,3566,44654
Strathfield - Burwood - Ashfield,12003,181,44239,154,44574,21,1672,6,1699,58,5469,39,5560,20,1264,13,1299,18,2394,17,2433,3,873,6,877,12,1220,3621,4851,304,57130,3848,61282,186,45538,155,45881,24,1458,11,1494,79,5613,42,5740,22,1423,14,1455,24,3340,31,3398,7,1244,9,1262,12,1413,3450,4874,350,60039,3714,64110,365,89781,310,90453,43,3133,15,3188,139,11082,78,11300,40,2683,26,2756,47,5736,44,5823,8,2115,19,2139,21,2635,7069,9729,659,117167,7568,125393
Chatswood - Lane Cove,12101,50,33516,99,33669,10,1036,9,1054,13,2634,14,2667,7,507,3,511,0,588,0,591,3,201,9,205,4,514,2012,2527,85,38996,2143,41222,52,36185,113,36351,3,1184,4,1189,15,3564,23,3598,4,788,10,796,0,816,4,824,0,322,3,325,0,666,2125,2789,77,43522,2278,45874,102,69702,209,70020,14,2222,9,2247,29,6199,34,6265,10,1287,8,1313,0,1402,7,1413,3,517,10,535,7,1180,4135,5321,161,82514,4427,87096
Hornsby,12102,57,21203,87,21343,10,1093,5,1107,49,4072,29,4145,11,708,6,724,3,474,4,482,3,171,0,171,3,497,973,1472,133,28212,1095,29444,82,22422,89,22593,8,980,6,992,34,4504,36,4571,5,836,5,856,4,603,7,618,0,216,4,219,4,639,1000,1640,148,30198,1143,31491,140,43620,174,43935,17,2074,5,2100,87,8570,65,8716,16,1549,8,1580,13,1079,10,1095,5,384,4,392,7,1133,1971,3112,285,58407,2238,60933
Ku-ring-gai,12103,57,34518,116,34692,0,1040,0,1042,9,2476,16,2500,0,501,3,505,0,319,3,317,0,127,0,127,0,598,1421,2023,66,39580,1557,41207,48,36866,127,37040,4,1444,9,1450,9,4160,33,4202,3,822,6,838,3,524,4,533,0,196,5,200,5,1006,1611,2623,69,45026,1794,46890,103,71385,240,71730,4,2484,6,2489,19,6637,53,6708,6,1322,16,1338,4,845,9,855,0,324,5,331,6,1608,3034,4642,140,84601,3353,88095
North Sydney - Mosman,12104,70,29298,93,29461,3,934,3,942,14,1931,9,1955,0,327,4,336,0,217,3,228,0,67,0,64,3,449,2802,3256,99,33231,2915,36243,80,33107,109,33285,4,1297,8,1309,9,3197,12,3221,4,515,6,523,3,285,4,296,3,93,0,97,4,602,2991,3592,108,39100,3127,42331,151,62401,200,62752,9,2232,11,2249,29,5126,27,5173,4,844,8,862,0,509,11,517,4,159,0,166,8,1050,5790,6852,198,72326,6043,78571
Manly,12201,31,12278,33,12346,0,529,0,537,11,1243,11,1265,3,225,3,227,0,136,3,140,0,24,0,28,3,268,984,1252,50,14707,1039,15799,36,12599,54,12695,0,572,0,569,18,1789,13,1824,4,305,8,319,0,161,5,162,0,18,0,18,0,325,992,1316,57,15777,1067,16906,67,24886,89,25043,3,1098,0,1103,24,3037,27,3089,12,531,10,548,0,296,3,303,0,42,0,44,0,588,1975,2572,111,30480,2111,32700
Pittwater,12202,71,14615,76,14760,12,1096,4,1116,31,3943,17,3996,12,607,6,630,0,303,9,317,0,42,0,42,3,407,986,1395,129,21014,1110,22246,66,15369,90,15521,9,1135,8,1152,24,4521,37,4580,3,721,7,730,0,355,3,361,0,36,0,41,3,702,1026,1731,107,22837,1162,24112,131,29985,165,30278,15,2234,14,2263,62,8464,51,8576,14,1330,14,1362,0,658,10,672,0,76,0,82,9,1109,2014,3125,239,43847,2271,46361
Warringah,12203,137,36313,155,36607,20,2499,20,2537,73,8927,50,9054,24,1658,13,1694,12,1179,10,1200,3,286,0,286,3,993,2593,3592,276,51848,2849,54972,155,38816,172,39148,22,2248,18,2289,52,10000,73,10123,20,2013,24,2057,7,1468,16,1487,3,332,0,335,13,1432,2710,4158,273,56308,3015,59593,295,75127,329,75756,40,4747,36,4823,128,18930,122,19185,42,3667,39,3751,23,2640,25,2692,8,611,0,621,19,2425,5306,7751,550,108153,5862,114565
Camden,12301,169,9864,55,10090,51,1437,3,1493,140,6668,33,6844,46,1295,8,1351,19,550,5,574,3,60,0,56,13,387,718,1117,449,20255,819,21524,226,11791,61,12079,27,1263,10,1303,155,6308,34,6492,44,1383,4,1435,17,676,7,701,4,85,0,90,18,631,756,1402,493,22141,868,23498,397,21659,113,22170,81,2699,16,2803,292,12981,63,13333,93,2679,11,2782,40,1226,9,1271,4,139,0,146,34,1012,1469,2512,941,42394,1685,45021
Campbelltown (NSW),12302,421,27410,147,27980,140,3247,14,3400,489,14248,86,14824,207,3521,37,3765,110,2330,24,2472,17,436,0,452,61,1511,2941,4511,1444,52709,3249,57407,660,29429,153,30240,192,3045,17,3258,595,14386,101,15083,250,3836,30,4122,150,2688,15,2853,4,695,14,710,78,1692,3195,4968,1924,55774,3522,61219,1080,56837,294,58216,331,6296,30,6656,1079,28638,193,29907,457,7359,70,7887,258,5021,39,5324,22,1130,12,1161,137,3203,6131,9478,3366,108486,6777,118632
Wollondilly,12303,102,5206,45,5349,32,947,7,991,172,5444,68,5685,26,1140,8,1177,19,583,8,614,5,53,3,56,13,444,744,1204,376,13818,883,15074,174,6641,49,6873,24,847,11,887,124,4719,56,4898,45,1048,11,1100,19,504,3,523,0,40,0,40,8,517,733,1262,401,14317,861,15581,278,11852,97,12222,55,1802,17,1873,300,10164,121,10578,69,2186,13,2276,40,1084,18,1143,5,92,3,100,26,961,1475,2466,773,28137,1744,30655
Blue Mountains,12401,213,15620,87,15913,40,1508,14,1563,188,6780,51,7025,39,1258,15,1312,25,571,12,605,0,73,3,72,26,601,1214,1844,533,26412,1389,28333,248,17910,79,18234,45,1553,16,1610,158,7154,61,7370,42,1448,10,1494,24,669,5,696,5,58,0,64,29,713,1254,1998,538,29497,1433,31467,456,33528,169,34150,77,3061,26,3171,341,13937,119,14392,82,2701,21,2804,47,1235,16,1303,8,131,3,138,58,1314,2465,3843,1072,55911,2823,59804
Blue Mountains - South,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Penrith,12403,457,21756,102,22312,143,3140,20,3303,490,15145,106,15743,167,3238,19,3422,95,1962,14,2074,19,218,3,242,43,1107,2403,3551,1423,46559,2665,50643,631,25026,114,25773,150,2766,13,2924,514,14716,105,15340,154,3316,27,3495,109,2131,28,2268,4,267,0,277,114,1418,2412,3939,1672,49645,2696,54018,1089,46784,217,48084,294,5901,31,6227,1004,29861,215,31078,321,6553,45,6918,204,4094,46,4344,26,485,6,516,158,2521,4811,7489,3097,96208,5363,104664
Richmond - Windsor,12404,125,4591,29,4738,51,894,0,941,181,4420,30,4631,76,1031,6,1117,29,697,0,726,0,63,0,63,174,892,727,1795,627,12594,795,14020,172,5524,30,5729,66,852,5,921,178,4325,44,4544,69,1046,7,1121,51,657,6,710,0,51,0,53,103,545,736,1388,633,12994,828,14452,293,10117,59,10465,110,1740,7,1862,356,8745,72,9174,140,2079,11,2238,81,1348,7,1442,3,112,4,115,268,1441,1468,3179,1260,25594,1619,28475
St Marys,12405,168,8161,59,8387,56,1305,3,1359,232,5902,41,6165,82,1312,16,1402,36,960,9,1004,3,146,3,154,36,546,1085,1664,600,18328,1213,20139,219,9121,57,9399,64,1110,0,1173,230,5424,46,5703,69,1307,10,1393,38,1070,11,1120,3,223,0,224,34,610,1152,1796,651,18867,1284,20800,387,17281,117,17783,114,2414,6,2534,460,11323,87,11869,148,2616,27,2795,73,2025,21,2121,4,371,3,377,63,1156,2233,3458,1256,37188,2496,40945
Auburn,12501,38,23845,86,23970,9,1232,7,1245,31,3570,23,3624,12,1089,11,1113,5,2172,10,2191,3,1686,20,1702,265,2158,2020,4440,359,35751,2175,38292,37,21389,90,21522,8,841,5,855,30,3072,22,3121,10,963,6,982,3,2077,8,2094,0,1478,9,1488,91,971,1810,2871,184,30795,1956,32940,81,45241,178,45491,13,2074,16,2103,60,6639,49,6751,22,2049,17,2091,14,4254,19,4280,0,3164,27,3196,359,3128,3828,7315,546,66551,4127,71225
Carlingford,12502,49,17171,58,17276,10,852,5,866,40,3226,35,3297,10,808,5,824,6,700,8,712,4,373,3,377,7,469,931,1412,120,23592,1047,24759,47,18111,69,18223,13,812,10,829,52,3522,24,3603,18,961,9,988,12,837,8,864,0,409,4,408,9,533,952,1494,152,25186,1082,26421,89,35289,128,35504,23,1657,13,1693,95,6749,56,6898,36,1762,17,1817,24,1537,16,1576,5,781,7,786,8,1006,1881,2901,269,48782,2125,51175
Merrylands - Guildford,12503,133,29903,161,30197,25,2502,17,2539,134,9924,88,10143,33,2743,39,2818,42,4092,27,4161,6,1943,20,1962,24,2134,2880,5042,391,53244,3219,56863,168,30210,151,30526,42,2042,13,2101,153,9420,55,9633,43,2656,32,2728,42,4230,36,4308,3,2317,20,2341,18,1846,2873,4734,462,52718,3182,56368,301,60113,312,60730,61,4542,27,4638,286,19349,146,19777,71,5399,70,5544,82,8323,61,8461,8,4260,40,4308,45,3985,5754,9777,851,105969,6403,113226
Parramatta,12504,122,38013,131,38267,23,1815,7,1848,106,6523,44,6673,43,1504,9,1550,23,1512,24,1555,3,635,7,645,21,1207,3204,4425,342,51204,3425,54975,126,36781,131,37044,33,1495,13,1538,93,7003,51,7145,43,1769,22,1840,19,2013,19,2051,0,807,6,816,15,1387,3080,4483,333,51260,3330,54919,248,74799,268,75314,54,3308,24,3390,195,13526,95,13819,87,3277,30,3392,45,3526,42,3608,8,1438,20,1467,36,2589,6281,8912,676,102465,6757,109895
Pennant Hills - Epping,12601,25,14510,53,14584,0,451,0,454,4,1414,11,1430,5,300,4,304,4,183,0,185,0,86,0,86,0,267,476,743,34,17216,548,17796,16,14701,61,14786,0,503,3,510,7,1980,13,2003,0,450,3,449,0,288,0,288,0,147,0,147,0,394,448,843,28,18456,532,19020,40,29218,111,29370,6,952,8,962,14,3396,28,3430,5,744,7,758,3,471,0,475,0,236,0,236,3,655,923,1583,66,35673,1075,36819
Ryde - Hunters Hill,12602,98,38429,158,38678,10,1476,15,1499,33,5178,27,5241,10,1208,13,1232,0,1346,7,1357,5,443,0,447,4,1037,2029,3069,165,49107,2250,51520,114,40526,138,40775,7,1446,5,1460,33,6310,45,6390,11,1561,7,1577,4,1892,17,1917,0,655,7,661,3,1388,2128,3521,172,53778,2348,56305,205,78948,295,79452,17,2922,17,2957,73,11490,77,11638,26,2772,19,2814,8,3235,32,3274,5,1096,8,1106,7,2422,4158,6589,339,102888,4595,107822
Bringelly - Green Valley,12701,122,18309,94,18523,37,1831,20,1886,148,7817,60,8030,72,1788,14,1870,47,2206,21,2266,8,907,0,911,18,879,2070,2965,448,33735,2277,36455,173,19873,102,20149,53,1519,11,1578,193,6964,70,7228,84,1878,14,1977,34,2533,25,2594,4,1341,16,1359,25,924,2054,3008,566,35036,2293,37897,294,38187,195,38677,89,3352,29,3470,343,14780,128,15255,151,3662,32,3851,76,4740,45,4866,10,2248,17,2271,45,1807,4124,5978,1009,68770,4571,74354
Fairfield,12702,123,35048,174,35351,20,3167,33,3220,118,11631,91,11844,69,3702,43,3813,43,6580,46,6663,0,3762,23,3786,30,2026,2597,4657,413,65916,3009,69334,138,35714,168,36025,31,2675,28,2732,133,10756,63,10955,61,3979,31,4073,45,8566,67,8681,5,6054,32,6084,13,2214,2615,4848,430,69962,3002,73397,262,70764,342,71368,52,5843,59,5957,253,22392,160,22803,128,7684,74,7890,87,15147,107,15343,7,9809,50,9870,47,4244,5209,9503,845,135878,6007,142733
Liverpool,12703,129,23118,100,23341,47,2039,30,2111,128,7878,53,8059,58,1743,14,1817,42,2167,17,2229,3,792,7,801,28,1054,3057,4138,432,38791,3270,42494,185,24623,135,24941,39,1723,15,1774,141,7077,54,7278,64,1927,13,2003,26,2787,34,2852,7,1140,6,1151,26,1127,2950,4104,488,40400,3218,44099,316,47741,232,48285,84,3757,44,3881,267,14960,108,15333,123,3667,31,3814,73,4951,53,5075,10,1930,15,1952,57,2178,6004,8237,916,79188,6487,86595
Cronulla - Miranda - Caringbah,12801,187,23483,104,23771,34,2115,19,2158,120,9710,66,9889,20,1669,15,1707,14,923,5,948,3,149,3,154,20,805,1908,2733,392,38852,2126,41368,195,25440,118,25757,33,1698,17,1748,110,10446,64,10620,24,2253,17,2290,16,1239,11,1261,0,167,0,166,16,1168,1924,3105,396,42405,2142,44946,384,48922,221,49529,66,3813,32,3912,227,20153,134,20510,37,3919,37,3996,27,2159,16,2208,8,313,3,320,39,1975,3832,5840,781,81261,4268,86311
Sutherland - Menai - Heathcote,12802,176,22761,92,23029,22,2117,23,2163,117,9919,48,10081,21,1599,11,1631,11,853,5,879,3,123,3,126,11,657,1131,1798,365,38038,1309,39716,188,24770,99,25057,33,1659,10,1700,102,10172,70,10344,15,2012,14,2052,9,1122,15,1143,0,154,3,156,16,897,1150,2059,365,40788,1363,42514,369,47532,189,48088,56,3776,34,3865,220,20099,119,20429,43,3611,26,3681,25,1973,23,2023,3,280,5,285,21,1553,2280,3860,735,78826,2671,82228
Ballarat,20101,124,16716,113,16956,73,5436,58,5565,82,6723,66,6870,49,2833,28,2910,33,1961,42,2034,10,129,3,139,24,1115,2132,3269,383,34910,2446,37743,167,20419,143,20733,77,5759,41,5875,114,6412,87,6616,51,2654,33,2733,39,2307,40,2384,4,106,4,115,21,1405,2321,3753,473,39067,2670,42213,291,37142,253,37684,154,11191,98,11441,188,13136,155,13478,98,5482,60,5644,66,4266,85,4424,9,244,4,253,43,2524,4451,7021,859,73978,5115,79950
Creswick - Daylesford - Ballan,20102,22,4165,32,4223,18,1652,24,1689,24,2226,20,2270,8,943,13,963,5,665,18,696,0,21,0,26,5,371,850,1226,80,10051,962,11092,36,5332,50,5416,10,1657,17,1686,11,1682,25,1716,9,721,18,748,5,575,12,593,0,25,3,27,7,373,923,1300,83,10369,1044,11490,61,9498,87,9643,30,3312,40,3381,33,3909,48,3988,14,1668,26,1710,15,1240,30,1290,0,46,3,53,8,743,1766,2523,163,20417,2006,22580
Maryborough - Pyrenees,20103,16,2746,31,2801,14,1552,3,1575,28,2384,33,2444,15,1107,21,1134,13,914,25,946,0,35,3,42,30,769,623,1420,113,9508,743,10360,40,3553,44,3632,23,1567,16,1602,25,1947,28,2008,15,894,15,921,10,773,21,800,0,23,0,30,0,492,602,1096,118,9247,720,10083,60,6302,74,6436,34,3122,19,3174,58,4336,65,4451,30,1996,34,2058,22,1684,44,1754,0,64,3,64,30,1255,1223,2512,232,18752,1465,20444
Bendigo,20201,142,13877,90,14111,54,4921,36,5011,114,6665,68,6852,53,2727,39,2814,47,1982,35,2071,3,231,0,236,30,1157,2058,3246,444,31558,2337,34335,181,17459,127,17761,74,5142,31,5248,108,6391,65,6562,71,2598,41,2701,47,2204,47,2292,4,209,0,211,30,1467,2233,3725,504,35463,2531,38501,318,31335,216,31874,129,10054,67,10252,226,13059,131,13411,118,5327,75,5518,91,4184,82,4361,9,437,0,446,57,2624,4288,6967,947,67022,4869,72838
