sa3_code16,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot,sa3_name16
12104,282,1487,283,161,63,3495,1152,297,2264,533,305,158,4706,166,37,396,97,101,15,821,128,38,372,199,301,26,1056,327,53,770,215,156,145,1674,9786,2125,21790,5447,4108,1277,44529,North Sydney - Mosman
12201,131,693,151,89,32,1500,365,135,856,237,178,71,1834,50,11,168,43,42,12,328,54,12,162,86,170,8,488,108,20,317,121,151,64,778,3202,809,8550,2494,2379,561,17999,Manly
12202,229,1109,338,240,58,2396,348,153,1038,608,444,126,2712,38,12,152,93,124,18,429,35,7,154,158,540,38,937,91,22,326,215,281,118,1056,2218,786,7387,4277,6516,887,22071,Pittwater
12203,500,2644,747,555,139,5658,883,395,2824,1369,1275,273,7017,85,34,387,174,254,37,962,113,41,423,393,1279,62,2320,231,51,721,450,756,267,2474,6495,2173,20765,10448,15033,2119,57039,Warringah
12301,213,1303,353,386,47,2794,236,153,913,623,717,91,2731,14,0,49,66,108,9,248,11,7,79,141,671,35,938,22,10,126,120,407,104,801,1224,616,4738,4094,9259,780,20713,Camden
12302,276,1521,559,735,118,4002,574,204,2225,1458,2002,301,6763,27,10,96,92,201,25,444,58,15,188,217,1188,64,1728,95,15,297,283,920,359,1971,3686,962,10097,7506,17655,2288,42189,Campbelltown (NSW)
12303,120,641,252,299,30,1585,107,75,438,436,538,67,1662,9,0,25,27,87,11,156,9,7,42,61,541,27,685,17,3,46,70,333,70,538,640,335,2259,2251,7006,630,13121,Wollondilly
12401,505,2064,557,473,75,4881,601,320,1618,885,937,133,4498,74,37,158,113,184,15,584,60,14,150,132,575,29,957,77,14,172,122,307,95,792,3078,1402,7799,4720,8740,859,26594,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,295,1864,652,754,91,4607,466,257,1933,1273,1817,239,5977,23,7,123,107,239,26,518,47,15,154,298,1467,44,2029,69,21,204,251,973,258,1779,2884,1032,9075,7542,20013,1753,42300,Penrith
12404,68,417,179,209,36,1111,84,63,404,299,523,34,1399,8,0,24,20,102,13,165,9,6,34,77,412,13,551,9,0,27,49,301,58,449,500,233,1745,1784,5640,449,10347,Richmond - Windsor
12405,56,406,190,244,34,1130,110,76,538,457,773,93,2050,4,0,20,27,87,5,150,21,3,43,76,533,17,686,12,0,84,97,389,136,719,707,252,2714,2442,7118,860,14094,St Marys
12501,97,663,166,160,23,1584,525,131,1639,585,487,109,3483,29,9,121,47,52,15,279,89,17,220,177,274,25,803,174,23,503,264,268,272,1495,3935,641,9877,4141,4352,1228,24183,Auburn
12502,134,948,256,225,41,2161,444,153,1410,536,501,113,3157,21,3,99,46,76,12,259,107,20,205,126,393,30,886,143,20,358,165,252,103,1049,3801,722,8594,3500,4704,786,22101,Carlingford
12503,173,1236,356,392,91,2881,532,163,1912,1102,1221,226,5157,21,10,114,82,132,24,386,78,17,243,286,881,73,1573,151,25,428,343,713,374,2032,3587,756,10952,6642,11108,2068,35111,Merrylands - Guildford
12504,305,1723,411,348,92,4080,1451,337,3295,1091,1025,274,7472,59,13,189,91,121,31,499,179,36,372,259,612,54,1504,443,39,747,325,467,280,2306,11121,1679,20138,7215,8684,1958,50794,Parramatta
12601,183,949,184,125,39,2283,595,153,1280,346,230,80,2683,30,9,74,33,32,7,184,94,26,164,81,156,20,533,166,22,280,87,84,71,700,4547,873,8161,2200,2139,561,18472,Pennant Hills - Epping
12602,350,2123,482,392,97,4916,1281,369,3006,971,799,227,6670,91,21,250,126,138,25,648,214,39,445,295,694,54,1742,403,38,802,288,365,240,2136,10452,1841,21279,7127,8274,1695,50673,Ryde - Hunters Hill
12701,129,1094,302,362,54,2476,277,117,1244,811,854,150,3460,7,3,71,49,86,5,221,25,5,123,189,893,52,1300,49,7,231,224,596,274,1390,1580,476,6779,5048,10671,1447,25998,Bringelly - Green Valley
12702,122,1212,401,470,119,2869,327,113,1638,1084,1348,240,4742,15,5,105,90,129,15,357,37,9,232,402,1258,91,2027,70,8,427,365,899,412,2196,1932,526,10588,7139,13405,2257,35849,Fairfield
12703,148,1232,369,383,81,2847,572,192,1789,1009,1118,194,4870,14,4,86,81,148,27,359,41,16,144,214,795,42,1256,106,20,305,269,645,281,1623,2876,702,9032,6064,10840,1579,31093,Liverpool
12801,366,1998,587,424,105,4212,671,254,2062,1018,885,221,5113,41,11,204,149,234,31,676,78,20,222,290,1019,48,1671,100,22,374,333,608,197,1630,3487,1306,11992,7850,13575,1580,39790,Cronulla - Miranda - Caringbah
12802,449,2364,695,548,108,5061,595,290,1948,1092,1146,181,5261,36,17,174,104,229,21,580,57,30,235,265,1155,46,1784,81,20,281,201,578,174,1331,3586,1473,11920,7674,14261,1415,40336,Sutherland - Menai - Heathcote
20101,626,1793,510,572,60,4292,632,595,2360,1138,1454,201,6380,37,15,166,92,191,31,530,22,22,108,172,756,35,1117,34,16,139,99,378,147,817,2168,1804,8199,4862,11999,1158,30192,Ballarat
20102,138,346,143,124,16,937,116,136,404,297,367,60,1379,12,6,53,46,43,7,165,9,18,36,38,191,11,299,12,11,45,44,157,47,318,579,446,1880,1477,3451,428,8258,Creswick - Daylesford - Ballan
20103,69,213,86,98,24,527,40,50,253,241,346,57,984,0,4,19,24,47,3,89,0,3,6,17,184,10,231,3,0,25,24,135,54,242,173,198,898,927,2913,393,5496,Maryborough - Pyrenees
20201,517,1469,414,437,74,3298,559,502,1996,1097,1609,197,5958,22,13,85,64,157,16,356,41,23,106,178,803,41,1190,24,17,107,88,401,149,772,1519,1506,6957,4198,11766,1113,27050,Bendigo
20202,336,661,166,182,33,1720,233,267,812,477,588,101,2475,29,19,95,42,73,21,280,25,9,78,68,361,10,549,28,27,89,78,197,71,495,1156,1007,3681,2224,5181,687,13930,Heathcote - Castlemaine - Kyneton
20203,52,106,32,38,6,250,27,34,115,87,144,22,434,4,0,5,7,17,0,34,0,0,10,6,71,11,99,4,3,5,5,57,28,101,78,127,494,448,1441,180,2764,Loddon - Elmore
20301,79,289,112,87,12,675,42,84,309,185,320,34,979,3,4,24,19,24,6,81,5,5,26,42,202,3,287,10,7,22,24,107,33,204,281,277,1325,1095,2935,285,6202,Barwon - West
20302,846,2971,1019,934,133,7099,901,813,3907,1968,2816,356,10757,51,35,252,164,298,42,827,72,43,280,397,1452,62,2303,70,29,316,287,820,312,1827,3813,2652,15387,9839,21934,2213,55840,Geelong
20303,453,1434,410,274,65,3157,413,367,1503,753,813,149,3999,30,27,117,93,144,19,423,29,17,109,157,473,26,811,34,33,169,116,289,103,740,1701,1336,6854,4061,7943,857,22756,Surf Coast - Bellarine Peninsula
20401,272,645,247,265,35,1623,97,95,562,511,562,90,1915,12,11,41,64,138,21,278,19,3,47,86,458,34,643,12,13,57,72,305,117,577,554,578,2765,2690,7079,895,14558,Upper Goulburn Valley
20402,202,609,185,218,36,1383,162,209,783,598,735,114,2603,0,3,30,35,75,13,158,13,8,50,65,399,15,553,11,5,47,62,228,87,453,530,595,2684,2363,6028,690,12895,Wangaratta - Benalla
20403,357,886,321,349,56,2282,273,293,1160,887,1160,125,3904,9,17,52,55,100,8,244,17,7,55,122,638,27,858,22,9,88,88,360,124,693,991,1016,4379,3931,9932,1004,21248,Wodonga - Alpine
20501,264,744,266,285,33,1815,144,154,666,462,644,79,2141,4,3,28,42,76,6,159,18,15,50,93,482,28,684,5,5,50,72,259,74,474,629,646,2811,2342,6729,645,13804,Baw Baw
20502,186,504,173,263,30,1246,109,156,532,474,661,95,2021,3,4,39,34,64,5,157,6,7,29,72,356,24,487,3,3,42,61,208,81,398,349,475,1930,1841,5405,680,10671,Gippsland - East
20503,258,725,213,222,27,1596,157,180,712,530,773,115,2470,20,14,110,101,167,28,439,3,4,50,84,493,20,658,20,7,66,89,312,131,621,604,692,3096,2629,7684,971,15671,Gippsland - South West
20504,255,780,299,339,54,1934,245,206,1071,690,1071,166,3447,3,3,33,31,78,10,157,8,9,52,101,594,29,802,11,7,54,58,377,131,633,686,697,3516,3042,9743,986,18675,Latrobe Valley
20505,177,527,172,218,28,1212,144,139,580,398,602,87,1952,9,3,26,22,47,0,112,3,6,37,64,353,16,475,3,3,40,51,250,76,424,396,470,2216,1853,5680,629,11253,Wellington
20601,878,2157,355,244,86,5604,1073,545,2160,599,507,108,4992,188,65,677,150,143,35,1259,173,55,377,196,383,46,1226,159,47,436,161,223,163,1188,6686,2801,15963,4670,5618,941,36675,Brunswick - Coburg
20602,596,1314,225,122,38,3399,870,376,1603,381,282,56,3568,105,72,393,88,89,7,759,101,49,229,103,214,24,719,88,27,275,111,129,95,729,4269,1998,10128,2786,3022,502,22705,Darebin - South
20603,505,1351,275,187,44,3279,678,326,1649,448,374,104,3573,64,42,320,95,138,11,678,68,39,198,132,274,19,727,102,28,298,117,182,111,838,4016,1797,11184,3677,4546,703,25911,Essendon
20604,465,1905,272,162,55,5115,1404,465,2808,459,336,126,5588,248,102,796,262,199,27,1639,193,54,459,233,295,37,1271,339,54,853,265,200,193,1901,11729,2629,25697,5840,4693,1381,51962,Melbourne City
20605,606,1776,380,226,65,4458,1225,493,2500,637,415,147,5416,196,79,720,252,220,36,1497,134,56,390,275,498,36,1393,266,53,714,250,279,197,1758,8156,2839,21128,6381,6610,1290,46412,Port Phillip
20903,549,1454,388,294,59,3378,470,346,1354,727,664,111,3665,42,27,164,97,119,14,464,54,36,138,176,584,38,1018,53,23,235,147,346,91,885,2270,1572,7578,4274,7699,804,24199,Nillumbik - Kinglake
20904,706,2228,882,882,144,5727,837,529,3378,2200,2628,395,9968,37,13,166,160,224,37,632,103,25,327,493,1782,127,2852,176,28,524,438,1134,482,2784,4971,2064,15950,11816,23074,3080,60952,Whittlesea - Wallan
21001,311,1010,280,228,60,2256,271,166,983,385,387,88,2275,12,14,110,67,76,15,303,32,11,123,134,431,34,769,53,14,182,113,230,103,695,1560,896,6389,3260,5381,759,18247,Keilor
21002,200,527,170,162,24,1246,107,138,435,250,275,52,1256,13,10,53,33,58,10,184,13,4,47,51,288,17,422,17,17,77,48,159,53,367,648,585,2575,1774,3906,417,9909,Macedon Ranges
20804,220,753,156,76,22,1780,568,219,1278,255,142,60,2523,42,20,156,46,55,8,329,37,13,116,76,139,10,386,95,27,248,87,77,51,583,3118,1077,7866,2029,1753,423,16270,Stonnington - East
20901,918,2404,620,452,83,5941,1218,700,3155,1141,1145,232,7587,64,51,339,149,180,20,806,113,62,282,258,718,44,1484,134,48,427,186,407,175,1376,5953,2983,15900,6690,10305,1292,43124,Banyule
21003,374,1017,285,220,52,2518,421,235,1210,599,573,101,3145,46,23,165,74,108,12,427,51,18,178,172,451,30,894,118,21,271,156,286,168,1024,2910,1165,7863,4026,5693,971,22621,Moreland - North
21004,190,583,195,227,34,1375,111,135,512,380,512,73,1723,6,4,47,38,79,16,198,7,3,35,105,429,15,588,17,6,46,64,215,45,391,529,525,2644,2339,5780,518,12348,Sunbury
21005,380,1291,541,563,93,3374,454,253,1711,1366,1474,243,5504,24,11,125,91,135,13,401,46,15,181,304,1040,76,1664,102,30,339,321,741,332,1861,2986,1113,9744,7716,13980,2045,37583,Tullamarine - Broadmeadows
21101,697,2180,740,606,105,5276,681,515,2799,1682,1857,266,7801,47,20,237,195,217,20,726,121,51,347,418,1422,76,2430,163,39,498,366,885,290,2232,4680,2175,15626,9605,17551,1893,51523,Knox
21102,133,450,103,82,16,999,202,133,616,244,173,52,1414,8,10,52,30,34,8,133,24,13,69,51,203,10,364,35,16,139,71,117,45,417,1010,534,3491,1485,2259,298,9084,Manningham - East
