SA3_MAIN11,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot,SA3_NAME11
10604,3,22,106,3,190,155,479,10,59,12,26,5,3,115,121,113,98,28,41,12,413,263,122,126,15,44,0,570,186,64,81,10,24,11,376,305,22,93,16,23,0,459,350,9,91,3,14,3,470,301,4,56,0,7,0,368,40,0,0,0,4,0,44,5,0,3,3,0,0,11,8,0,13,0,6,0,27,36,31,50,7,64,8,196,1628,446,729,111,422,192,3528,Upper Hunter
10701,7,267,85,10,9,61,439,18,610,15,9,5,8,665,123,549,102,29,64,5,872,342,358,180,20,27,7,934,194,138,155,12,17,3,519,483,233,188,5,21,14,944,793,82,277,4,27,8,1191,408,9,111,0,8,4,540,76,3,26,0,0,0,105,23,3,0,0,0,0,26,12,15,10,0,7,0,44,43,121,55,22,17,8,266,2522,2388,1204,111,202,118,6545,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,Illawarra Catchment Reserve
10703,11,128,100,16,15,81,351,4,415,9,26,3,3,460,52,403,68,23,29,6,581,250,282,166,29,17,10,754,256,101,192,10,22,3,584,546,216,265,14,24,8,1073,1205,75,380,7,32,4,1703,1024,6,242,0,13,6,1291,241,0,42,0,8,0,291,43,0,9,0,0,0,52,35,4,11,0,5,0,55,48,105,44,18,11,12,238,3715,1735,1528,143,179,133,7433,Kiama - Shellharbour
10704,31,376,161,33,30,141,772,17,1148,29,34,12,5,1245,166,630,152,45,39,3,1035,678,442,343,47,48,15,1573,616,163,244,17,35,6,1081,1305,187,418,21,52,7,1990,2132,192,543,15,38,12,2932,1880,21,416,9,17,7,2350,740,7,152,0,10,7,916,256,4,57,3,3,0,323,130,18,60,3,4,8,223,106,222,106,21,25,21,501,8057,3410,2681,248,313,232,14941,Wollongong
10801,5,29,66,7,28,64,199,3,76,14,10,4,0,107,89,49,91,46,38,3,316,443,40,179,33,33,3,731,215,7,112,8,13,0,355,401,11,132,3,12,0,559,464,5,104,3,6,0,582,156,0,31,0,4,0,191,6,0,8,0,3,0,17,0,0,3,0,0,0,3,10,0,7,0,0,0,17,24,9,46,3,14,7,103,1816,226,793,113,155,77,3180,Great Lakes
10802,6,59,142,27,26,133,393,4,166,24,23,21,4,242,174,188,179,110,66,11,728,580,152,278,58,46,13,1127,437,45,212,11,28,6,739,642,34,159,10,11,4,860,398,9,83,0,5,4,499,98,5,16,0,4,0,123,10,3,3,0,3,0,19,5,0,4,0,0,0,9,11,3,7,0,3,0,24,37,38,47,13,20,7,162,2402,702,1154,252,233,182,4925,Kempsey - Nambucca
10803,0,0,0,0,9,4,13,0,0,0,0,4,0,4,0,0,7,0,3,0,10,0,0,5,0,0,0,5,0,0,3,0,4,0,7,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,27,0,20,4,51,Lord Howe Island
10804,13,61,126,15,27,126,368,8,292,21,35,19,3,378,98,188,136,43,78,3,546,525,138,244,36,94,3,1040,391,71,224,3,36,3,728,922,42,312,11,30,8,1325,1305,20,363,14,18,4,1724,884,3,162,0,16,0,1065,151,3,23,3,3,0,183,26,3,3,0,0,0,32,30,3,16,0,3,0,52,50,56,61,23,31,17,238,4403,880,1691,183,355,167,7679,Port Macquarie
10805,10,66,123,19,39,117,374,24,161,32,15,7,5,244,245,162,187,68,40,6,708,673,137,286,40,46,8,1190,399,38,197,14,19,0,667,856,15,182,15,21,7,1096,556,4,73,9,4,5,651,113,3,29,0,0,0,145,7,0,3,0,0,0,10,3,0,3,0,0,0,6,13,3,17,0,6,0,39,29,47,47,12,26,12,173,2928,636,1179,192,208,160,5303,Taree - Gloucester
10901,9,97,103,17,51,97,374,36,245,39,38,15,3,376,741,234,223,41,32,10,1281,884,109,323,26,40,11,1393,460,68,200,6,29,8,771,806,34,201,4,33,3,1081,655,8,136,0,13,5,817,247,0,50,0,5,0,302,39,0,12,0,0,0,51,14,0,6,0,3,0,23,18,3,11,0,3,0,35,70,49,43,25,32,12,231,3979,847,1347,157,256,149,6735,Albury
10902,3,14,71,11,115,61,275,3,14,17,9,14,3,60,124,31,129,31,42,3,360,124,23,129,47,37,3,363,36,7,17,0,0,3,63,33,0,23,0,0,0,56,15,3,4,0,0,0,22,3,4,5,0,0,3,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,7,0,0,0,7,9,4,22,0,22,3,60,350,100,428,98,230,79,1285,Lower Murray
10903,14,24,180,58,152,163,591,60,31,61,22,20,3,197,339,106,304,32,55,14,850,567,36,256,15,41,9,924,200,5,108,0,16,4,333,341,0,76,0,16,7,440,125,0,39,0,12,0,176,33,0,12,0,0,0,45,6,0,6,0,3,0,15,0,0,3,0,0,0,3,9,0,15,0,3,0,27,33,17,62,6,45,12,175,1727,219,1122,133,363,212,3776,Upper Murray exc. Albury
11001,7,45,124,9,110,135,430,18,112,31,4,12,3,180,183,144,165,35,46,7,580,489,110,194,40,37,11,881,298,39,97,13,4,4,455,430,28,111,7,10,3,589,381,3,89,3,3,3,482,226,3,39,0,3,3,274,20,0,7,3,0,0,30,0,0,0,0,4,0,4,7,3,11,0,3,0,24,23,40,28,10,45,3,149,2082,527,896,124,277,172,4078,Armidale
11002,4,34,175,43,133,216,605,29,62,60,25,18,4,198,324,124,274,64,69,3,858,495,99,252,27,53,6,932,234,22,98,10,22,3,389,309,8,67,6,13,0,403,88,0,25,4,3,0,120,29,0,5,3,0,0,37,5,0,3,0,0,0,8,0,0,0,0,0,0,0,4,0,15,3,3,3,28,24,22,54,13,50,10,173,1545,371,1028,198,364,245,3751,Inverell - Tenterfield
11003,10,76,110,31,278,177,682,13,92,27,6,18,0,156,254,168,189,130,90,15,846,224,161,170,23,69,10,657,93,18,68,6,28,4,217,175,10,77,0,29,0,291,112,8,43,0,8,0,171,51,0,23,0,6,0,80,7,0,4,0,0,0,11,3,3,0,0,0,0,6,3,3,13,0,0,0,19,14,13,35,12,67,10,151,959,552,759,208,593,216,3287,Moree - Narrabri
11004,12,99,232,25,207,238,813,19,213,61,30,15,3,341,414,284,320,56,77,13,1164,908,235,434,43,85,7,1712,573,121,284,6,42,3,1029,978,46,277,7,37,6,1351,915,5,207,8,25,4,1164,316,0,68,3,14,4,405,39,0,8,0,6,0,53,8,0,0,0,0,0,8,15,4,27,0,4,0,50,70,53,85,19,90,25,342,4267,1060,2003,197,602,303,8432,Tamworth - Gunnedah
11101,12,207,168,23,15,92,517,6,626,23,29,7,3,694,104,540,138,60,43,3,888,402,378,246,23,26,11,1086,254,171,243,15,13,3,699,839,242,383,5,35,7,1511,1795,68,559,4,35,7,2468,1196,7,229,0,13,3,1448,342,6,64,0,3,3,418,65,3,16,0,4,0,88,51,14,22,0,0,3,90,81,124,73,21,19,17,335,5147,2386,2164,180,213,152,10242,Lake Macquarie - East
11102,7,79,106,19,27,85,323,7,239,18,30,15,3,312,58,253,103,86,75,7,582,195,150,171,51,97,3,667,168,45,171,9,8,3,404,631,131,270,6,39,4,1081,1042,46,299,7,26,11,1431,517,6,118,3,6,0,650,144,0,33,0,4,0,181,20,0,0,0,0,0,20,19,7,11,0,7,0,44,50,62,54,24,18,12,220,2858,1018,1354,235,322,128,5915,Lake Macquarie - West
11103,26,518,214,40,39,191,1028,11,1381,33,40,20,14,1499,227,731,314,114,44,8,1438,815,444,538,58,44,9,1908,580,157,429,29,59,9,1263,1671,171,722,26,113,21,2724,3481,95,1114,25,113,19,4847,2567,17,629,9,42,12,3276,754,3,182,0,15,6,960,259,3,77,3,9,3,354,229,16,100,3,7,0,355,146,213,166,125,39,30,719,10766,3749,4518,472,544,322,20371,Newcastle
11201,13,75,153,30,46,189,506,4,227,18,32,19,4,304,70,181,151,67,64,6,539,201,131,285,36,102,5,760,216,22,276,6,49,7,576,559,49,336,16,47,7,1014,1097,23,540,9,53,6,1728,1423,26,580,9,23,6,2067,460,4,187,3,10,3,667,159,0,79,0,3,4,245,92,5,68,3,7,5,180,60,53,86,19,28,13,259,4354,796,2759,230,451,255,8845,Richmond Valley - Coastal
11202,6,85,199,44,44,178,556,5,251,50,23,12,3,344,188,193,278,96,78,7,840,583,134,419,48,67,10,1261,371,47,326,8,46,7,805,808,37,374,16,39,6,1280,926,16,392,4,43,5,1386,271,0,106,3,9,3,392,27,0,18,0,0,3,48,5,3,0,0,0,0,8,14,3,14,3,3,0,37,46,44,87,32,35,15,259,3250,813,2263,277,376,237,7216,Richmond Valley - Hinterland
11203,11,70,142,13,17,154,407,7,309,23,16,4,7,366,58,215,183,51,123,0,630,187,124,307,28,110,11,767,216,24,281,15,38,3,577,664,52,402,7,37,8,1170,1613,28,681,15,65,21,2423,1561,15,476,12,52,14,2130,385,4,102,0,3,0,494,92,3,27,3,0,4,129,80,8,29,0,11,0,128,65,63,97,20,36,15,296,4939,915,2750,180,496,237,9517,Tweed Valley
11301,25,54,211,36,194,186,706,32,118,49,26,12,10,247,329,165,292,29,82,13,910,659,133,352,19,94,5,1262,359,12,171,9,28,5,584,425,11,90,0,15,3,544,181,0,44,0,6,4,235,89,0,24,0,0,0,113,7,3,0,0,0,0,10,0,3,3,0,3,0,9,14,3,7,0,3,0,27,33,31,71,5,71,17,228,2153,533,1314,124,508,243,4875,Griffith - Murrumbidgee (West)
11302,3,20,63,8,76,60,230,10,50,24,0,9,0,93,84,50,108,8,29,3,282,181,69,99,0,22,3,374,104,6,49,0,7,3,169,105,3,35,3,0,3,149,78,0,11,0,3,0,92,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,0,14,8,11,15,4,6,6,50,587,209,412,23,155,78,1464,Tumut - Tumbarumba
11303,20,187,286,51,138,214,896,36,375,65,21,27,7,531,371,412,307,55,53,18,1216,908,294,430,31,130,13,1806,450,91,270,7,189,3,1010,951,39,310,11,82,5,1398,1051,11,262,0,48,9,1381,499,3,99,0,17,3,621,98,4,16,0,5,0,123,13,3,8,0,0,0,24,30,4,20,0,3,0,57,73,89,99,9,59,16,345,4500,1512,2172,185,751,288,9408,Wagga Wagga
11401,23,121,166,29,52,149,540,8,254,29,30,33,3,357,198,346,230,94,71,7,946,601,275,416,57,113,11,1473,613,112,326,21,153,7,1232,1328,80,398,29,95,8,1938,1221,23,252,11,38,3,1548,418,5,77,3,11,3,517,25,3,22,0,3,3,56,12,0,10,0,0,0,22,36,4,13,0,7,0,60,57,58,80,18,39,14,266,4540,1281,2019,292,615,208,8955,Shoalhaven
11402,7,14,101,12,41,98,273,4,13,8,10,3,0,38,45,98,57,43,24,3,270,155,96,108,38,26,8,431,136,29,87,7,16,3,278,355,67,129,19,8,4,582,494,40,144,12,20,3,713,456,3,73,4,6,0,542,150,3,26,0,0,0,179,59,3,6,0,3,0,71,47,0,8,3,3,0,61,24,18,42,8,27,7,126,1932,384,789,156,177,126,3564,Southern Highlands
11501,6,11,139,14,15,67,252,3,31,0,26,0,0,60,3,23,25,55,4,3,113,12,24,28,23,20,0,107,21,7,36,5,48,0,117,44,6,53,9,37,0,149,153,9,119,4,29,0,314,1062,16,245,4,16,3,1346,1446,4,181,0,8,6,1645,704,3,89,4,3,0,803,697,3,80,8,5,6,799,80,14,71,41,21,12,239,4231,151,1066,193,206,97,5944,Baulkham Hills
11502,0,3,89,3,27,74,196,0,0,0,5,4,0,9,3,0,29,3,7,3,45,10,0,27,3,11,0,51,4,0,35,3,10,3,55,18,0,53,5,0,0,76,67,0,64,0,6,0,137,119,0,67,3,11,0,200,112,0,32,0,4,0,148,72,0,22,3,0,0,97,102,0,28,0,0,0,130,16,0,26,8,17,0,67,523,3,472,36,97,80,1211,Dural - Wisemans Ferry
11503,3,0,49,12,30,39,133,3,0,5,3,4,0,15,6,0,30,0,8,0,44,17,0,47,0,36,0,100,13,0,33,0,12,4,62,43,0,55,0,6,0,104,123,0,32,0,4,0,159,115,0,38,0,3,0,156,49,0,15,0,3,0,67,28,0,5,0,0,0,33,22,0,7,0,0,0,29,8,0,23,3,12,3,49,430,0,339,18,118,46,951,Hawkesbury
11504,3,3,37,4,7,31,85,0,0,3,0,0,0,3,3,0,22,0,4,0,29,11,3,19,0,17,0,50,18,3,26,0,16,0,63,25,0,27,0,13,0,65,60,0,48,0,10,0,118,129,0,42,0,10,0,181,199,0,25,0,0,0,224,210,0,35,3,3,0,251,107,0,13,0,0,0,120,12,3,22,0,7,4,48,777,12,319,7,87,35,1237,Rouse Hill - McGraths Hill
11601,17,396,129,50,13,83,688,3,961,5,24,0,3,996,17,729,68,34,11,7,866,74,566,132,39,11,6,828,129,176,142,17,15,3,482,481,310,240,27,16,7,1081,2213,124,619,29,43,21,3049,2631,20,471,7,76,15,3220,367,3,100,0,4,0,474,54,10,10,0,0,0,74,51,15,21,0,5,0,92,87,202,104,18,24,24,459,6124,3512,2041,245,218,169,12309,Blacktown
11602,9,20,70,0,11,44,154,3,62,3,3,3,0,74,4,51,24,12,28,0,119,40,51,44,9,57,5,206,37,12,51,4,68,0,172,100,30,67,13,60,0,270,418,55,168,3,30,0,674,1238,4,197,0,20,3,1462,833,0,114,0,3,0,950,489,3,52,4,3,0,551,112,0,24,7,0,0,143,47,18,45,3,18,13,144,3330,306,859,58,301,65,4919,Blacktown - North
