SA3_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,SA3_NAME11
10602,3749,519,492,66,0,4826,14581,784,496,62,6,15929,626,34,29,5,0,694,605,69,64,7,0,745,15812,887,589,74,6,17368,610,72,78,17,0,777,20171,1478,1159,157,6,22971,Maitland
10603,4195,751,382,260,5,5593,14406,1682,617,190,9,16904,744,80,40,13,4,881,611,138,65,35,0,849,15761,1900,722,238,13,18634,706,103,54,33,0,896,20662,2754,1158,531,18,25123,Port Stephens
10604,2387,126,201,83,6,2803,6322,150,216,54,13,6755,327,13,13,3,0,356,359,12,47,9,0,427,7008,175,276,66,13,7538,358,23,40,13,3,437,9753,324,517,162,22,10778,Upper Hunter
10701,5290,696,769,154,3,6912,14605,876,611,122,6,16220,790,77,50,11,3,931,659,70,91,9,0,829,16054,1023,752,142,9,17980,785,107,118,21,0,1031,22129,1826,1639,317,12,25923,Dapto - Port Kembla
10702,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,Illawarra Catchment Reserve
10703,4448,969,719,194,0,6330,17720,1799,832,159,5,20515,856,102,67,13,0,1038,708,162,84,6,0,960,19284,2063,983,178,5,22513,736,123,93,28,3,983,24468,3155,1795,400,8,29826,Kiama - Shellharbour
10704,5401,1662,2495,171,7,9736,20962,4001,6049,182,26,31220,947,216,311,8,3,1485,759,283,676,28,0,1746,22668,4500,7036,218,29,34451,911,262,444,41,0,1658,28980,6424,9975,430,36,45845,Wollongong
10801,2454,787,491,185,4,3921,5722,669,561,163,8,7123,307,59,31,9,0,406,264,53,74,14,0,405,6293,781,666,186,8,7934,288,92,74,31,0,485,9035,1660,1231,402,12,12340,Great Lakes
10802,4829,330,496,165,0,5820,9499,424,344,125,3,10395,672,29,22,12,3,738,469,30,57,9,0,565,10640,483,423,146,6,11698,568,58,66,34,0,726,16037,871,985,345,6,18244,Kempsey - Nambucca
10803,15,0,6,0,0,21,93,3,10,4,0,110,3,0,0,0,0,3,0,0,0,0,0,0,96,3,10,4,0,113,0,0,0,0,0,0,111,3,16,4,0,134,Lord Howe Island
10804,4805,1207,1075,419,3,7509,15181,1753,1389,274,13,18610,789,123,97,27,3,1039,569,111,163,34,0,877,16539,1987,1649,335,16,20526,651,154,187,42,0,1034,21995,3348,2911,796,19,29069,Port Macquarie
10805,4742,424,662,135,3,5966,11022,525,401,145,11,12104,646,37,26,4,0,713,471,57,71,14,5,618,12139,619,498,163,16,13435,560,57,100,14,3,734,17441,1100,1260,312,22,20135,Taree - Gloucester
10901,3818,380,1156,55,3,5412,12238,563,1435,48,11,14295,562,30,76,0,0,668,617,66,227,7,3,920,13417,659,1738,55,14,15883,623,58,174,5,3,863,17858,1097,3068,115,20,22158,Albury
10902,1311,30,97,53,0,1491,2494,17,62,42,3,2618,156,0,5,0,0,161,145,3,13,3,0,164,2795,20,80,45,3,2943,195,5,16,22,0,238,4301,55,193,120,3,4672,Lower Murray
10903,4045,246,503,124,3,4921,8643,159,355,135,26,9318,549,17,24,8,4,602,407,28,53,18,0,506,9599,204,432,161,30,10426,540,40,67,23,0,670,14184,490,1002,308,33,16017,Upper Murray exc. Albury
11001,2581,185,355,37,5,3163,7469,281,538,53,8,8349,457,17,30,4,0,508,425,33,94,7,0,559,8351,331,662,64,8,9416,369,23,59,17,0,468,11301,539,1076,118,13,13047,Armidale
11002,4600,114,370,109,7,5200,7526,84,187,83,8,7888,504,7,17,9,0,537,434,20,25,5,0,484,8464,111,229,97,8,8909,511,7,53,13,4,588,13575,232,652,219,19,14697,Inverell - Tenterfield
11003,2426,75,374,48,0,2923,4714,60,275,63,12,5124,235,3,13,0,0,251,394,12,51,3,0,460,5343,75,339,66,12,5835,357,10,55,17,0,439,8126,160,768,131,12,9197,Moree - Narrabri
11004,7064,467,858,100,10,8499,15901,436,694,112,33,17176,866,37,50,12,0,965,892,55,132,4,0,1083,17659,528,876,128,33,19224,936,100,134,44,0,1214,25659,1095,1868,272,43,28937,Tamworth - Gunnedah
11101,7463,1457,1136,161,3,10220,26473,1988,1265,127,14,29867,1127,125,71,12,0,1335,943,146,132,15,0,1236,28543,2259,1468,154,14,32438,1163,165,143,27,0,1498,37169,3881,2747,342,17,44156,Lake Macquarie - East
11102,4565,494,439,182,4,5684,16275,578,383,125,15,17376,719,45,36,6,0,806,743,31,31,9,0,814,17737,654,450,140,15,18996,758,67,75,33,0,933,23060,1215,964,355,19,25613,Lake Macquarie - West
11103,9796,2003,2551,37,16,14403,31738,4227,4352,142,56,40515,1142,178,215,5,0,1540,1394,352,567,15,7,2335,34274,4757,5134,162,63,44390,1513,327,496,6,4,2346,45583,7087,8181,205,83,61139,Newcastle
11201,3849,857,1055,424,0,6185,15765,1998,1387,366,28,19544,763,104,91,28,0,986,657,209,165,38,0,1069,17185,2311,1643,432,28,21599,660,115,132,99,3,1009,21694,3283,2830,955,31,28793,Richmond Valley - Coastal
11202,5673,453,742,244,4,7116,14986,524,717,167,14,16408,931,36,47,7,0,1021,737,61,92,35,0,925,16654,621,856,209,14,18354,734,69,108,27,0,938,23061,1143,1706,480,18,26408,Richmond Valley - Hinterland
11203,4396,2047,1372,570,13,8398,15261,3536,2168,416,22,21403,862,254,134,45,4,1299,647,269,236,48,4,1204,16770,4059,2538,509,30,23906,727,310,238,80,0,1355,21893,6416,4148,1159,43,33659,Tweed Valley
11301,4266,287,405,71,6,5035,8700,337,389,56,6,9488,501,22,21,3,0,547,552,44,68,11,0,675,9753,403,478,70,6,10710,590,33,74,29,0,726,14609,723,957,170,12,16471,Griffith - Murrumbidgee (West)
11302,1546,40,141,22,0,1749,2997,25,95,24,3,3144,184,0,3,0,3,190,168,0,23,0,0,191,3349,25,121,24,6,3525,189,7,10,9,16,231,5084,72,272,55,22,5505,Tumut - Tumbarumba
11303,7006,376,1021,75,14,8492,18879,524,1153,126,23,20705,973,32,73,6,0,1084,1118,68,200,7,0,1393,20970,624,1426,139,23,23182,936,57,173,20,8,1194,28912,1057,2620,234,45,32868,Wagga Wagga
11401,7694,665,685,336,27,9407,20645,896,584,231,28,22384,1443,98,59,19,3,1622,976,90,89,13,0,1168,23064,1084,732,263,31,25174,1035,97,99,51,4,1286,31793,1846,1516,650,62,35867,Shoalhaven
11402,2748,359,134,38,6,3285,10830,715,110,53,10,11718,593,35,18,3,0,649,449,43,20,8,0,520,11872,793,148,64,10,12887,466,46,14,7,0,533,15086,1198,296,109,16,16705,Southern Highlands
11501,2140,753,370,0,8,3271,30337,4160,1421,6,19,35943,633,126,51,0,3,813,500,157,105,0,3,765,31470,4443,1577,6,25,37521,839,154,80,0,0,1073,34449,5350,2027,6,33,41865,Baulkham Hills
11502,800,87,98,48,0,1033,5954,198,100,73,4,6329,253,7,4,0,0,264,146,9,10,6,3,174,6353,214,114,79,7,6767,205,4,20,8,0,237,7358,305,232,135,7,8037,Dural - Wisemans Ferry
11503,985,12,23,49,0,1069,5701,13,17,30,9,5770,277,0,3,3,0,283,151,3,3,6,0,163,6129,16,23,39,9,6216,257,0,0,6,0,263,7371,28,46,94,9,7548,Hawkesbury
10101,5952,473,366,116,6,6913,14690,427,275,139,34,15565,898,28,13,6,0,945,845,51,59,17,0,972,16433,506,347,162,34,17482,732,44,55,25,0,856,23117,1023,768,303,40,25251,Goulburn - Yass
10102,2098,451,619,45,6,3219,10989,1486,1374,139,11,13999,489,61,66,9,0,625,498,154,245,17,0,914,11976,1701,1685,165,11,15538,396,77,96,31,0,600,14470,2229,2400,241,17,19357,Queanbeyan
10103,1406,149,110,28,10,1703,3949,216,181,35,26,4407,261,8,18,3,0,290,200,43,34,3,3,283,4410,267,233,41,29,4980,177,21,17,21,36,272,5993,437,360,90,75,6955,Snowy Mountains
10104,5151,683,793,243,12,6882,15127,946,906,251,8,17238,1023,73,60,21,3,1180,644,76,86,12,3,821,16794,1095,1052,284,14,19239,705,116,96,37,3,957,22650,1894,1941,564,29,27078,South Coast
10201,8002,2897,1741,307,27,12974,34351,4736,2805,244,66,42202,1468,315,169,24,4,1980,1494,345,289,27,7,2162,37313,5396,3263,295,77,46344,1411,425,297,34,6,2173,46726,8718,5301,636,110,61491,Gosford
10202,10213,1890,1434,373,9,13919,31718,2650,1381,213,8,35970,1389,140,95,18,0,1642,1543,201,149,44,6,1943,34650,2991,1625,275,14,39555,1713,246,221,54,3,2237,46576,5127,3280,702,26,55711,Wyong
11504,664,78,7,33,0,782,6348,136,71,29,3,6587,208,3,0,3,0,214,181,7,9,3,0,200,6737,146,80,35,3,7001,221,14,0,7,0,242,7622,238,87,75,3,8025,Rouse Hill - McGraths Hill
11601,6408,916,768,22,12,8126,24273,3161,1672,38,38,29182,783,101,71,0,3,958,1010,185,139,3,3,1340,26066,3447,1882,41,44,31480,1341,219,168,5,4,1737,33815,4582,2818,68,60,41343,Blacktown
11602,1921,231,36,121,3,2312,15696,2270,171,125,5,18267,392,64,0,18,0,474,560,121,18,20,0,719,16648,2455,189,163,5,19460,609,86,13,28,0,736,19178,2772,238,312,8,22508,Blacktown - North
11603,4896,846,672,8,0,6422,17623,2337,911,5,3,20879,627,71,49,0,0,747,861,144,94,5,0,1104,19111,2552,1054,10,3,22730,1126,178,161,0,0,1465,25133,3576,1887,18,3,30617,Mount Druitt
11701,1280,406,1386,7,8,3087,3868,1469,4203,54,23,9617,121,58,187,3,0,369,108,50,288,7,3,456,4097,1577,4678,64,26,10442,199,83,306,4,0,592,5576,2066,6370,75,34,14121,Botany
11703,513,2189,6544,43,210,9499,2593,13041,40857,221,237,56949,71,336,1169,8,15,1599,144,871,3789,17,32,4853,2808,14248,45815,246,284,63401,120,522,1756,11,38,2447,3441,16959,54115,300,532,75347,Sydney Inner City
11801,791,948,3746,24,12,5521,8534,8306,19387,161,90,36478,165,236,771,12,3,1187,190,377,2068,17,5,2657,8889,8919,22226,190,98,40322,296,294,1003,3,4,1600,9976,10161,26975,217,114,47443,Eastern Suburbs - North
11802,2326,1031,4035,41,6,7439,11141,5764,18145,139,43,35232,319,159,683,6,5,1172,270,219,1597,9,5,2100,11730,6142,20425,154,53,38504,493,235,886,4,0,1618,14549,7408,25346,199,59,47561,Eastern Suburbs - South
11901,7543,1805,2163,56,7,11574,23244,5843,4443,106,19,33655,911,193,201,7,0,1312,852,265,310,13,5,1445,25007,6301,4954,126,24,36412,1441,374,513,10,0,2338,33991,8480,7630,192,31,50324,Bankstown
11902,5198,889,3224,52,31,9394,14874,2944,8688,123,118,26747,515,97,365,9,3,989,569,152,634,7,9,1371,15958,3193,9687,139,130,29107,925,204,814,10,6,1959,22081,4286,13725,201,167,40460,Canterbury
11903,4203,1145,2309,42,3,7702,17865,3136,8484,108,18,29611,550,105,280,3,0,938,417,119,441,17,0,994,18832,3360,9205,128,18,31543,759,220,484,4,0,1467,23794,4725,11998,174,21,40712,Hurstville
11904,4608,1069,2850,79,6,8612,15125,3412,11742,197,50,30526,556,138,460,12,0,1166,471,136,762,16,6,1391,16152,3686,12964,225,56,33083,815,163,657,23,0,1658,21575,4918,16471,327,62,43353,Kogarah - Rockdale
12001,2320,404,1235,22,4,3985,9391,2684,8939,90,40,21144,258,66,236,5,3,568,269,115,604,13,5,1006,9918,2865,9779,108,48,22718,367,97,331,4,3,802,12605,3366,11345,134,55,27505,Canada Bay
12002,902,701,935,32,0,2570,6066,6406,3995,191,18,16676,146,172,146,0,0,464,232,318,485,21,0,1056,6444,6896,4626,212,18,18196,183,165,190,15,0,553,7529,7762,5751,259,18,21319,Leichhardt
12003,4004,807,3095,58,8,7972,16167,3728,15783,220,53,35951,483,107,521,11,4,1126,431,151,989,19,9,1599,17081,3986,17293,250,66,38676,713,171,794,9,4,1691,21798,4964,21182,317,78,48339,Strathfield - Burwood - Ashfield
12101,1695,261,1693,18,3,3670,15513,2187,13038,67,36,30841,318,58,370,3,0,749,307,67,760,3,3,1140,16138,2312,14168,73,39,32730,390,61,401,0,3,855,18223,2634,16262,91,45,37255,Chatswood - Lane Cove
12102,1800,295,955,9,7,3066,15621,1321,4733,45,17,21737,386,42,156,0,3,587,317,58,268,0,0,643,16324,1421,5157,45,20,22967,488,59,188,3,0,738,18612,1775,6300,57,27,26771,Hornsby
12103,1945,213,907,7,8,3080,25079,1162,4359,14,32,30646,469,44,144,0,4,661,328,38,228,0,0,594,25876,1244,4731,14,36,31901,636,75,175,0,3,889,28457,1532,5813,21,47,35870,Ku-ring-gai
12104,530,434,2608,9,11,3592,7105,4664,18997,83,70,30919,151,107,670,0,3,931,148,184,1733,14,8,2087,7404,4955,21400,97,81,33937,174,109,644,9,7,943,8108,5498,24652,115,99,38472,North Sydney - Mosman
12201,542,175,962,8,0,1687,5206,1460,5221,32,13,11932,124,41,197,3,0,365,92,76,551,3,4,726,5422,1577,5969,38,17,13023,152,36,230,4,0,422,6116,1788,7161,50,17,15132,Manly
12202,1230,303,591,24,4,2152,12301,1652,1837,95,6,15891,382,62,108,3,0,555,318,47,169,17,0,551,13001,1761,2114,115,6,16997,401,103,118,3,0,625,14632,2167,2823,142,10,19774,Pittwater
12203,3219,709,2985,32,6,6951,25409,2091,11474,81,28,39083,694,82,490,4,0,1270,521,100,1122,8,0,1751,26624,2273,13086,93,28,42104,835,133,595,12,3,1578,30678,3115,16666,137,37,50633,Warringah
12301,1595,294,109,20,6,2024,12203,599,123,20,17,12962,436,30,11,3,0,480,559,38,12,3,0,612,13198,667,146,26,17,14054,441,33,10,4,0,488,15234,994,265,50,23,16566,Camden
12302,6482,1962,643,43,3,9133,27871,4353,873,120,15,33232,1096,224,62,3,0,1385,1369,425,102,11,0,1907,30336,5002,1037,134,15,36524,1462,322,104,9,3,1900,38280,7286,1784,186,21,47557,Campbelltown (NSW)
12303,1703,159,91,43,3,1999,8218,214,88,40,3,8563,441,10,7,3,0,461,304,10,10,10,0,334,8963,234,105,53,3,9358,438,12,18,18,0,486,11104,405,214,114,6,11843,Wollondilly
12401,3762,448,213,9,3,4435,20047,811,272,19,14,21163,786,46,11,3,0,846,659,54,46,11,0,770,21492,911,329,33,14,22779,644,58,34,5,3,744,25898,1417,576,47,20,27958,Blue Mountains
12402,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,Blue Mountains - South
12403,4998,1160,1001,97,43,7299,25836,3056,1936,77,20,30925,829,104,77,4,4,1018,1084,231,277,11,0,1603,27749,3391,2290,92,24,33546,1084,189,190,12,9,1484,33831,4740,3481,201,76,42329,Penrith
12404,1668,538,274,36,0,2516,6824,1026,352,37,3,8242,276,62,27,3,0,368,378,107,42,5,3,535,7478,1195,421,45,6,9145,304,57,33,3,0,397,9450,1790,728,84,6,12058,Richmond - Windsor
12405,2589,403,228,3,0,3223,10553,1046,401,13,3,12016,342,41,17,0,0,400,466,78,56,0,0,600,11361,1165,474,13,3,13016,547,86,52,3,0,688,14497,1654,754,19,3,16927,St Marys
12501,2172,442,1291,17,6,3928,7961,1988,6051,27,18,16045,252,59,195,3,0,509,251,77,391,5,3,727,8464,2124,6637,35,21,17281,552,114,406,4,0,1076,11188,2680,8334,56,27,22285,Auburn
12502,1915,440,723,12,3,3093,11032,2752,1543,37,47,15411,323,68,56,3,4,454,279,115,85,0,3,482,11634,2935,1684,40,54,16347,439,84,143,0,3,669,13988,3459,2550,52,60,20109,Carlingford
12503,6781,1188,2158,36,22,10185,20145,3377,4345,84,46,27997,785,157,208,4,3,1157,855,187,395,7,4,1448,21785,3721,4948,95,53,30602,1294,250,457,13,9,2023,29860,5159,7563,144,84,42810,Merrylands - Guildford
12504,3217,983,2648,15,0,6863,15366,4077,13286,20,41,32790,458,135,428,3,0,1024,433,198,815,0,0,1446,16257,4410,14529,23,41,35260,676,213,694,5,3,1591,20150,5606,17871,43,44,43714,Parramatta
12601,986,163,379,4,0,1532,9477,866,1831,22,4,12200,229,24,57,0,0,310,121,24,87,0,0,232,9827,914,1975,22,4,12742,255,30,73,0,0,358,11068,1107,2427,26,4,14632,Pennant Hills - Epping
12602,3308,916,2254,21,4,6503,18636,4878,9785,61,18,33378,494,143,338,3,0,978,428,154,657,7,0,1246,19558,5175,10780,71,18,35602,660,192,460,0,3,1315,23526,6283,13494,92,25,43420,Ryde - Hunters Hill
12701,3553,352,421,58,6,4390,14001,1416,210,42,9,15678,593,67,15,5,3,683,657,75,30,3,0,765,15251,1558,255,50,12,17126,799,88,68,11,0,966,19603,1998,744,119,18,22482,Bringelly - Green Valley
12702,8812,1912,2139,59,11,12933,26247,4326,2765,62,36,33436,1036,216,186,5,3,1446,1095,247,265,3,3,1613,28378,4789,3216,70,42,36495,1849,420,399,12,0,2680,39039,7121,5754,141,53,52108,Fairfield
12703,3547,1014,1644,6,6,6217,16183,2736,3478,16,20,22433,648,116,205,4,0,973,771,210,326,0,5,1312,17602,3062,4009,20,25,24718,856,301,383,3,3,1546,22005,4377,6036,29,34,32481,Liverpool
12801,3201,1111,2332,55,3,6702,17834,3615,7334,104,5,28892,580,149,365,3,0,1097,427,169,864,10,4,1474,18841,3933,8563,117,9,31463,646,182,459,5,0,1292,22688,5226,11354,177,12,39457,Cronulla - Miranda - Caringbah
12802,2838,665,956,55,0,4514,22923,2357,3125,52,4,28461,649,92,159,4,0,904,398,116,282,16,0,812,23970,2565,3566,72,4,30177,715,143,147,5,0,1010,27523,3373,4669,132,4,35701,Sutherland - Menai - Heathcote
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NSW)
20101,6547,777,1134,38,0,8496,21544,1032,1171,55,5,23807,1033,63,68,0,0,1164,1209,143,176,4,0,1532,23786,1238,1415,59,5,26503,961,136,171,3,5,1276,31294,2151,2720,100,10,36275,Ballarat
20102,2234,32,109,56,0,2431,6487,54,66,46,3,6656,468,0,4,7,0,479,368,3,9,5,0,385,7323,57,79,58,3,7520,319,7,8,9,0,343,9876,96,196,123,3,10294,Creswick - Daylesford - Ballan
20103,2912,80,172,114,0,3278,5076,62,80,70,8,5296,444,5,10,4,0,463,282,8,5,12,0,307,5802,75,95,86,8,6066,341,17,9,14,0,381,9055,172,276,214,8,9725,Maryborough - Pyrenees
20201,6408,468,855,89,0,7820,19684,754,953,92,7,21490,1048,35,51,3,0,1137,997,107,156,11,0,1271,21729,896,1160,106,7,23898,953,53,122,10,0,1138,29090,1417,2137,205,7,32856,Bendigo
20202,3292,94,253,66,3,3708,10647,78,163,97,6,10991,742,13,15,6,0,776,501,10,29,8,0,548,11890,101,207,111,6,12315,505,18,41,6,0,570,15687,213,501,183,9,16593,Heathcote - Castlemaine - Kyneton
20203,1337,14,36,38,0,1425,2376,8,20,35,0,2439,248,0,3,3,0,254,111,0,3,9,0,123,2735,8,26,47,0,2816,132,0,9,17,0,158,4204,22,71,102,0,4399,Loddon - Elmore
20301,929,14,11,8,0,962,4033,12,4,14,3,4066,213,0,0,0,0,213,179,5,0,3,3,190,4425,17,4,17,6,4469,165,5,0,0,0,170,5519,36,15,25,6,5601,Barwon - West
20302,11679,1169,2456,199,4,15507,38358,1877,3092,190,10,43527,1817,102,190,12,0,2121,2169,246,443,31,0,2889,42344,2225,3725,233,10,48537,1817,170,355,39,0,2381,55840,3564,6536,471,14,66425,Geelong
11702,1352,697,1144,41,0,3234,5198,4021,4720,178,28,14145,162,90,186,8,0,446,211,210,493,20,0,934,5571,4321,5399,206,28,15525,239,167,250,7,0,663,7162,5185,6793,254,28,19422,Marrickville - Sydenham - Petersham
20303,3394,298,373,33,0,4098,14873,588,537,54,6,16058,718,28,40,4,0,790,689,45,72,8,0,814,16280,661,649,66,6,17662,538,44,44,3,0,629,20212,1003,1066,102,6,22389,Surf Coast - Bellarine Peninsula
20401,4091,231,292,167,3,4784,11193,249,220,198,10,11870,687,22,12,12,0,733,649,20,42,22,0,733,12529,291,274,232,10,13336,590,41,44,52,4,731,17210,563,610,451,17,18851,Upper Goulburn Valley
20402,4126,379,480,57,0,5042,9922,263,382,92,3,10662,625,19,23,5,3,675,530,39,71,10,0,650,11077,321,476,107,6,11987,482,58,68,7,0,615,15685,758,1024,171,6,17644,Wangaratta - Benalla
20403,4491,485,622,72,6,5676,14871,601,668,107,7,16254,735,25,38,8,0,806,767,97,97,11,0,972,16373,723,803,126,7,18032,637,61,85,22,0,805,21501,1269,1510,220,13,24513,Wodonga - Alpine
20501,2877,407,273,71,0,3628,9788,425,187,61,4,10465,658,45,19,5,0,727,555,50,26,10,0,641,11001,520,232,76,4,11833,472,37,29,20,0,558,14350,964,534,167,4,16019,Baw Baw
20502,3860,258,464,206,3,4791,9293,250,439,157,11,10150,646,26,26,12,0,710,507,30,58,11,0,606,10446,306,523,180,11,11466,513,39,59,37,0,648,14819,603,1046,423,14,16905,Gippsland - East
20503,5111,401,370,86,0,5968,13010,291,244,82,12,13639,1047,17,18,6,0,1088,828,32,40,11,0,911,14885,340,302,99,12,15638,653,53,46,23,0,775,20649,794,718,208,12,22381,Gippsland - South West
20504,5395,373,1227,123,0,7118,16061,470,886,103,7,17527,796,23,65,9,0,893,969,52,159,14,0,1194,17826,545,1110,126,7,19614,880,55,200,19,0,1154,24101,973,2537,268,7,27886,Latrobe Valley
20505,3468,262,282,62,0,4074,9285,269,190,66,3,9813,575,17,25,4,0,621,479,27,30,10,0,546,10339,313,245,80,3,10980,490,34,37,4,0,565,14297,609,564,146,3,15619,Wellington
20601,3861,755,1271,27,3,5917,12272,4235,5194,125,11,21837,447,116,188,3,0,754,512,322,603,8,5,1450,13231,4673,5985,136,16,24041,586,158,236,8,0,988,17678,5586,7492,171,19,30946,Brunswick - Coburg
20602,2290,322,1099,25,0,3736,8335,2095,3238,128,11,13807,224,46,136,8,0,414,314,138,472,11,0,935,8873,2279,3846,147,11,15156,315,47,198,4,0,564,11478,2648,5143,176,11,19456,Darebin - South
20603,2089,546,1915,13,3,4566,9519,2563,4435,56,7,16580,310,87,213,0,0,610,380,165,494,3,0,1042,10209,2815,5142,59,7,18232,353,99,373,5,0,830,12651,3460,7430,77,10,23628,Essendon
