sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Lake Macquarie - East,11101,1244,1163,2405,4034,3823,7855,826,675,1499,359,348,710,5220,4842,10063,2778,2730,5506,653,622,1270,496,454,949,3921,3805,7730,143,158,299,69,145,213,503,280,789,324,553,874,11,10,18,1046,1142,2186,902,1044,1946,233,399,635,164,221,378,436,833,1268,8,10,12,1733,2502,4239,52,77,127,140,290,435,3,3,6,191,375,567,2468,2892,5356,131,200,328,15961,16908,32871
Lake Macquarie - West,11102,701,670,1370,2086,2057,4141,404,384,787,528,512,1040,3020,2952,5974,1588,1533,3126,353,379,731,473,468,943,2419,2386,4805,100,105,206,36,112,148,284,174,459,209,381,587,7,0,5,631,776,1407,456,568,1019,158,261,422,79,101,183,222,413,633,0,4,6,913,1353,2262,47,61,108,96,211,303,6,5,12,151,284,430,1681,1917,3596,82,114,196,9596,10439,20035
Newcastle,11103,1633,1351,2986,4507,4265,8773,1210,1128,2335,564,547,1112,6284,5942,12218,3033,2896,5927,899,838,1737,704,629,1335,4630,4369,8994,248,344,592,264,322,592,569,390,960,626,893,1517,18,14,36,1726,1964,3691,3135,3531,6665,1371,1362,2730,352,428,783,1056,1532,2587,18,20,32,5926,6874,12801,85,129,217,232,410,645,9,18,28,332,560,888,4783,5162,9951,541,744,1284,25848,26961,52808
Richmond Valley - Coastal,11201,639,636,1269,1921,1635,3552,682,657,1338,452,484,933,3052,2769,5823,1344,1322,2666,683,708,1388,293,351,645,2320,2379,4702,67,82,146,68,187,256,205,123,328,211,429,632,14,9,18,562,823,1383,173,290,464,182,276,460,57,71,123,271,586,855,3,7,7,678,1235,1912,43,60,105,105,238,343,6,3,6,145,304,449,4066,4289,8351,438,561,1000,11902,12987,24889
Richmond Valley - Hinterland,11202,609,594,1203,1960,1824,3779,686,635,1323,289,277,566,2936,2731,5667,1369,1367,2732,703,812,1516,165,147,313,2233,2324,4557,80,120,205,63,186,246,228,184,411,204,398,606,9,7,17,591,893,1483,308,416,722,242,317,559,76,114,191,243,518,753,5,3,10,865,1370,2238,39,50,88,74,165,241,4,4,9,119,214,338,3088,3095,6178,132,181,317,10572,11405,21982
Tweed Valley,11203,701,579,1279,2379,2223,4604,761,769,1531,417,378,795,3558,3372,6928,1550,1542,3088,657,778,1433,421,432,855,2623,2756,5374,99,133,232,71,182,251,255,178,430,211,522,735,7,16,19,645,1016,1663,351,489,837,190,311,500,74,140,209,207,580,783,8,10,17,829,1524,2348,57,73,125,99,205,310,6,4,10,156,286,447,3806,4146,7953,272,335,603,12582,14018,26595
Griffith - Murrumbidgee (West),11301,483,425,909,1520,1455,2978,550,539,1092,23,28,59,2099,2026,4127,1071,1065,2136,559,591,1147,39,41,76,1665,1690,3355,20,39,59,20,59,76,159,102,266,157,248,410,4,7,18,366,464,826,36,62,103,33,59,91,20,45,61,94,188,274,0,0,3,182,354,536,26,33,54,48,95,144,3,6,8,74,137,213,2617,2553,5172,274,273,550,7757,7927,15682
Tumut - Tumbarumba,11302,117,122,242,445,440,887,154,146,294,3,0,7,605,586,1189,342,322,664,59,61,117,8,11,14,402,388,794,16,12,26,9,17,27,51,48,98,38,83,119,0,3,3,113,165,275,7,28,34,7,18,27,3,13,12,32,57,87,0,0,0,48,121,166,5,17,20,6,21,28,0,0,0,15,34,49,909,709,1616,25,22,47,2231,2147,4381
Wagga Wagga,11303,929,813,1744,2656,2487,5147,1199,1185,2385,364,307,673,4216,3988,8201,1761,1679,3440,822,878,1696,450,449,898,3033,3002,6033,166,131,301,107,135,244,406,273,680,289,550,838,13,6,20,981,1101,2083,690,1428,2120,212,370,587,86,206,294,337,699,1029,3,7,12,1329,2715,4040,175,85,267,96,192,286,6,3,8,274,283,562,4177,3260,7432,131,187,322,15066,15353,30417
Shoalhaven,11401,916,856,1773,3082,2893,5972,359,327,682,269,297,567,3707,3515,7219,1969,1933,3905,418,442,860,394,305,701,2786,2673,5459,91,102,192,67,131,195,345,212,552,206,458,658,16,12,27,715,906,1624,180,344,527,120,250,372,47,96,139,241,501,739,4,4,9,586,1200,1787,56,75,135,91,239,327,3,3,10,154,318,471,4512,4068,8577,158,208,367,13538,13748,27286
Southern Highlands,11402,454,380,830,1269,1259,2531,330,311,639,357,341,701,1957,1913,3873,657,632,1290,582,547,1128,329,589,919,1571,1766,3333,29,39,70,13,45,61,188,101,289,117,213,335,3,3,11,360,399,753,130,191,321,47,109,161,31,62,95,144,300,440,0,14,13,354,673,1031,27,50,78,58,147,208,0,4,7,85,203,288,1532,1751,3288,89,119,208,6397,7203,13599
Baulkham Hills,11501,1449,1374,2821,5095,4791,9886,1298,1258,2557,843,769,1614,7233,6817,14051,3334,3053,6383,1426,1455,2878,1276,1152,2426,6032,5658,11694,196,180,374,124,279,404,477,168,646,293,529,829,5,13,19,1096,1178,2270,2683,2813,5494,452,594,1047,434,348,783,709,887,1594,17,37,52,4303,4671,8976,180,247,428,246,387,632,7,8,14,425,641,1069,1997,2461,4458,889,1214,2099,23419,24013,47432
Dural - Wisemans Ferry,11502,258,230,491,788,683,1474,176,180,361,256,258,513,1218,1126,2346,433,399,838,274,299,575,461,343,806,1174,1041,2217,33,30,58,7,26,35,161,67,229,57,74,130,0,0,0,254,199,453,337,376,711,46,69,109,71,67,134,94,134,228,0,0,3,538,649,1186,14,22,38,33,70,102,0,5,7,50,102,145,593,663,1254,74,92,168,4155,4104,8263
Hawkesbury,11503,278,212,487,833,824,1659,126,118,243,155,131,282,1114,1075,2188,509,549,1056,174,190,362,188,178,364,863,921,1785,36,39,80,8,24,26,164,71,232,60,105,168,0,0,3,265,241,507,134,215,354,28,53,83,30,48,77,57,150,204,0,0,0,248,477,722,6,13,24,32,45,79,0,0,0,39,67,107,848,846,1687,26,46,76,3690,3875,7565
Rouse Hill - McGraths Hill,11504,435,388,817,1242,1185,2431,437,385,819,337,306,644,2017,1873,3890,616,588,1201,471,415,890,399,442,842,1493,1448,2935,29,43,67,16,44,57,173,68,237,63,133,198,4,9,6,281,292,571,348,438,789,73,104,179,83,85,170,138,191,334,3,3,4,649,821,1472,24,33,65,42,90,126,0,0,0,72,120,193,550,590,1136,103,164,269,5589,5699,11293
Blacktown,11601,1244,1123,2375,4138,3831,7966,1400,1360,2761,520,446,966,6056,5633,11692,2763,2582,5347,1391,1290,2680,391,445,835,4543,4319,8862,278,238,516,221,361,588,355,219,578,403,657,1059,17,20,36,1280,1495,2778,1697,1739,3439,588,734,1328,254,284,534,467,665,1132,13,19,36,3024,3450,6469,296,288,579,275,447,724,11,10,21,579,744,1325,3558,3768,7325,619,948,1563,20904,21484,42395
Blacktown - North,11602,1139,1043,2177,3721,3365,7084,1096,1106,2204,577,488,1065,5392,4956,10348,2009,1934,3939,1066,1044,2102,469,436,908,3542,3407,6949,149,142,294,98,161,256,309,134,443,202,408,612,0,8,7,766,849,1620,1264,1354,2615,302,361,669,206,225,434,438,604,1036,16,8,21,2222,2555,4782,175,176,346,141,268,417,3,4,7,319,451,768,2777,1834,4608,441,729,1168,16595,15827,32424
Mount Druitt,11603,997,895,1890,4103,3748,7849,1056,1054,2110,738,716,1453,5895,5516,11412,2485,2567,5053,1326,1204,2531,553,580,1129,4367,4355,8720,221,247,463,165,390,556,343,213,560,292,549,846,16,15,34,1037,1420,2452,1087,1358,2440,330,421,753,193,223,409,296,458,755,20,16,35,1917,2472,4392,185,250,436,202,361,562,6,14,19,393,628,1017,4158,4189,8346,435,661,1096,19198,20132,39327
Botany,11701,383,352,737,989,884,1877,632,610,1241,126,102,228,1750,1600,3345,534,514,1047,579,543,1123,143,130,275,1255,1184,2442,104,109,208,109,162,273,124,67,194,120,211,339,0,9,13,459,562,1024,975,1015,1994,439,347,778,77,104,183,242,291,537,8,16,17,1742,1777,3515,124,185,307,121,195,320,5,5,7,254,390,640,1998,1965,3964,676,777,1457,8518,8598,17121
