SA3_MAIN11,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total,SA3_NAME11
10103,0,9,527,536,8,62,273,343,222,190,293,705,610,170,247,1027,763,143,359,1265,712,82,340,1134,518,36,204,758,264,8,126,398,62,0,55,117,3159,700,2424,6283,0,24,438,462,24,100,187,311,318,198,244,760,725,163,237,1125,808,134,330,1272,661,68,312,1041,462,19,242,723,156,5,266,427,33,0,138,171,3187,711,2394,6292,0,33,965,998,32,162,460,654,540,388,537,1465,1335,333,484,2152,1571,277,689,2537,1373,150,652,2175,980,55,446,1481,420,13,392,825,95,0,193,288,6346,1411,4818,12575,Snowy Mountains
10104,3,24,1881,1908,23,174,758,955,603,502,826,1931,1584,594,934,3112,2380,584,1273,4237,3347,504,1225,5076,2957,208,821,3986,1505,39,601,2145,305,0,233,538,12707,2629,8552,23888,3,73,1707,1783,89,286,545,920,896,558,802,2256,1926,583,998,3507,2720,627,1436,4783,3493,435,1321,5249,2556,137,1160,3853,1028,28,1202,2258,159,5,586,750,12870,2732,9757,25359,6,97,3588,3691,112,460,1303,1875,1499,1060,1628,4187,3510,1177,1932,6619,5100,1211,2709,9020,6840,939,2546,10325,5513,345,1981,7839,2533,67,1803,4403,464,5,819,1288,25577,5361,18309,49247,South Coast
10201,4,31,5065,5100,119,436,3537,4092,2675,1465,3042,7182,5747,1239,2215,9201,6444,990,2657,10091,6151,614,2271,9036,4518,281,1583,6382,2851,75,1150,4076,770,18,593,1381,29279,5149,22113,56541,7,72,4634,4713,258,682,2953,3893,3616,1551,2627,7794,6437,1189,2758,10384,6824,1020,3520,11364,5960,560,3320,9840,4035,183,2992,7210,2138,50,3242,5430,432,8,1816,2256,29707,5315,27862,62884,11,103,9699,9813,377,1118,6490,7985,6291,3016,5669,14976,12184,2428,4973,19585,13268,2010,6177,21455,12111,1174,5591,18876,8553,464,4575,13592,4989,125,4392,9506,1202,26,2409,3637,58986,10464,49975,119425,Gosford
10202,4,57,4882,4943,158,499,2977,3634,2602,1584,2676,6862,4773,1269,2358,8400,5180,895,2674,8749,5044,493,2147,7684,4343,248,1572,6163,2619,66,1156,3841,583,5,483,1071,25306,5116,20925,51347,3,114,4551,4668,326,784,2555,3665,3389,1637,2707,7733,5277,1217,3034,9528,5424,867,3226,9517,5077,474,2948,8499,3987,161,2859,7007,1905,47,2728,4680,281,8,1352,1641,25669,5309,25960,56938,7,171,9433,9611,484,1283,5532,7299,5991,3221,5383,14595,10050,2486,5392,17928,10604,1762,5900,18266,10121,967,5095,16183,8330,409,4431,13170,4524,113,3884,8521,864,13,1835,2712,50975,10425,46885,108285,Wyong
10301,3,17,1297,1317,49,257,992,1298,771,488,809,2068,1420,317,607,2344,1590,276,664,2530,1636,155,560,2351,1090,55,381,1526,536,3,219,758,94,3,68,165,7189,1571,5597,14357,0,67,1192,1259,82,344,875,1301,994,469,710,2173,1640,318,684,2642,1730,240,702,2672,1545,140,627,2312,882,39,604,1525,396,3,570,969,42,0,287,329,7311,1620,6251,15182,3,84,2489,2576,131,601,1867,2599,1765,957,1519,4241,3060,635,1291,4986,3320,516,1366,5202,3181,295,1187,4663,1972,94,985,3051,932,6,789,1727,136,3,355,494,14500,3191,11848,29539,Bathurst
10601,0,30,2687,2717,86,396,1634,2116,1693,1016,1626,4335,2869,778,1304,4951,3261,525,1394,5180,3307,276,1093,4676,2059,91,692,2842,900,26,414,1340,155,5,145,305,14330,3143,10989,28462,5,98,2452,2555,206,609,1332,2147,2142,1003,1360,4505,3285,729,1288,5302,3408,497,1376,5281,3149,234,1303,4686,1703,62,992,2757,630,16,1006,1652,61,0,463,524,14589,3248,11572,29409,5,128,5139,5272,292,1005,2966,4263,3835,2019,2986,8840,6154,1507,2592,10253,6669,1022,2770,10461,6456,510,2396,9362,3762,153,1684,5599,1530,42,1420,2992,216,5,608,829,28919,6391,22561,57871,Lower Hunter
10602,0,19,2087,2106,80,322,1448,1850,1604,829,1324,3757,2647,510,889,4046,2664,343,888,3895,2453,165,691,3309,1533,62,394,1989,768,20,242,1030,152,4,110,266,11901,2274,8073,22248,5,64,2019,2088,164,487,1128,1779,2043,806,1101,3950,2915,478,1125,4518,2772,342,1101,4215,2378,134,971,3483,1273,37,802,2112,548,11,819,1378,86,0,413,499,12184,2359,9479,24022,5,83,4106,4194,244,809,2576,3629,3647,1635,2425,7707,5562,988,2014,8564,5436,685,1989,8110,4831,299,1662,6792,2806,99,1196,4101,1316,31,1061,2408,238,4,523,765,24085,4633,17552,46270,Maitland
10603,0,18,2033,2051,81,267,1130,1478,1060,603,1018,2681,2105,544,895,3544,2593,416,1054,4063,2738,264,943,3945,2587,146,736,3469,1317,39,413,1769,242,6,176,424,12723,2303,8398,23424,6,57,1876,1939,162,341,919,1422,1390,630,959,2979,2449,564,1095,4108,2749,386,1166,4301,2872,263,1142,4277,2299,91,1073,3463,914,24,1012,1950,124,3,501,628,12965,2359,9743,25067,6,75,3909,3990,243,608,2049,2900,2450,1233,1977,5660,4554,1108,1990,7652,5342,802,2220,8364,5610,527,2085,8222,4886,237,1809,6932,2231,63,1425,3719,366,9,677,1052,25688,4662,18141,48491,Port Stephens
10604,0,12,851,863,35,168,586,789,650,408,601,1659,1026,280,480,1786,1125,196,522,1843,1077,120,403,1600,692,30,261,983,332,10,158,500,69,4,47,120,5006,1228,3909,10143,0,38,785,823,92,240,411,743,814,415,481,1710,1128,239,402,1769,1197,193,437,1827,974,99,381,1454,609,23,339,971,237,5,371,613,22,0,174,196,5073,1252,3781,10106,0,50,1636,1686,127,408,997,1532,1464,823,1082,3369,2154,519,882,3555,2322,389,959,3670,2051,219,784,3054,1301,53,600,1954,569,15,529,1113,91,4,221,316,10079,2480,7690,20249,Upper Hunter
10701,0,16,2410,2426,59,175,1691,1925,1508,616,1550,3674,2548,480,1250,4278,2961,370,1344,4675,2738,190,929,3857,2129,71,627,2827,1333,33,491,1857,218,9,176,403,13494,1960,10468,25922,6,38,2154,2198,183,290,1433,1906,1931,642,1355,3928,2873,436,1286,4595,3024,367,1351,4742,2685,134,1143,3962,1936,68,1152,3156,933,21,1173,2127,91,6,472,569,13662,2002,11519,27183,6,54,4564,4624,242,465,3124,3831,3439,1258,2905,7602,5421,916,2536,8873,5985,737,2695,9417,5423,324,2072,7819,4065,139,1779,5983,2266,54,1664,3984,309,15,648,972,27156,3962,21987,53105,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Illawarra Catchment Reserve
10703,0,18,3021,3039,65,233,1847,2145,1629,798,1528,3955,3284,527,1113,4924,3766,465,1229,5460,3514,234,930,4678,2443,110,617,3170,1320,29,433,1782,235,3,175,413,16256,2417,10893,29566,8,50,2747,2805,185,396,1576,2157,2110,738,1329,4177,3619,562,1403,5584,4007,477,1495,5979,3387,190,1219,4796,2204,85,1186,3475,880,14,1249,2143,136,0,545,681,16536,2512,12749,31797,8,68,5768,5844,250,629,3423,4302,3739,1536,2857,8132,6903,1089,2516,10508,7773,942,2724,11439,6901,424,2149,9474,4647,195,1803,6645,2200,43,1682,3925,371,3,720,1094,32792,4929,23642,61363,Kiama - Shellharbour
10704,0,18,3559,3577,93,402,4187,4682,2503,1300,3526,7329,4496,849,2038,7383,4598,612,2188,7398,4101,338,1565,6004,3012,106,984,4102,1906,23,661,2590,478,5,325,808,21187,3653,19033,43873,7,61,3425,3493,252,565,3415,4232,3259,1350,2579,7188,4890,811,2043,7744,4697,604,2414,7715,4034,296,2086,6416,2741,80,1698,4519,1394,14,1936,3344,223,3,1042,1268,21497,3784,20638,45919,7,79,6984,7070,345,967,7602,8914,5762,2650,6105,14517,9386,1660,4081,15127,9295,1216,4602,15113,8135,634,3651,12420,5753,186,2682,8621,3300,37,2597,5934,701,8,1367,2076,42684,7437,39671,89792,Wollongong
10801,0,4,736,740,17,60,345,422,258,209,343,810,665,192,424,1281,918,203,581,1702,1304,153,541,1998,1395,113,488,1996,871,32,397,1300,192,4,139,335,5620,970,3994,10584,0,28,728,756,36,107,292,435,370,199,370,939,808,202,456,1466,1055,204,638,1897,1386,161,602,2149,1288,71,680,2039,677,20,658,1355,103,3,355,461,5723,995,4779,11497,0,32,1464,1496,53,167,637,857,628,408,713,1749,1473,394,880,2747,1973,407,1219,3599,2690,314,1143,4147,2683,184,1168,4035,1548,52,1055,2655,295,7,494,796,11343,1965,8773,22081,Great Lakes
10802,0,23,1351,1374,29,128,611,768,464,280,653,1397,981,358,669,2008,1525,373,1096,2994,2025,310,1056,3391,1690,121,695,2506,855,42,442,1339,234,7,178,419,7803,1642,6751,16196,0,55,1173,1228,64,170,533,767,628,349,745,1722,1209,369,844,2422,1776,409,1123,3308,2016,272,1033,3321,1479,82,864,2425,607,15,846,1468,108,6,430,544,7887,1727,7591,17205,0,78,2524,2602,93,298,1144,1535,1092,629,1398,3119,2190,727,1513,4430,3301,782,2219,6302,4041,582,2089,6712,3169,203,1559,4931,1462,57,1288,2807,342,13,608,963,15690,3369,14342,33401,Kempsey - Nambucca
10803,0,0,6,6,0,0,3,3,4,0,10,14,9,7,3,19,17,6,5,28,13,0,3,16,10,0,3,13,5,0,4,9,0,0,0,0,58,13,37,108,0,0,0,0,0,0,3,3,6,5,5,16,9,7,5,21,21,4,3,28,10,0,10,20,13,0,6,19,3,0,0,3,0,0,3,3,62,16,35,113,0,0,6,6,0,0,6,6,10,5,15,30,18,14,8,40,38,10,8,56,23,0,13,36,23,0,9,32,8,0,4,12,0,0,3,3,120,29,72,221,Lord Howe Island
10804,0,23,2081,2104,54,204,996,1254,963,564,893,2420,2133,545,949,3627,2621,440,1175,4236,3030,366,1057,4453,2962,194,805,3961,1912,55,582,2549,404,10,305,719,14079,2401,8843,25323,3,56,1862,1921,132,322,776,1230,1288,564,915,2767,2481,526,1220,4227,2963,488,1578,5029,3113,309,1374,4796,2753,151,1433,4337,1407,35,1531,2973,197,3,856,1056,14337,2454,11545,28336,3,79,3943,4025,186,526,1772,2484,2251,1128,1808,5187,4614,1071,2169,7854,5584,928,2753,9265,6143,675,2431,9249,5715,345,2238,8298,3319,90,2113,5522,601,13,1161,1775,28416,4855,20388,53659,Port Macquarie
10805,0,24,1499,1523,31,141,654,826,595,362,664,1621,1309,366,686,2361,1839,357,962,3158,2303,304,922,3529,2083,134,659,2876,1120,35,438,1593,229,0,172,401,9509,1723,6656,17888,3,49,1383,1435,73,216,605,894,803,388,730,1921,1592,359,856,2807,2058,375,1037,3470,2389,250,995,3634,1859,98,979,2936,753,13,968,1734,90,0,460,550,9620,1748,8013,19381,3,73,2882,2958,104,357,1259,1720,1398,750,1394,3542,2901,725,1542,5168,3897,732,1999,6628,4692,554,1917,7163,3942,232,1638,5812,1873,48,1406,3327,319,0,632,951,19129,3471,14669,37269,Taree - Gloucester
10901,0,33,1869,1902,54,272,1232,1558,1114,618,1234,2966,1953,381,858,3192,2242,295,899,3436,2129,202,822,3153,1395,82,491,1968,773,11,320,1104,166,3,112,281,9826,1897,7837,19560,3,75,1771,1849,131,372,1185,1688,1455,576,1161,3192,2148,402,996,3546,2357,321,1162,3840,2093,152,987,3232,1211,51,843,2105,552,13,831,1396,80,0,425,505,10030,1962,9361,21353,3,108,3640,3751,185,644,2417,3246,2569,1194,2395,6158,4101,783,1854,6738,4599,616,2061,7276,4222,354,1809,6385,2606,133,1334,4073,1325,24,1151,2500,246,3,537,786,19856,3859,17198,40913,Albury
10902,0,12,358,370,9,27,176,212,185,109,183,477,401,102,183,686,505,97,260,862,540,64,185,789,418,21,163,602,191,4,106,301,25,0,22,47,2274,436,1636,4346,3,9,328,340,28,56,142,226,249,114,160,523,473,93,152,718,561,117,204,882,515,44,185,744,355,16,146,517,132,0,146,278,10,3,74,87,2326,452,1537,4315,3,21,686,710,37,83,318,438,434,223,343,1000,874,195,335,1404,1066,214,464,1744,1055,108,370,1533,773,37,309,1119,323,4,252,579,35,3,96,134,4600,888,3173,8661,Lower Murray
10903,0,15,1213,1228,24,133,528,685,542,349,516,1407,1215,293,505,2013,1531,254,696,2481,1890,199,679,2768,1544,73,559,2176,924,25,373,1322,181,0,154,335,7851,1341,5223,14415,0,27,990,1017,61,210,357,628,785,338,461,1584,1341,293,578,2212,1696,264,592,2552,1896,167,554,2617,1443,50,678,2171,629,14,719,1362,81,3,342,426,7932,1366,5271,14569,0,42,2203,2245,85,343,885,1313,1327,687,977,2991,2556,586,1083,4225,3227,518,1288,5033,3786,366,1233,5385,2987,123,1237,4347,1553,39,1092,2684,262,3,496,761,15783,2707,10494,28984,Upper Murray exc. Albury
11001,0,29,1076,1105,55,174,749,978,548,337,639,1524,1066,232,425,1723,1393,209,569,2171,1392,151,489,2032,941,54,293,1288,460,3,190,653,98,0,62,160,5953,1189,4492,11634,0,58,1078,1136,98,237,731,1066,720,330,583,1633,1234,246,559,2039,1520,215,593,2328,1283,114,589,1986,831,26,524,1381,295,4,549,848,54,0,234,288,6035,1230,5440,12705,0,87,2154,2241,153,411,1480,2044,1268,667,1222,3157,2300,478,984,3762,2913,424,1162,4499,2675,265,1078,4018,1772,80,817,2669,755,7,739,1501,152,0,296,448,11988,2419,9932,24339,Armidale
11002,3,30,988,1021,40,136,495,671,530,339,567,1436,1075,274,533,1882,1386,247,703,2336,1595,152,694,2441,1364,86,545,1995,674,18,291,983,109,3,92,204,6776,1285,4908,12969,5,73,909,987,75,194,376,645,719,349,536,1604,1260,278,606,2144,1516,235,687,2438,1590,132,665,2387,1230,45,644,1919,418,19,707,1144,48,0,336,384,6861,1325,5466,13652,8,103,1897,2008,115,330,871,1316,1249,688,1103,3040,2335,552,1139,4026,2902,482,1390,4774,3185,284,1359,4828,2594,131,1189,3914,1092,37,998,2127,157,3,428,588,13637,2610,10374,26621,Inverell - Tenterfield
