SA4_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,SA4_NAME11
114,10447,1026,820,372,25,12690,31475,1608,700,283,37,34103,2034,135,73,22,3,2267,1424,135,109,22,5,1695,34933,1878,882,327,45,38065,1497,138,112,64,8,1819,46877,3042,1814,763,78,52574,Southern Highlands and Shoalhaven
115,4590,926,500,133,7,6156,48340,4508,1610,131,37,54626,1370,136,58,4,3,1571,981,181,122,16,4,1304,50691,4825,1790,151,44,57501,1523,172,104,20,0,1819,56804,5923,2394,304,51,65476,Sydney - Baulkham Hills and Hawkesbury
116,13227,1995,1473,147,16,16858,57592,7768,2751,174,46,68331,1802,235,118,19,4,2178,2430,452,256,22,3,3163,61824,8455,3125,215,53,73672,3079,481,343,33,4,3940,78130,10931,4941,395,73,94470,Sydney - Blacktown
117,3146,3294,9073,88,222,15823,11657,18528,49781,460,280,80706,354,491,1542,12,20,2419,465,1131,4566,44,39,6245,12476,20150,55889,516,339,89370,556,769,2311,19,41,3696,16178,24213,67273,623,602,108889,Sydney - City and Inner South
118,3118,1981,7776,64,17,12956,19671,14071,37538,302,131,71713,487,397,1451,17,7,2359,463,596,3662,26,10,4757,20621,15064,42651,345,148,78829,788,526,1890,8,5,3217,24527,17571,52317,417,170,95002,Sydney - Eastern Suburbs
119,21552,4903,10548,225,50,37278,71107,15333,33362,531,206,120539,2536,529,1303,30,6,4404,2306,678,2148,51,17,5200,75949,16540,36813,612,229,130143,3938,959,2470,52,7,7426,101439,22402,49831,889,286,174847,Sydney - Inner South West
120,7222,1913,5263,116,11,14525,31625,12820,28715,503,113,73776,884,343,903,15,6,2151,932,587,2078,54,11,3662,33441,13750,31696,572,130,79589,1265,429,1314,27,12,3047,41928,16092,38273,715,153,97161,Sydney - Inner West
121,5969,1202,6167,39,31,13408,63320,9333,41122,208,163,114146,1319,248,1346,3,7,2923,1106,345,2988,23,11,4473,65745,9926,45456,234,181,121542,1689,308,1407,11,9,3424,73403,11436,53030,284,221,138374,Sydney - North Sydney and Hornsby
122,4985,1190,4540,63,14,10792,42914,5204,18532,204,52,66906,1203,181,797,10,0,2191,933,224,1844,32,3,3036,45050,5609,21173,246,55,72133,1388,267,941,21,4,2621,51423,7066,26654,330,73,85546,Sydney - Northern Beaches
123,9781,2415,846,104,10,13156,48291,5168,1080,188,30,54757,1973,265,81,9,0,2328,2238,469,124,18,0,2849,52502,5902,1285,215,30,59934,2337,368,132,33,3,2873,64620,8685,2263,352,43,75963,Sydney - Outer South West
124,13014,2547,1718,147,46,17472,63262,5937,2958,151,43,72351,2232,257,130,9,3,2631,2588,469,424,21,0,3502,68082,6663,3512,181,46,78484,2579,393,306,25,12,3315,83675,9603,5536,353,104,99271,Sydney - Outer West and Blue Mountains
125,14080,3056,6819,83,35,24073,54502,12194,25229,162,152,92239,1818,415,887,14,9,3143,1818,579,1683,14,8,4102,58138,13188,27799,190,169,99484,2964,663,1701,17,11,5356,75182,16907,36319,290,215,128913,Sydney - Parramatta
126,4293,1080,2631,25,4,8033,28109,5748,11614,83,22,45576,724,165,393,4,0,1286,549,176,751,8,0,1484,29382,6089,12758,95,22,48346,918,222,527,3,3,1673,34593,7391,15916,123,29,58052,Sydney - Ryde
127,15916,3279,4204,124,20,23543,56425,8475,6454,125,69,71548,2275,402,408,12,4,3101,2529,529,619,6,6,3689,61229,9406,7481,143,79,78338,3502,810,850,23,0,5185,80647,13495,12535,290,99,107066,Sydney - South West
128,6041,1778,3287,111,3,11220,40755,5975,10456,152,12,57350,1229,239,529,8,0,2005,823,288,1145,24,3,2283,42807,6502,12130,184,15,61638,1362,322,606,11,0,2301,50210,8602,16023,306,18,75159,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,11690,892,1410,207,4,14203,33112,1144,1315,175,11,35757,1941,74,80,10,0,2105,1859,153,191,22,0,2225,36912,1371,1586,207,11,40087,1623,157,192,28,3,2003,50225,2420,3188,442,18,56293,Ballarat
202,11033,575,1146,193,3,12950,32705,843,1132,225,13,34918,2040,45,70,12,0,2167,1614,115,191,24,0,1944,36359,1003,1393,261,13,39029,1588,68,172,38,0,1866,48980,1646,2711,492,16,53845,Bendigo
203,15998,1483,2841,238,8,20568,57264,2481,3631,261,13,63650,2746,126,232,16,0,3120,3038,294,519,43,5,3899,63048,2901,4382,320,18,70669,2526,216,397,44,0,3183,81572,4600,7620,602,26,94420,Geelong
204,12709,1097,1399,297,6,15508,35989,1107,1270,399,23,38788,2042,66,77,24,3,2212,1947,158,209,39,0,2353,39978,1331,1556,462,26,43353,1709,161,191,82,4,2147,54396,2589,3146,841,36,61008,Hume
205,20710,1696,2618,551,3,25578,57439,1705,1948,466,37,61595,3728,128,149,33,0,4038,3331,197,308,58,0,3894,64498,2030,2405,557,37,69527,3005,221,377,98,3,3704,88213,3947,5400,1206,43,98809,Latrobe - Gippsland
206,11004,5544,14707,139,22,31416,47362,34272,73216,783,104,155737,1469,1050,2829,23,3,5374,2061,2377,8401,55,7,12901,50892,37699,84446,861,114,174012,1808,1146,3313,31,6,6304,63704,44389,102466,1031,142,211732,Melbourne - Inner
207,11706,2834,3151,32,3,17726,68278,13272,12750,225,29,94554,2203,550,546,8,3,3310,1598,628,1183,20,3,3432,72079,14450,14479,253,35,101296,2187,486,620,10,0,3303,85972,17770,18250,295,38,122325,Melbourne - Inner East
208,12558,4220,5997,197,12,22984,68567,17848,19365,504,55,106339,2195,714,880,21,0,3810,1938,1000,1847,50,3,4838,72700,19562,22092,575,58,114987,2455,776,1124,35,0,4390,87713,24558,29213,807,70,142361,Melbourne - Inner South
209,23145,2607,3080,66,4,28902,91771,8262,6784,196,35,107048,3356,344,316,10,0,4026,3672,634,698,32,0,5036,98799,9240,7798,238,35,116110,4348,460,544,15,3,5370,126292,12307,11422,319,42,150382,Melbourne - North East
210,18515,1990,1690,153,9,22357,62767,6753,3454,174,36,73184,2566,243,158,11,0,2978,2730,502,340,25,0,3597,68063,7498,3952,210,36,79759,3508,435,315,23,6,4287,90086,9923,5957,386,51,106403,Melbourne - North West
211,19314,4464,2071,200,7,26056,114684,9930,4338,251,26,129229,4181,492,230,19,0,4922,3604,811,388,37,4,4844,122469,11233,4956,307,30,138995,3979,643,287,24,0,4933,145762,16340,7314,531,37,169984,Melbourne - Outer East
212,29868,3285,5546,531,14,39244,134864,11060,12064,381,54,158423,5133,423,594,34,5,6189,5408,670,924,62,3,7067,145405,12153,13582,477,62,171679,6554,652,1149,99,0,8454,181827,16090,20277,1107,76,219377,Melbourne - South East
213,31891,3172,4967,262,4,40296,123121,10857,9399,321,54,143752,4743,392,453,11,5,5604,6567,876,1178,60,3,8684,134431,12125,11030,392,62,158040,6561,621,961,57,8,8208,172883,15918,16958,711,74,206544,Melbourne - West
214,14407,2654,2581,452,6,20100,62213,4453,3574,372,18,70630,2811,286,256,27,0,3380,2895,406,435,59,3,3798,67919,5145,4265,458,21,77808,2779,392,407,63,8,3649,85105,8191,7253,973,35,101557,Mornington Peninsula
215,14805,961,1661,364,3,17794,30520,751,1063,287,21,32642,1960,49,85,15,0,2109,1817,105,183,53,0,2158,34297,905,1331,355,21,36909,1969,120,264,129,5,2487,51071,1986,3256,848,29,57190,North West
216,10404,616,1754,359,11,13144,25743,627,1240,264,32,27906,1487,43,91,12,0,1633,1438,87,183,30,3,1741,28668,757,1514,306,35,31280,1509,80,270,56,0,1915,40581,1453,3538,721,46,46339,Shepparton
217,11057,624,1264,131,3,13079,26005,762,861,175,14,27817,1502,48,53,8,0,1611,1614,99,169,22,0,1904,29121,909,1083,205,14,31332,1411,77,177,45,0,1710,41589,1610,2524,381,17,46121,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,8270,2236,1034,202,0,11742,50647,4318,1391,235,15,56606,1627,238,82,13,0,1960,1947,387,149,45,3,2531,54221,4943,1622,293,18,61097,1798,338,165,25,0,2326,64289,7517,2821,520,18,75165,Brisbane - East
302,8743,1780,2172,258,8,12961,42707,4705,5333,157,16,52918,1373,189,245,13,0,1820,1677,410,635,29,0,2751,45757,5304,6213,199,16,57489,1665,305,379,81,0,2430,56165,7389,8764,538,24,72880,Brisbane - North
303,10795,1937,2960,307,4,16003,66615,9800,8464,306,31,85216,1796,310,355,17,4,2482,2334,729,828,55,0,3946,70745,10839,9647,378,35,91644,2471,446,575,82,0,3574,84011,13222,13182,767,39,111221,Brisbane - South
304,3899,604,1090,5,3,5601,39799,3287,5979,19,12,49096,1040,126,191,0,0,1357,1057,176,422,5,0,1660,41896,3589,6592,24,12,52113,986,93,228,0,3,1310,46781,4286,7910,29,18,59024,Brisbane - West
305,4232,780,5316,33,10,10371,33930,5973,29024,157,58,69142,745,155,1059,6,0,1965,1366,511,3318,23,8,5226,36041,6639,33401,186,66,76333,1079,190,1264,22,3,2558,41352,7609,39981,241,79,89262,Brisbane Inner City
306,12138,1421,3751,596,19,17925,44040,2697,7229,690,67,54723,2079,136,362,41,6,2624,2292,287,1034,90,6,3709,48411,3120,8625,821,79,61056,2223,253,695,124,10,3305,62772,4794,13071,1541,108,82286,Cairns
307,11111,275,850,267,15,12518,25119,357,641,251,66,26434,1457,17,48,11,3,1536,1566,43,113,32,6,1760,28142,417,802,294,75,29730,1417,25,117,92,0,1651,40670,717,1769,653,90,43899,Darling Downs - Maranoa
308,12321,683,1661,704,13,15382,44530,1112,2413,767,59,48881,2026,64,127,55,4,2276,2372,133,340,119,3,2967,48928,1309,2880,941,66,54124,2254,117,275,142,5,2793,63503,2109,4816,1787,84,72299,Fitzroy
309,13310,6397,7427,844,24,28002,90067,23384,22531,896,125,137003,3284,1113,1119,73,9,5598,3796,2174,2907,98,17,8992,97147,26671,26557,1067,151,151593,3839,1217,1648,120,15,6839,114296,34285,35632,2031,190,186434,Gold Coast
310,15774,1475,1046,510,14,18819,61408,2618,1082,351,43,65502,2630,157,67,19,3,2876,3799,284,128,44,14,4269,67837,3059,1277,414,60,72647,2905,236,150,65,3,3359,86516,4770,2473,989,77,94825,Ipswich
311,12541,2048,1180,271,9,16049,63083,4765,1410,220,21,69499,2442,249,78,19,0,2788,3152,512,163,35,0,3862,68677,5526,1651,274,21,76149,2942,360,192,42,4,3540,84160,7934,3023,587,34,95738,Logan - Beaudesert
312,8134,711,1485,548,19,10897,34015,1687,2420,725,54,38901,1521,62,114,44,0,1741,1614,219,381,124,4,2342,37150,1968,2915,893,58,42984,1600,152,311,116,4,2183,46884,2831,4711,1557,81,56064,Mackay
313,11694,1973,2168,507,5,16347,46636,3130,3131,364,25,53286,2079,175,187,27,0,2468,2276,312,350,64,0,3002,50991,3617,3668,455,25,58756,2122,268,300,68,0,2758,64807,5858,6136,1030,30,77861,Moreton Bay - North
314,4641,1062,503,102,7,6315,41916,2359,753,96,27,45151,1321,122,28,3,3,1477,1665,270,98,13,0,2046,44902,2751,879,112,30,48674,1227,152,79,68,0,1526,50770,3965,1461,282,37,56515,Moreton Bay - South
315,6494,280,790,375,42,7981,12017,486,991,475,76,14045,610,23,49,25,9,716,1040,70,180,52,3,1345,13667,579,1220,552,88,16106,962,60,121,155,7,1305,21123,919,2131,1082,137,25392,Queensland - Outback
316,12261,3453,3171,902,9,19796,69003,6825,8313,983,43,85167,2799,433,403,68,0,3703,2676,544,975,112,3,4310,74478,7802,9691,1163,46,93180,2584,485,530,135,0,3734,89323,11740,13392,2200,55,116710,Sunshine Coast
317,8298,729,2108,136,5,11276,30422,1296,2532,87,24,34361,1385,70,143,3,0,1601,1446,132,330,16,3,1927,33253,1498,3005,106,27,37889,1283,62,315,36,3,1699,42834,2289,5428,278,35,50864,Toowoomba
318,11500,1084,2552,355,10,15501,45076,2156,4702,483,40,52457,1988,108,215,20,0,2331,2363,219,656,80,7,3325,49427,2483,5573,583,47,58113,2221,160,456,85,4,2926,63148,3727,8581,1023,61,76540,Townsville
319,22702,1449,2747,1063,19,27980,59405,1527,2680,1003,36,64651,3416,127,176,44,5,3768,3125,150,383,125,8,3791,65946,1804,3239,1172,49,72210,3251,212,448,207,17,4135,91899,3465,6434,2442,85,104325,Wide Bay
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,12160,3315,4322,63,17,19877,56291,10144,10490,123,36,77084,2732,510,603,3,0,3848,2197,819,1143,10,0,4169,61220,11473,12236,136,36,85101,2017,533,642,19,4,3215,75397,15321,17200,218,57,108193,Adelaide - Central and Hills
402,23824,5925,3000,145,7,32901,86115,7076,3468,154,24,96837,4293,495,205,15,0,5008,5019,878,456,18,7,6378,95427,8449,4129,187,31,108223,3914,779,398,22,0,5113,123165,15153,7527,354,38,146237,Adelaide - North
403,17525,4518,4272,197,10,26522,78783,7476,5849,192,34,92334,3823,508,372,14,0,4717,3736,676,813,32,0,5257,86342,8660,7034,238,34,102308,2889,571,573,22,0,4055,106756,13749,11879,457,44,132885,Adelaide - South
404,15152,4517,4194,56,10,23929,40302,7218,6623,110,30,54283,2015,404,411,9,0,2839,2096,714,955,14,3,3782,44413,8336,7989,133,33,60904,2026,620,626,8,0,3280,61591,13473,12809,197,43,88113,Adelaide - West
405,11023,805,628,187,6,12649,23976,560,266,217,21,25040,1708,53,29,7,0,1797,1402,87,43,41,0,1573,27086,700,338,265,21,28410,1131,89,81,19,0,1320,39240,1594,1047,471,27,42379,Barossa - Yorke - Mid North
406,6956,1575,693,140,8,9372,15664,1853,553,180,35,18285,843,101,40,8,3,995,1024,244,90,32,3,1393,17531,2198,683,220,41,20673,954,199,87,53,4,1297,25441,3972,1463,413,53,31342,South Australia - Outback
407,16722,1538,1587,255,12,20114,38687,1214,962,317,37,41217,2936,100,82,19,3,3140,2629,174,207,42,3,3055,44252,1488,1251,378,43,47412,1907,175,206,70,8,2366,62881,3201,3044,703,63,69892,South Australia - South East
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
501,9659,1446,711,296,12,12124,35645,1571,776,310,35,38337,1991,116,54,21,0,2182,2346,193,117,42,0,2698,39982,1880,947,373,35,43217,1574,193,84,136,0,1987,51215,3519,1742,805,47,57328,Bunbury
502,4659,1175,522,214,4,6574,18361,1565,818,204,16,20964,1035,131,63,22,0,1251,1098,185,97,19,0,1399,20494,1881,978,245,16,23614,836,199,85,31,0,1151,25989,3255,1585,490,20,31339,Mandurah
503,3548,1385,3213,7,6,8159,27314,6324,12715,112,55,46520,792,256,579,0,4,1631,910,484,1629,17,0,3040,29016,7064,14923,129,59,51191,797,270,616,4,3,1690,33361,8719,18752,140,68,61040,Perth - Inner
504,10346,1947,1510,121,5,13929,49144,4474,2824,126,31,56599,2020,220,139,11,0,2390,2229,386,339,9,6,2969,53393,5080,3302,146,37,61958,2116,339,249,73,0,2777,65855,7366,5061,340,42,78664,Perth - North East
505,17714,5793,2772,260,4,26543,106103,16858,5856,237,29,129083,3944,802,347,24,0,5117,4573,1430,743,29,0,6775,114620,19090,6946,290,29,140975,4158,926,507,20,0,5611,136492,25809,10225,570,33,173129,Perth - North West
506,19107,3904,3357,154,17,26539,93260,10964,7903,198,42,112367,4021,511,413,8,0,4953,4618,914,819,35,5,6391,101899,12389,9135,241,47,123711,3979,747,556,18,3,5303,124985,17040,13048,413,67,155553,Perth - South East
507,14813,3604,2516,253,11,21197,81106,7143,4392,291,29,92961,3051,404,270,13,0,3738,3971,675,524,29,5,5204,88128,8222,5186,333,34,101903,3337,506,374,45,6,4268,106278,12332,8076,631,51,127368,Perth - South West
508,10283,1362,993,999,88,13725,33965,2511,1718,1594,172,39960,1736,141,80,73,7,2037,2385,349,280,241,23,3278,38086,3001,2078,1908,202,45275,1929,284,174,362,16,2765,50298,4647,3245,3269,306,61765,Western Australia - Outback
509,10386,750,646,243,13,12038,28925,642,403,341,29,30340,1843,43,39,13,8,1946,1767,94,69,39,0,1969,32535,779,511,393,37,34255,1374,117,98,85,4,1678,44295,1646,1255,721,54,47971,Western Australia - Wheat Belt
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (WA)
601,14340,1818,3204,96,3,19461,46082,2746,4245,215,41,53329,2627,172,241,12,3,3055,2826,365,626,25,3,3845,51535,3283,5112,252,47,60229,2064,211,368,14,4,2661,67939,5312,8684,362,54,82351,Hobart
602,11795,1258,1517,143,3,14716,30516,1145,1405,148,24,33238,1810,76,98,9,0,1993,1821,199,229,28,0,2277,34147,1420,1732,185,24,37508,1437,136,175,22,3,1773,47379,2814,3424,350,30,53997,Launceston and North East
603,3751,124,76,74,3,4028,7819,111,47,110,4,8091,604,12,5,11,0,632,583,5,5,13,0,606,9006,128,57,134,4,9329,435,18,9,16,0,478,13192,270,142,224,7,13835,South East
604,10015,1001,1158,159,3,12336,23926,616,775,169,17,25503,1429,68,52,8,0,1557,1478,91,136,26,0,1731,26833,775,963,203,17,28791,1157,157,143,56,0,1513,38005,1933,2264,418,20,42640,West and North West
697,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Tas.)
701,3330,978,1560,279,19,6166,18628,3246,4773,553,67,27267,807,158,251,30,0,1246,1218,370,710,67,12,2377,20653,3774,5734,650,79,30890,884,234,358,195,6,1677,24867,4986,7652,1124,104,38733,Darwin
702,5805,321,725,464,56,7371,8425,1227,1248,509,79,11488,404,54,74,32,5,569,910,180,199,76,7,1372,9739,1461,1521,617,91,13429,777,112,188,271,12,1360,16321,1894,2434,1352,159,22160,Northern Territory - Outback
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NT)
801,9499,3166,2542,96,3,15306,76880,13293,11189,109,37,101508,2770,617,443,3,4,3837,3014,1197,1459,12,5,5687,82664,15107,13091,124,46,111032,2102,535,439,8,3,3087,94265,18808,16072,228,52,129425,Australian Capital Territory
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (ACT)
901,106,12,93,3,3,217,250,40,94,3,11,398,17,3,7,0,0,27,12,7,0,0,0,19,279,50,101,3,11,444,12,5,17,0,0,34,397,67,211,6,14,695,Other Territories
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (OT)
