SA4_MAIN11,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_Tot_M_EO,C10_12F_O_E_Tot_M_O_EVWW,C10_12F_O_E_Tot_M_O_ENWNA,C10_12F_O_E_Tot_M_O_PENS,C10_12F_O_E_Tot_M_O_E_T,C10_12F_O_E_Tot_M_LPENS,C10_12F_O_E_Tot_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_TM_EO,C13_14F_O_E_TM_O_EVWW,C13_14F_O_E_TM_O_ENWNA,C13_14F_O_E_TM_O_PENS,C13_14F_O_E_TM_O_E_T,C13_14F_O_E_TM_LPENS,C13_14F_O_E_TM_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS,SA4_NAME11
111,13777,305,5,32,342,4,14123,382,802,31,0,833,3,1218,3,66,44,0,110,0,113,25,3,0,21,24,0,49,410,871,75,21,967,3,1380,0,3,0,0,3,0,3,14187,1179,80,53,1312,7,15506,12890,217,0,27,244,4,13138,286,601,18,3,622,0,908,3,68,50,0,118,0,121,17,0,0,22,22,0,39,306,669,68,25,762,0,1068,8,0,0,0,0,8,16,13204,886,68,52,1006,12,14222,7530,116,0,16,132,0,7662,142,291,20,0,311,0,453,4,29,26,0,55,0,59,13,0,0,10,10,0,23,159,320,46,10,376,0,535,0,0,0,0,0,0,0,7689,436,46,26,508,0,8197,5140,84,0,9,93,0,5233,84,164,14,3,181,0,265,0,8,19,0,27,0,27,8,0,0,8,8,0,16,92,172,33,11,216,0,308,0,0,0,0,0,0,0,5232,256,33,20,309,0,5541,6331,69,6,9,Newcastle and Lake Macquarie
112,8427,197,3,16,216,0,8643,294,299,5,3,307,0,601,13,24,9,0,33,3,49,7,0,0,12,12,0,19,314,323,14,15,352,3,669,3,0,3,0,3,4,10,8744,520,20,31,571,7,9322,8432,147,3,13,163,4,8599,225,255,11,0,266,0,491,4,9,15,0,24,0,28,10,0,0,16,16,0,26,239,264,26,16,306,0,545,3,0,0,3,3,0,6,8674,411,29,32,472,4,9150,5248,72,0,4,76,0,5324,127,141,7,0,148,0,275,0,9,13,0,22,0,22,11,0,0,8,8,0,19,138,150,20,8,178,0,316,3,0,0,0,0,0,3,5389,222,20,12,254,0,5643,3533,36,0,7,43,0,3576,67,67,0,0,67,0,134,0,0,5,0,5,0,5,6,0,0,12,12,0,18,73,67,5,12,84,0,157,0,0,0,0,0,0,0,3606,103,5,19,127,0,3733,4423,56,0,0,Richmond - Tweed
113,6873,123,0,6,129,0,7002,117,460,28,3,491,4,612,4,48,33,0,81,0,85,5,0,0,12,12,0,17,126,508,61,15,584,4,714,0,4,0,0,4,0,4,6999,635,61,21,717,4,7720,6836,102,0,10,112,3,6951,111,479,27,3,509,3,623,3,29,35,0,64,0,67,9,3,0,15,18,0,27,123,511,62,18,591,3,717,0,0,0,0,0,4,4,6959,613,62,28,703,10,7672,4036,50,0,5,55,0,4091,53,287,7,0,294,4,351,0,16,22,0,38,0,38,5,3,0,12,15,0,20,58,306,29,12,347,4,409,3,3,0,0,3,0,6,4097,359,29,17,405,4,4506,2573,42,0,8,50,0,2623,39,138,5,0,143,0,182,0,12,8,0,20,0,20,4,3,0,5,8,0,12,43,153,13,5,171,0,214,0,0,0,0,0,5,5,2616,195,13,13,221,5,2842,3093,37,0,5,Riverina
114,5056,74,0,11,85,0,5141,115,122,9,0,131,4,250,3,9,5,0,14,0,17,6,0,0,0,0,3,9,124,131,14,0,145,7,276,4,0,0,0,0,0,4,5184,205,14,11,230,7,5421,5022,94,0,3,97,4,5123,111,168,11,0,179,0,290,5,0,9,0,9,0,14,8,0,0,6,6,3,17,124,168,20,6,194,3,321,3,0,0,0,0,0,3,5149,262,20,9,291,7,5447,3185,39,0,9,48,3,3236,44,78,8,0,86,0,130,3,7,0,0,7,0,10,0,0,0,5,5,0,5,47,85,8,5,98,0,145,0,0,0,0,0,0,0,3232,124,8,14,146,3,3381,2155,23,0,4,27,3,2185,35,52,4,0,56,0,91,0,0,4,0,4,0,4,5,3,0,5,8,0,13,40,55,8,5,68,0,108,0,0,0,0,0,0,0,2195,78,8,9,95,3,2293,2762,41,0,4,Southern Highlands and Shoalhaven
115,7985,352,9,4,365,4,8354,541,2463,52,7,2522,11,3074,11,142,43,0,185,0,196,6,0,3,11,14,0,20,558,2605,98,18,2721,11,3290,0,5,3,0,8,3,11,8543,2962,110,22,3094,18,11655,8971,356,3,6,365,4,9340,435,2718,62,6,2786,7,3228,9,152,69,0,221,0,230,9,3,0,5,8,0,17,453,2873,131,11,3015,7,3475,0,8,0,0,8,5,13,9424,3237,134,17,3388,16,12828,5372,160,6,3,169,0,5541,236,1845,53,3,1901,6,2143,3,98,56,0,154,0,157,6,0,0,6,6,0,12,245,1943,109,9,2061,6,2312,3,5,0,0,5,7,15,5620,2108,115,12,2235,13,7868,3505,121,0,0,121,0,3626,136,1258,33,3,1294,0,1430,7,66,51,0,117,0,124,3,0,0,3,3,0,6,146,1324,84,6,1414,0,1560,3,3,4,0,7,4,14,3654,1448,88,6,1542,4,5200,4704,154,0,6,Sydney - Baulkham Hills and Hawkesbury
116,9239,657,10,11,678,0,9917,786,7813,214,14,8041,31,8858,10,598,231,0,829,3,842,10,21,0,36,57,0,67,806,8432,445,50,8927,34,9767,5,55,0,0,55,41,101,10050,9144,455,61,9660,75,19785,7967,465,4,11,480,3,8450,546,7002,187,6,7195,25,7766,6,474,278,3,755,3,764,11,15,0,22,37,0,48,563,7491,465,31,7987,28,8578,10,68,4,3,75,20,105,8540,8024,473,45,8542,51,17133,4529,242,6,7,255,0,4784,294,4027,142,3,4172,17,4483,3,308,231,0,539,0,542,7,6,0,13,19,0,26,304,4341,373,16,4730,17,5051,4,22,0,0,22,15,41,4837,4605,379,23,5007,32,9876,2813,112,0,5,117,3,2933,176,2581,96,0,2677,13,2866,7,203,146,0,349,0,356,7,3,0,10,13,0,20,190,2787,242,10,3039,13,3242,0,7,4,0,11,12,23,3003,2906,246,15,3167,28,6198,3417,136,0,7,Sydney - Blacktown
117,5401,421,3,8,432,4,5837,670,2483,90,3,2576,6,3252,9,227,104,3,334,3,346,7,10,0,3,13,0,20,686,2720,194,9,2923,9,3618,9,8,3,0,11,6,26,6096,3149,200,17,3366,19,9481,3172,193,0,6,199,3,3374,324,1421,68,3,1492,3,1819,9,160,98,0,258,3,270,10,3,0,10,13,0,23,343,1584,166,13,1763,6,2112,3,10,4,0,14,8,25,3518,1787,170,19,1976,17,5511,1338,80,3,5,88,0,1426,129,754,42,0,796,3,928,3,86,95,0,181,0,184,0,4,0,0,4,0,4,132,844,137,0,981,3,1116,4,4,0,0,4,4,12,1474,928,140,5,1073,7,2554,756,35,0,5,40,3,799,83,439,29,0,468,0,551,0,71,79,0,150,0,150,0,0,0,0,0,0,0,83,510,108,0,618,0,701,7,0,0,0,0,0,7,846,545,108,5,658,3,1507,949,38,3,0,Sydney - City and Inner South
118,8606,507,5,15,527,6,9139,920,2026,52,3,2081,12,3013,3,115,28,0,143,0,146,16,7,0,5,12,0,28,939,2148,80,8,2236,12,3187,3,11,0,0,11,5,19,9548,2666,85,23,2774,23,12345,6556,295,0,9,304,3,6863,494,1542,35,3,1580,4,2078,5,76,23,0,99,0,104,17,0,0,6,6,0,23,516,1618,58,9,1685,4,2205,6,8,0,0,8,4,18,7078,1921,58,18,1997,11,9086,3312,122,0,3,125,3,3440,234,794,23,3,820,0,1054,5,43,28,0,71,0,76,7,0,0,3,3,0,10,246,837,51,6,894,0,1140,0,0,0,0,0,5,5,3558,959,51,9,1019,8,4585,1970,68,0,4,72,3,2045,130,525,15,0,540,0,670,5,27,15,0,42,0,47,5,0,0,4,4,0,9,140,552,30,4,586,0,726,3,3,0,0,3,3,9,2113,623,30,8,661,6,2780,2467,87,0,4,Sydney - Eastern Suburbs
119,7883,1173,21,12,1206,9,9098,1382,15754,949,9,16712,31,18125,28,1775,910,4,2689,11,2728,14,25,3,87,115,0,129,1424,17554,1862,100,19516,42,20982,13,78,4,0,82,58,153,9320,18805,1887,112,20804,109,30233,6876,835,20,10,865,4,7745,994,13184,791,14,13989,36,15019,34,1441,1120,4,2565,5,2604,11,16,4,68,88,0,99,1039,14641,1915,86,16642,41,17722,12,55,7,3,65,68,145,7927,15531,1942,99,17572,113,25612,3819,329,12,5,346,0,4165,427,7173,555,6,7734,14,8175,15,875,891,4,1770,9,1794,12,3,0,40,43,0,55,454,8051,1446,50,9547,23,10024,4,35,6,0,41,42,87,4277,8415,1464,55,9934,65,14276,2499,195,8,3,206,0,2705,241,4459,407,7,4873,18,5132,10,633,687,0,1320,0,1330,3,3,3,20,26,0,29,254,5095,1097,27,6219,18,6491,3,16,4,0,20,16,39,2756,5306,1109,30,6445,34,9235,3449,230,13,0,Sydney - Inner South West
120,7828,699,3,10,712,4,8544,953,4153,148,3,4304,10,5267,8,326,196,3,525,0,533,5,11,0,10,21,0,26,966,4490,344,16,4850,10,5826,15,13,4,0,17,16,48,8809,5202,351,26,5579,30,14418,5582,408,0,11,419,0,6001,601,3172,120,3,3295,10,3906,5,260,236,0,496,0,501,6,4,0,16,20,0,26,612,3436,356,19,3811,10,4433,6,11,5,0,16,13,35,6200,3855,361,30,4246,23,10469,2628,131,3,0,134,4,2766,295,1735,96,0,1831,3,2129,5,172,177,0,349,0,354,3,3,0,7,10,0,13,303,1910,273,7,2190,3,2496,3,7,0,0,7,11,21,2934,2048,276,7,2331,18,5283,1636,84,0,3,87,0,1723,143,1180,76,3,1259,0,1402,0,142,161,0,303,0,303,4,0,0,8,8,0,12,147,1322,237,11,1570,0,1717,3,6,0,0,6,10,19,1786,1412,237,14,1663,10,3459,2140,134,3,3,Sydney - Inner West
121,13686,558,3,9,570,5,14261,1324,3999,116,6,4121,14,5459,8,337,118,0,455,3,466,20,5,3,5,13,3,36,1352,4341,237,11,4589,20,5961,10,18,4,0,22,0,32,15048,4917,244,20,5181,25,20254,13615,449,6,15,470,4,14089,980,3381,103,3,3487,14,4481,3,270,159,0,429,0,432,10,0,0,12,12,0,22,993,3651,262,15,3928,14,4935,7,21,0,0,21,3,31,14615,4121,268,30,4419,21,19055,7630,218,0,8,226,0,7856,466,1852,90,0,1942,3,2411,3,178,125,0,303,0,306,0,5,0,8,13,0,13,469,2035,215,8,2258,3,2730,3,7,0,0,7,4,14,8102,2260,215,16,2491,7,10600,4708,131,0,3,134,3,4845,259,1177,68,3,1248,0,1507,3,105,99,0,204,0,207,4,3,0,3,6,0,10,266,1285,167,6,1458,0,1724,0,4,0,0,4,0,4,4974,1420,167,9,1596,3,6573,6422,139,0,7,Sydney - North Sydney and Hornsby
122,11872,443,6,6,455,7,12334,865,1365,30,3,1398,3,2266,4,65,35,0,100,0,104,16,0,0,6,6,0,22,885,1430,65,9,1504,3,2392,10,3,0,0,3,5,18,12767,1876,71,15,1962,15,14744,10809,276,0,17,293,3,11105,556,1187,44,0,1231,4,1791,4,58,43,0,101,0,105,10,3,0,5,8,0,18,570,1248,87,5,1340,4,1914,3,5,0,0,5,4,12,11382,1529,87,22,1638,11,13031,5592,145,0,5,150,0,5742,309,658,36,0,694,3,1006,0,46,38,0,84,0,84,8,0,0,0,0,0,8,317,704,74,0,778,3,1098,3,0,0,0,0,3,6,5912,849,74,5,928,6,6846,3350,80,0,5,85,0,3435,164,407,18,3,428,4,596,5,31,30,0,61,0,66,4,0,0,3,3,0,7,173,438,48,6,492,4,669,3,0,0,0,0,0,3,3526,518,48,11,577,4,4107,4545,100,0,3,Sydney - Northern Beaches
123,9541,417,0,21,438,3,9982,505,2490,91,0,2581,0,3086,5,201,84,0,285,0,290,15,3,0,19,22,0,37,525,2694,175,19,2888,0,3413,3,7,0,0,7,10,20,10069,3118,175,40,3333,13,13415,8913,366,7,12,385,3,9301,419,2415,106,3,2524,6,2949,4,192,100,0,292,0,296,20,3,0,26,29,0,49,443,2610,206,29,2845,6,3294,3,15,0,0,15,10,28,9359,2991,213,41,3245,19,12623,5154,167,0,13,180,4,5338,195,1503,64,0,1567,6,1768,4,127,86,0,213,0,217,10,3,0,14,17,0,27,209,1633,150,14,1797,6,2012,3,3,0,0,3,6,12,5366,1803,150,27,1980,16,7362,3463,121,0,9,130,3,3596,132,974,64,0,1038,0,1170,3,100,43,0,143,0,146,5,3,0,8,11,0,16,140,1077,107,8,1192,0,1332,5,4,0,0,4,8,17,3608,1202,107,17,1326,11,4945,4267,123,0,0,Sydney - Outer South West
124,12957,460,8,19,487,4,13448,499,1545,51,4,1600,0,2099,14,125,41,0,166,0,180,15,4,0,16,20,0,35,528,1674,92,20,1786,0,2314,12,13,0,0,13,5,30,13497,2147,100,39,2286,9,15792,11903,363,0,15,378,0,12281,400,1383,51,3,1437,3,1840,3,124,44,0,168,0,171,12,6,0,27,33,0,45,415,1513,95,30,1638,3,2056,9,9,0,0,9,8,26,12327,1885,95,45,2025,11,14363,7056,184,0,12,196,0,7252,207,878,28,3,909,3,1119,3,73,36,0,109,0,112,6,0,0,8,8,0,14,216,951,64,11,1026,3,1245,6,11,0,0,11,7,24,7278,1146,64,23,1233,10,8521,4661,98,0,4,102,0,4763,150,602,27,0,629,0,779,3,46,21,0,67,0,70,6,0,0,11,11,0,17,159,648,48,11,707,0,866,3,3,0,0,3,8,14,4823,749,48,15,812,8,5643,5831,113,0,7,Sydney - Outer West and Blue Mountains
125,6227,734,16,10,760,11,6998,942,12809,956,11,13776,49,14767,30,1686,1065,4,2755,8,2793,13,28,6,75,109,0,122,985,14523,2027,90,16640,57,17682,4,76,7,0,83,50,137,7216,15333,2050,100,17483,118,24817,4985,474,8,3,485,8,5478,562,9459,832,10,10301,33,10896,24,1335,1120,0,2455,12,2491,8,14,4,56,74,0,82,594,10808,1956,66,12830,45,13469,7,41,5,3,49,53,109,5586,11323,1969,72,13364,106,19056,2639,197,4,3,204,3,2846,268,4903,483,3,5389,15,5672,14,812,858,3,1673,5,1692,3,8,0,23,31,0,34,285,5723,1341,29,7093,20,7398,4,21,9,3,33,31,68,2928,5941,1354,35,7330,54,10312,1781,139,0,0,139,0,1920,173,3077,340,6,3423,11,3607,8,608,656,0,1264,8,1280,3,3,0,13,16,0,19,184,3688,996,19,4703,19,4906,3,10,8,3,21,14,38,1968,3837,1004,22,4863,33,6864,2383,140,3,4,Sydney - Parramatta
126,4436,270,3,5,278,8,4722,530,2662,87,3,2752,4,3286,7,219,114,0,333,0,340,3,10,0,8,18,3,24,540,2891,201,11,3103,7,3650,3,12,0,0,12,5,20,4979,3173,204,16,3393,20,8392,4299,203,0,0,203,4,4506,335,2248,91,4,2343,6,2684,6,223,127,0,350,0,356,5,3,0,5,8,0,13,346,2474,218,9,2701,6,3053,3,5,6,0,11,4,18,4648,2682,224,9,2915,14,7577,2345,85,0,5,90,4,2439,197,1388,82,5,1475,7,1679,6,142,113,0,255,0,261,3,3,0,0,3,0,6,206,1533,195,5,1733,7,1946,0,5,0,0,5,0,5,2551,1623,195,10,1828,11,4390,1438,41,0,0,41,0,1479,89,883,47,4,934,4,1027,3,97,104,0,201,0,204,0,0,0,0,0,0,0,92,980,151,4,1135,4,1231,0,5,0,0,5,4,9,1530,1026,151,4,1181,8,2719,2032,54,0,0,Sydney - Ryde
127,5051,636,15,4,655,7,5713,802,9106,740,13,9859,24,10685,34,1561,1331,3,2895,4,2933,13,31,3,54,88,0,101,849,10698,2074,70,12842,28,13719,7,50,6,3,59,53,119,5907,11384,2095,77,13556,88,19551,5031,567,9,5,581,8,5620,628,9043,685,6,9734,24,10386,15,1397,1654,5,3056,7,3078,17,11,3,60,74,3,94,660,10451,2342,71,12864,34,13558,3,31,12,0,43,47,93,5694,11049,2363,76,13488,89,19271,3065,257,5,4,266,0,3331,292,5179,456,6,5641,12,5945,7,896,1181,0,2077,13,2097,4,3,5,31,39,0,43,303,6078,1642,37,7757,25,8085,4,24,8,0,32,27,63,3372,6359,1655,41,8055,52,11479,1929,147,5,7,159,0,2088,195,3403,302,5,3710,9,3914,5,663,923,3,1589,5,1599,3,3,3,18,24,0,27,203,4069,1228,26,5323,14,5540,5,13,3,0,16,27,48,2137,4229,1236,33,5498,41,7676,2583,186,8,0,Sydney - South West
128,9790,326,3,18,347,8,10145,540,1108,21,3,1132,0,1672,11,49,13,0,62,0,73,12,0,0,6,6,0,18,563,1157,34,9,1200,0,1763,3,3,0,0,3,3,9,10356,1486,37,27,1550,11,11917,8959,243,5,11,259,6,9224,418,1069,31,3,1103,0,1521,8,44,11,0,55,0,63,12,0,0,4,4,0,16,438,1113,42,7,1162,0,1600,4,3,0,0,3,8,15,9401,1359,47,18,1424,14,10839,5064,129,0,0,129,0,5193,200,630,9,0,639,3,842,3,33,28,0,61,0,64,9,0,0,6,6,0,15,212,663,37,6,706,3,921,3,3,0,0,3,3,9,5279,795,37,6,838,6,6123,3190,84,0,6,90,0,3280,127,414,14,0,428,0,555,0,27,13,0,40,0,40,3,3,0,5,8,0,11,130,444,27,5,476,0,606,0,0,0,0,0,0,0,3320,528,27,11,566,0,3886,4415,80,3,5,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,6581,90,0,4,94,0,6675,98,184,10,3,197,0,295,0,34,5,0,39,0,39,8,0,0,3,3,0,11,106,218,15,6,239,0,345,4,0,0,0,0,0,4,6691,308,15,10,333,0,7024,6011,66,0,3,69,0,6080,103,167,7,3,177,0,280,0,24,12,0,36,0,36,3,3,0,8,11,0,14,106,194,19,11,224,0,330,0,4,0,0,4,0,4,6117,264,19,14,297,0,6414,3463,39,0,4,43,0,3506,66,79,8,3,90,0,156,0,14,7,0,21,0,21,5,0,0,3,3,0,8,71,93,15,6,114,0,185,0,0,0,0,0,3,3,3534,132,15,10,157,3,3694,2379,30,0,0,30,0,2409,34,46,6,0,52,0,86,3,10,5,0,15,0,18,0,0,0,0,0,0,0,37,56,11,0,67,0,104,0,0,0,0,0,0,0,2416,86,11,0,97,0,2513,3165,28,0,3,Ballarat
202,6152,86,3,5,94,3,6249,100,165,5,0,170,0,270,0,13,28,0,41,0,41,8,0,0,16,16,0,24,108,178,33,16,227,0,335,0,0,0,0,0,3,3,6260,264,36,21,321,6,6587,5834,42,6,3,51,0,5885,100,146,5,0,151,0,251,3,9,23,0,32,0,35,7,0,0,11,11,0,18,110,155,28,11,194,0,304,3,0,0,0,0,3,6,5947,197,34,14,245,3,6195,3496,32,0,0,32,3,3531,74,63,6,3,72,0,146,0,5,21,0,26,0,26,3,0,0,7,7,0,10,77,68,27,10,105,0,182,0,0,0,0,0,0,0,3573,100,27,10,137,3,3713,2358,27,3,3,33,3,2394,42,52,4,0,56,0,98,0,0,16,0,16,0,16,6,0,0,5,5,0,11,48,52,20,5,77,0,125,0,0,0,0,0,0,0,2406,79,23,8,110,3,2519,3154,32,0,4,Bendigo
