SA4_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA4_NAME11
208,9293,2026,11480,64135,20980,2867,87982,200291,20334,308607,Melbourne - Inner South
209,5642,1568,7282,72483,24428,2933,99844,229018,24289,353151,Melbourne - North East
210,3778,994,4826,51615,16125,1633,69373,163596,19744,252713,Melbourne - North West
211,6961,1676,8718,81504,30444,4366,116314,251118,20644,388076,Melbourne - Outer East
212,8319,1712,10142,109417,33757,3696,146870,344255,35914,527039,Melbourne - South East
213,5403,1314,6797,106548,29095,3298,138941,306339,41560,486840,Melbourne - West
214,4748,1704,6487,43492,17628,2395,63515,139428,17261,220204,Mornington Peninsula
215,3195,755,3977,22048,8768,1149,31965,76457,10181,118603,North West
216,2339,599,2963,19297,7358,884,27539,63217,8517,99273,Shepparton
217,2389,633,3047,19161,7593,1029,27783,61919,7262,96964,Warrnambool and South West
297,0,0,0,9,0,0,9,24,3,36,Migratory - Offshore - Shipping (Vic.)
299,39,15,54,831,372,24,1227,4418,1624,7269,Special Purpose Codes SA4 (Vic.)
301,3319,666,4013,37032,13605,1953,52590,105742,9789,168121,Brisbane - East
302,3438,1139,4613,30539,11442,1505,43486,102179,10808,156473,Brisbane - North
303,4309,1066,5421,49959,17362,2193,69514,171019,16822,257355,Brisbane - South
304,2513,742,3294,28634,10156,1523,40313,90858,7086,138257,Brisbane - West
305,2449,636,3137,29607,10590,1407,41604,135276,15792,192672,Brisbane Inner City
306,2168,677,2872,35222,12024,1938,49184,109981,17356,176521,Cairns
307,1815,398,2229,19686,6457,909,27052,59756,8358,95166,Darling Downs - Maranoa
308,1750,760,2529,36120,11284,1886,49290,98651,16527,164468,Fitzroy
309,6883,2511,9464,81646,27186,3748,112580,263394,37286,413260,Gold Coast
310,2553,778,3381,48704,16543,2486,67733,130116,18678,216527,Ipswich
311,2116,629,2776,50393,17809,2615,70817,135112,17214,223143,Logan - Beaudesert
312,1373,301,1691,28684,8640,1479,38803,78943,13510,131256,Mackay
313,3118,850,4000,34272,13132,2082,49486,106709,14369,170564,Moreton Bay - North
314,1216,426,1653,33444,10518,1755,45717,76325,6336,128378,Moreton Bay - South
315,437,98,549,12901,4777,755,18433,36173,8164,62770,Queensland - Outback
316,5612,1368,7029,49855,17570,2697,70122,161585,17127,248834,Sunshine Coast
317,1947,793,2758,22793,8428,1309,32530,69159,8402,110091,Toowoomba
318,2262,469,2755,35064,12627,1757,49448,107431,15035,171914,Townsville
319,4012,1530,5571,39930,13911,2102,55943,144070,19155,219168,Wide Bay
397,6,3,9,32,23,3,58,302,93,453,Migratory - Offshore - Shipping (Qld)
399,41,11,52,912,637,50,1599,7974,1912,11485,Special Purpose Codes SA4 (Qld)
401,6465,1277,7831,41936,17981,2134,62051,155940,13891,231882,Adelaide - Central and Hills
402,5024,1216,6287,63491,25503,3171,92165,200916,21263,314344,Adelaide - North
403,7345,1482,8918,53673,24245,3179,81097,183266,15634,279997,Adelaide - South
404,5233,1347,6628,31045,13461,1299,45805,123665,12917,182387,Adelaide - West
405,2350,400,2771,16032,6765,900,23697,57555,5317,86569,Barossa - Yorke - Mid North
406,1022,293,1324,13217,5331,831,19379,41494,6473,67346,South Australia - Outback
407,3456,829,4321,26630,11621,1431,39682,93924,10736,144342,South Australia - South East
497,0,0,0,0,0,0,0,6,0,6,Migratory - Offshore - Shipping (SA)
499,59,11,76,299,153,8,460,1843,462,2765,Special Purpose Codes SA4 (SA)
501,1972,461,2453,27185,8974,1492,37651,76861,9886,124398,Bunbury
502,1223,500,1732,12267,5020,716,18003,43266,6232,67501,Mandurah
503,2837,736,3611,21833,8154,1097,31084,89453,11974,132511,Perth - Inner
504,2502,552,3089,36373,12445,1809,50627,110950,14693,176270,Perth - North East
505,5711,1525,7309,82992,28471,3975,115438,243218,27113,385769,Perth - North West
506,5260,1463,6780,67050,24748,3364,95162,228168,29000,352330,Perth - South East
507,4588,1099,5732,59865,20957,3245,84067,177396,20613,282076,Perth - South West
508,966,279,1257,33511,10244,2224,45979,96475,26060,168514,Western Australia - Outback
509,1810,407,2237,20763,7082,1231,29076,65158,8395,102629,Western Australia - Wheat Belt
597,0,0,0,32,7,0,39,308,67,414,Migratory - Offshore - Shipping (WA)
599,9,8,17,561,249,29,839,4552,1299,6690,Special Purpose Codes SA4 (WA)
601,3714,790,4552,33301,13848,1920,49069,111441,11376,171886,Hobart
602,2438,502,2956,21389,7950,1012,30351,74023,7295,111669,Launceston and North East
603,398,82,480,5581,2048,276,7905,19094,1951,28950,South East
604,1714,533,2258,16942,6495,873,24310,57257,6323,87890,West and North West
697,0,0,0,6,9,0,15,85,12,112,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,111,58,3,172,654,149,975,Special Purpose Codes SA4 (Tas.)
701,339,80,426,18426,5816,1001,25243,56696,13270,95209,Darwin
702,168,68,267,13380,8352,2430,24162,33708,7890,65760,Northern Territory - Outback
797,0,0,0,6,0,0,6,91,13,110,Migratory - Offshore - Shipping (NT)
799,0,0,0,127,79,0,206,1254,264,1724,Special Purpose Codes SA4 (NT)
801,3988,773,4828,57812,21173,3055,82040,191724,16540,290304,Australian Capital Territory
897,0,0,0,3,0,0,3,0,0,3,Migratory - Offshore - Shipping (ACT)
899,6,0,6,62,37,3,102,404,65,571,Special Purpose Codes SA4 (ACT)
901,4,0,4,324,71,18,413,1207,883,2503,Other Territories
997,0,0,0,0,0,0,0,3,0,3,Migratory - Offshore - Shipping (OT)
999,0,0,0,0,3,0,3,21,0,24,Special Purpose Codes SA4 (OT)
