SA4_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA4_NAME11
111,36405,72241,626,3406,3514,15920,1267,5690,19914,77336,25321,102352,1970,8074,3218,10783,7595,23755,12783,42612,38104,144964,213,966,1082,3751,683,2345,6505,17352,8483,24414,616,1857,1578,3463,5871,12468,8065,17788,16548,42202,1502,3102,92559,262509,Newcastle and Lake Macquarie
112,26183,51797,359,1927,2471,11404,709,3216,12251,48359,15790,64906,882,3557,1944,6187,3877,11888,6703,21632,22493,86538,145,636,907,3161,357,1271,5359,14351,6768,19419,356,1092,1283,2710,3532,7409,5171,11211,11939,30630,793,1632,61408,170597,Richmond - Tweed
113,15788,31172,350,1959,1820,8542,560,2551,9273,37832,12003,50884,658,2675,1187,3722,2729,8488,4574,14885,16577,65769,78,381,417,1472,267,977,2886,8136,3648,10966,170,528,471,1017,1829,3876,2470,5421,6118,16387,583,1210,39066,114538,Riverina
114,17655,34867,270,1477,1444,6605,471,2155,7069,28137,9254,38374,625,2559,1116,3593,2480,7644,4221,13796,13475,52170,85,371,514,1778,242,827,2734,7464,3575,10440,201,614,585,1234,1873,3901,2659,5749,6234,16189,404,846,37768,104072,Southern Highlands and Shoalhaven
115,17477,34850,623,3451,3821,17564,847,3868,15938,63770,21229,88653,2641,11154,3663,12905,6620,21463,12924,45522,34153,134175,91,390,471,1652,162,567,1922,5145,2646,7754,387,1259,730,1730,2300,5145,3417,8134,6063,15888,499,1077,58192,185990,Sydney - Baulkham Hills and Hawkesbury
116,20632,41805,1008,5948,4279,20642,1586,7595,23036,91477,29909,125662,2440,10661,3100,10939,8001,26621,13541,48221,43450,173883,305,1554,1133,4384,828,3196,6288,18323,8554,27457,641,2177,1199,2791,5384,12250,7224,17218,15778,44675,1254,2725,81114,263088,Sydney - Blacktown
117,29904,58952,129,727,1083,4828,306,1326,11298,40576,12816,47457,621,2601,1411,4644,3021,9707,5053,16952,17869,64409,56,284,335,1131,220,773,2670,6633,3281,8821,293,907,1043,2268,3146,6786,4482,9961,7763,18782,2412,5109,57948,147252,Sydney - City and Inner South
118,24195,47669,209,1089,2026,9065,297,1273,15012,56480,17544,67907,1199,4850,2431,8263,3777,11851,7407,24964,24951,92871,32,135,423,1365,143,458,2660,6412,3258,8370,351,1082,1149,2572,3096,6521,4596,10175,7854,18545,1736,3651,58736,162736,Sydney - Eastern Suburbs
119,42115,85242,1347,7942,6761,32357,1806,8496,35494,139773,45408,188568,4197,18402,5619,19733,14936,49262,24752,87397,70160,275965,308,1514,1515,5593,778,2905,7481,20761,10082,30773,1075,3627,2530,5917,9758,21949,13363,31493,23445,62266,2898,6299,138618,429772,Sydney - Inner South West
120,25875,51588,284,1526,2600,11738,458,1976,17948,66597,21290,81837,1588,6750,3027,10399,5543,17862,10158,35011,31448,116848,48,224,517,1731,177,600,3037,7509,3779,10064,435,1371,1368,3063,3926,8465,5729,12899,9508,22963,1833,3906,68664,195305,Sydney - Inner West
121,37938,74811,483,2544,4994,22332,615,2640,27786,106543,33878,134059,2691,11044,6069,20798,7088,22123,15848,53965,49726,188024,85,335,790,2572,135,431,3299,8207,4309,11545,618,1918,2044,4716,4202,8862,6864,15496,11173,27041,1803,3788,100640,293664,Sydney - North Sydney and Hornsby
122,23759,46907,381,1970,2982,13384,542,2365,18705,72487,22610,90206,1763,7206,2759,9437,5037,15896,9559,32539,32169,122745,59,253,553,1822,176,523,2520,6316,3308,8914,381,1188,957,2153,3108,6575,4446,9916,7754,18830,801,1672,64483,190154,Sydney - Northern Beaches
123,18485,37122,802,4598,3126,14939,1331,6306,15805,63609,21064,89452,2011,8611,2241,7708,6943,22877,11195,39196,32259,128648,215,1021,900,3411,592,2203,5016,14300,6723,20935,553,1796,956,2204,3918,8746,5427,12746,12150,33681,858,1836,63752,201287,Sydney - Outer South West
124,24769,49482,861,4855,3642,17233,1380,6381,18954,75136,24837,103605,2237,9516,2556,8638,7813,25356,12606,43510,37443,147115,224,1055,992,3548,624,2272,5857,15963,7697,22838,599,1933,1261,2799,4873,10674,6733,15406,14430,38244,1024,2112,77666,236953,Sydney - Outer West and Blue Mountains
125,31297,63360,1038,6312,4879,23648,1333,6429,28164,109702,35414,146091,2936,13158,4297,15147,9398,31224,16631,59529,52045,205620,248,1232,1121,4270,562,2105,5430,15207,7361,22814,795,2718,1840,4368,6508,14695,9143,21781,16504,44595,2357,5177,102203,318752,Sydney - Parramatta
126,14777,29460,224,1163,2112,9398,304,1352,11447,43679,14087,55592,1432,6026,2609,9105,4047,13026,8088,28157,22175,83749,34,156,284,951,121,403,1482,3700,1921,5210,300,936,835,1942,2300,4965,3435,7843,5356,13053,871,1833,43179,128095,Sydney - Ryde
127,22338,45606,1216,7083,5791,28131,1872,9021,23286,94669,32165,138904,3708,16578,4091,14711,11530,39267,19329,70556,51494,209460,335,1606,1492,5682,827,3118,6777,19711,9431,30117,988,3456,1697,4139,6992,16521,9677,24116,19108,54233,1605,3579,94545,312878,Sydney - South West
128,20186,40015,444,2402,2810,12758,632,2841,14898,58484,18784,76485,2184,9189,2530,8945,6112,19703,10826,37837,29610,114322,74,291,493,1680,217,745,2563,6661,3347,9377,469,1513,834,1897,3163,6800,4466,10210,7813,19587,702,1461,58311,175385,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,15700,31036,293,1594,1662,7776,448,2063,8351,33355,10754,44788,699,2876,1366,4507,2649,8179,4714,15562,15468,60350,91,419,526,1850,236,819,2924,7829,3777,10917,196,615,721,1551,1961,4137,2878,6303,6655,17220,512,1057,38335,109663,Ballarat
202,15224,30051,273,1541,1682,7836,410,1851,8210,32533,10575,43761,722,3010,1394,4521,2452,7532,4568,15063,15143,58824,71,304,486,1716,231,800,2863,7620,3651,10440,206,650,695,1494,1913,4029,2814,6173,6465,16613,536,1112,37368,106600,Bendigo
203,26467,52301,467,2584,2904,13410,683,3069,15593,61272,19647,80335,1501,6126,2580,8679,5115,15952,9196,30757,28843,111092,145,656,833,2899,374,1310,4318,11588,5670,16453,488,1522,1220,2692,3580,7551,5288,11765,10958,28218,884,1824,67152,193435,Geelong
204,18826,37041,279,1541,1906,8819,418,1852,9205,36716,11808,48928,789,3148,1523,4871,2807,8585,5119,16604,16927,65532,81,362,546,1894,232,813,2986,8004,3845,11073,222,662,681,1431,1934,4018,2837,6111,6682,17184,449,922,42884,120679,Hume
205,30802,60627,509,2816,2961,13732,819,3695,14195,56494,18484,76737,1326,5401,2166,6951,4641,14211,8133,26563,26617,103300,169,732,835,2957,417,1484,4951,13504,6372,18677,344,1045,1074,2258,3139,6526,4557,9829,10929,28506,752,1555,69100,193988,Latrobe - Gippsland
206,55390,108893,309,1741,2999,13526,387,1771,24945,92096,28640,109134,1633,6780,3850,13111,6078,19265,11561,39156,40201,148290,90,412,820,2764,248,849,4804,11939,5962,15964,577,1818,2325,5078,5782,12249,8684,19145,14646,35109,5171,10873,115408,303165,Melbourne - Inner
207,31520,62680,435,2334,5017,22596,521,2238,22203,85982,28176,113150,3049,12780,6166,21748,7933,25062,17148,59590,45324,172740,82,341,819,2720,172,588,2831,7092,3904,10741,714,2267,2066,4820,4655,9964,7435,17051,11339,27792,1924,4118,90107,267330,Melbourne - Inner East
208,35538,70526,525,2878,4805,21649,636,2751,27361,105594,33327,132872,2898,11910,5361,18814,7378,23261,15637,53985,48964,186857,95,400,874,2845,216,695,3936,9798,5121,13738,695,2102,2084,4719,5177,10992,7956,17813,13077,31551,1865,3919,99444,292853,Melbourne - Inner South
209,38169,76416,927,5234,5882,27170,1335,6126,30134,117406,38278,155936,3857,16398,4903,17388,12715,41606,21475,75392,59753,231328,229,1026,1289,4503,568,1989,6040,16173,8126,23691,904,2955,1955,4537,7346,16316,10205,23808,18331,47499,2072,4430,118325,359673,Melbourne - North East
210,26319,52813,1031,5923,4637,22266,1349,6394,21387,85186,28404,119769,2821,12337,3371,11970,8810,29141,15002,53448,43406,173217,215,1047,1077,3960,529,1917,4737,13185,6558,20109,736,2417,1374,3222,5663,12689,7773,18328,14331,38437,1456,3128,85512,267595,Melbourne - North West
211,45128,89878,1097,6048,6706,30838,1487,6715,32353,126532,41643,170133,4637,19647,6226,21883,13355,42918,24218,84448,65861,254581,261,1175,1433,4874,544,1905,6647,17363,8885,25317,1173,3700,2348,5339,7437,16016,10958,25055,19843,50372,1757,3703,132589,398534,Melbourne - Outer East
212,56108,113229,1541,9004,9502,44788,2418,11257,46059,180211,59520,245260,5455,23359,7967,28018,16964,55191,30386,106568,89906,351828,468,2194,2069,7520,982,3616,9802,26957,13321,40287,1483,4792,3035,7137,10163,22407,14681,34336,28002,74623,3244,7035,177260,546715,Melbourne - South East
213,50258,101291,1390,7937,7547,35726,2174,9996,45088,174650,56199,228309,4689,20347,5980,21073,14773,48537,25442,89957,81641,318266,480,2310,2208,8277,1091,4007,11098,30641,14877,45235,1386,4608,2750,6444,9615,21575,13751,32627,28628,77862,3198,6999,163725,504418,Melbourne - West
214,28435,56465,543,2901,2873,13083,968,4374,16468,64549,20852,84907,1737,7157,2535,8588,5764,18184,10036,33929,30888,118836,187,796,942,3207,497,1744,5169,13637,6795,19384,539,1698,1333,2935,4346,9248,6218,13881,13013,33265,897,1851,73233,210417,Mornington Peninsula
215,17224,34021,311,1739,1944,9048,473,2166,8279,33391,11007,46344,614,2466,1233,3873,2497,7677,4344,14016,15351,60360,74,327,482,1731,288,1023,2756,7679,3600,10760,155,478,528,1120,1728,3607,2411,5205,6011,15965,513,1077,39099,111423,North West
216,13867,27491,293,1654,1626,7825,438,2035,7258,29496,9615,41010,621,2546,1063,3388,2264,6997,3948,12931,13563,53941,89,422,422,1506,207,734,2460,6900,3178,9562,159,508,455,988,1490,3119,2104,4615,5282,14177,387,787,33099,96396,Shepparton
217,13560,26750,280,1505,1596,7383,336,1537,7141,29078,9353,39503,585,2375,1148,3635,2126,6553,3859,12563,13212,52066,50,227,385,1371,164,570,2015,5427,2614,7595,161,491,519,1089,1446,3013,2126,4593,4740,12188,409,836,31921,91840,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,21966,43715,458,2532,2654,11994,852,3813,14769,57811,18733,76150,1488,6191,2294,7704,4865,15326,8647,29221,27380,105371,109,516,617,2163,376,1299,3751,10034,4853,14012,392,1232,875,1942,2970,6433,4237,9607,9090,23619,767,1588,59203,174293,Brisbane - East
302,20002,39762,340,1910,1899,8766,530,2358,12526,48084,15295,61118,1106,4616,1803,6183,3818,12047,6727,22846,22022,83964,86,401,527,1845,277,959,3236,8423,4126,11628,325,1054,816,1845,3207,6837,4348,9736,8474,21364,1178,2480,51676,147570,Brisbane - North
303,30072,60207,518,2952,3599,16889,790,3638,20916,80929,25823,104408,2057,8668,3682,12748,6142,19508,11881,40924,37704,145332,130,655,819,2913,350,1249,4390,11480,5689,16297,556,1799,1459,3402,4351,9496,6366,14697,12055,30994,2238,4739,82069,241272,Brisbane - South
304,16101,31792,285,1542,2404,10911,350,1556,11987,46738,15026,60747,1272,5263,2681,9187,3258,10077,7211,24527,22237,85274,57,253,434,1470,138,470,1892,4888,2521,7081,289,911,774,1792,1869,3972,2932,6675,5453,13756,991,2087,44782,132909,Brisbane - West
305,23641,46313,164,902,1800,8111,203,879,12498,47255,14665,57147,821,3386,1943,6716,2182,6752,4946,16854,19611,74001,41,159,362,1139,99,343,2252,5312,2754,6953,258,810,1018,2252,2111,4438,3387,7500,6141,14453,2072,4307,51465,139074,Brisbane Inner City
306,23765,46318,437,2535,2133,9839,919,4395,13881,54091,17370,70860,739,2979,1560,4818,3389,10383,5688,18180,23058,89040,153,736,768,2751,533,2059,5623,15685,7077,21231,251,774,802,1692,2752,5877,3805,8343,10882,29574,891,1915,58596,166847,Cairns
307,14204,27913,279,1552,1375,6394,575,2598,7917,32033,10146,42577,392,1545,707,2123,1995,6045,3094,9713,13240,52290,64,308,287,1043,202,762,2175,6162,2728,8275,75,216,293,616,1277,2676,1645,3508,4373,11783,395,838,32212,92824,Darling Downs - Maranoa
308,21477,41905,485,2636,2199,10070,1124,5109,14594,57620,18402,75435,859,3416,1323,4050,4048,12417,6230,19883,24632,95318,96,425,515,1906,350,1315,3874,10718,4835,14364,212,647,504,1055,2406,5125,3122,6827,7957,21191,707,1483,54773,159897,Fitzroy
309,55049,109096,836,4554,5257,23963,1753,7773,31795,122030,39641,158320,2283,9387,4560,15012,9322,29124,16165,53523,55806,211843,249,1113,1605,5547,810,2777,9675,25132,12339,34569,824,2582,2364,5235,7386,15616,10574,23433,22913,58002,2106,4350,135874,383291,Gold Coast
310,25356,50548,724,4282,3331,16084,1407,6745,19025,75741,24487,102852,1471,6249,2221,7404,5475,17341,9167,30994,33654,133846,244,1211,1021,3868,680,2556,6882,19530,8827,27165,425,1403,1035,2290,4027,8774,5487,12467,14314,39632,1203,2549,74527,226575,Ipswich
311,25755,51630,873,5176,3344,16289,1747,8327,19520,78202,25484,107994,1742,7391,2342,7800,6740,21465,10824,36656,36308,144650,253,1221,1041,3866,784,2928,7021,19716,9099,27731,502,1640,1080,2404,4493,9788,6075,13832,15174,41563,1207,2551,78444,240394,Logan - Beaudesert
312,17209,33251,350,1876,1648,7445,889,4032,11985,46617,14872,59970,702,2773,979,2979,3356,10210,5037,15962,19909,75932,72,326,318,1179,287,1015,2634,7102,3311,9622,137,429,316,671,1725,3644,2178,4744,5489,14366,535,1101,43142,124650,Mackay
313,23564,46869,534,2983,2295,10721,999,4583,12661,50489,16489,68776,1033,4251,1579,5191,4484,14100,7096,23542,23585,92318,152,720,764,2805,536,1928,5270,14657,6722,20110,304,977,803,1742,3157,6732,4264,9451,10986,29561,756,1558,58891,170306,Moreton Bay - North
314,16281,32339,407,2241,2459,11341,675,3091,13828,54349,17369,71022,1224,5026,1733,5889,3728,11851,6685,22766,24054,93788,88,388,475,1651,260,858,2952,7953,3775,10850,272,843,616,1392,1909,4113,2797,6348,6572,17198,532,1109,47439,144434,Moreton Bay - South
315,6852,13515,147,855,661,3030,560,2995,5446,22217,6814,29097,175,664,292,824,1104,3476,1571,4964,8385,34061,47,252,161,600,286,1300,1834,5462,2328,7614,54,177,126,256,856,2011,1036,2444,3364,10058,406,928,19007,58562,Queensland - Outback
316,38814,76232,512,2785,3372,15125,1086,4763,18994,73686,23964,96359,1367,5377,2609,8272,5234,15886,9210,29535,33174,125894,147,625,1023,3492,524,1766,6074,15890,7768,21773,409,1246,1371,2938,3822,7982,5602,12166,13370,33939,947,1949,86305,238014,Sunshine Coast
317,14818,29166,316,1799,1607,7563,529,2451,8954,35987,11406,47800,586,2397,1117,3539,2409,7368,4112,13304,15518,61104,91,435,434,1547,264,967,2794,7716,3583,10665,174,548,453,988,1639,3506,2266,5042,5849,15707,554,1147,36739,107124,Toowoomba
318,22045,42892,408,2252,2436,11249,910,4213,14170,54983,17924,72697,976,3873,1772,5681,3767,11578,6515,21132,24439,93829,133,670,667,2412,480,1835,4412,12145,5692,17062,264,816,820,1807,2596,5586,3680,8209,9372,25271,971,2064,56827,164056,Townsville
319,36131,71112,512,2901,2729,12841,1148,5253,14880,59503,19269,80498,838,3333,1727,5359,4648,14163,7213,22855,26482,103353,168,778,934,3419,642,2353,6249,17654,7993,24204,313,979,953,2022,3458,7276,4724,10277,12717,34481,873,1801,76203,210747,Wide Bay
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,29429,57947,431,2339,3266,14625,514,2271,17027,65218,21238,84453,1855,7559,3703,12778,5081,15828,10639,36165,31877,120618,89,385,742,2399,200,674,3246,7946,4277,11404,463,1414,1459,3238,3203,6722,5125,11374,9402,22778,1479,3084,72187,204427,Adelaide - Central and Hills
402,38947,77412,793,4549,4367,20625,1524,6838,24270,93792,30954,125804,2427,10128,3504,11943,8958,28488,14889,50559,45843,176363,339,1568,1544,5552,838,2897,9080,24472,11801,34489,837,2702,1884,4196,6444,13853,9165,20751,20966,55240,1733,3670,107489,312685,Adelaide - North
403,37202,73436,574,3082,3955,17832,1043,4592,20993,80309,26565,105815,2281,9379,3853,13024,7324,22844,13458,45247,40023,151062,146,646,1051,3603,430,1431,5933,15108,7560,20788,662,2033,1755,3826,5094,10680,7511,16539,15071,37327,1397,2885,93693,264710,Adelaide - South
404,22321,44317,276,1546,2238,10229,513,2313,12131,45917,15158,60005,1256,5246,2043,7018,4632,14734,7931,26998,23089,87003,126,588,645,2269,277,982,3713,9619,4761,13458,421,1361,1079,2443,3994,8569,5494,12373,10255,25831,1369,2888,57034,160039,Adelaide - West
405,14364,28176,230,1237,1208,5497,342,1541,6196,24762,7976,33037,436,1768,845,2667,1863,5668,3144,10103,11120,43140,57,261,342,1198,134,454,1803,4935,2336,6848,96,308,352,735,1095,2311,1543,3354,3879,10202,271,552,29634,82070,Barossa - Yorke - Mid North
406,8989,17618,162,858,864,3915,337,1577,5235,20410,6598,26760,231,923,538,1627,1235,3745,2004,6295,8602,33055,47,226,245,906,168,633,1761,4878,2221,6643,84,253,279,588,972,2078,1335,2919,3556,9562,290,621,21437,60856,South Australia - Outback
407,23415,46119,340,1830,1919,8729,594,2628,10171,40227,13024,53414,692,2764,1307,4143,2860,8709,4859,15616,17883,69030,78,351,543,1885,271,945,3269,8854,4161,12035,194,600,619,1283,1978,4092,2791,5975,6952,18010,526,1096,48776,134255,South Australia - South East
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
501,18146,35311,296,1589,1725,7744,730,3213,10800,42079,13551,54625,655,2558,1058,3201,2887,8657,4600,14416,18151,69041,60,249,470,1586,261,882,3004,7988,3795,10705,207,616,506,1045,1643,3415,2356,5076,6151,15781,393,817,42841,120950,Bunbury
502,10825,21074,141,767,829,3771,381,1704,4699,17928,6050,24170,370,1445,558,1758,1472,4393,2400,7596,8450,31766,66,292,243,846,203,723,1703,4687,2215,6548,110,331,287,632,1005,2096,1402,3059,3617,9607,236,487,23128,62934,Mandurah
503,16465,31871,151,792,1580,7153,190,775,9220,35227,11141,43947,859,3479,2037,7039,2006,6040,4902,16558,16043,60505,35,151,244,794,42,129,1293,3182,1614,4256,240,747,718,1640,1392,2876,2350,5263,3964,9519,995,2090,37467,103985,Perth - Inner
504,21804,42856,475,2647,2536,11711,973,4412,14772,56836,18756,75606,1423,5901,1968,6615,4933,15414,8324,27930,27080,103536,143,693,668,2349,396,1416,3768,10119,4975,14577,372,1199,820,1836,3295,7060,4487,10095,9462,24672,1018,2147,59364,173211,Perth - North East
505,47545,93390,1109,6087,6156,28159,1944,8774,34241,131822,43450,174842,3625,14962,5326,18150,10753,33481,19704,66593,63154,241435,265,1214,1293,4558,713,2503,7338,19509,9609,27784,926,2919,1960,4428,6232,13280,9118,20627,18727,48411,2263,4825,131689,388061,Perth - North West
506,43066,84987,978,5580,4670,21827,1751,7922,27657,106252,35056,141581,2676,11159,3851,12975,9297,29114,15824,53248,50880,194829,238,1123,1139,4053,734,2603,6796,18252,8907,26031,773,2521,1649,3730,6040,12941,8462,19192,17369,45223,2923,6279,114238,331318,Perth - South East
507,35256,68874,794,4262,4141,18706,1554,6962,24372,93098,30861,123028,2449,10021,3602,12056,7589,23490,13640,45567,44501,168595,173,788,949,3256,591,2091,5878,15636,7591,21771,592,1816,1396,3126,4614,9769,6602,14711,14193,36482,1611,3415,95561,277366,Perth - South West
508,17631,34344,365,2070,1535,6969,1134,5491,13730,54322,16764,68852,542,2114,807,2369,2810,8672,4159,13155,20923,82007,86,432,414,1538,538,2302,3745,10870,4783,15142,151,488,356,717,1828,4111,2335,5316,7118,20458,681,1530,46353,138339,Western Australia - Outback
