SA4_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,SA4_NAME11
303,33752,2270,1111,410,12,40,108,37703,Brisbane - South
304,20219,1308,561,105,3,10,34,22240,Brisbane - West
305,17764,1247,452,86,4,11,49,19613,Brisbane Inner City
306,19505,1808,1201,299,22,42,178,23055,Cairns
307,11365,870,742,129,5,13,116,13240,Darling Downs - Maranoa
308,20727,1988,1456,241,20,42,159,24633,Fitzroy
309,47622,4779,2688,392,37,72,219,55809,Gold Coast
310,27964,2880,2062,437,39,72,201,33655,Ipswich
311,29757,3293,2387,522,52,64,234,36309,Logan - Beaudesert
312,16949,1536,1124,154,24,25,96,19908,Mackay
313,19156,2331,1694,205,22,44,132,23584,Moreton Bay - North
314,20761,1851,1192,137,12,24,76,24053,Moreton Bay - South
315,6748,561,493,354,33,48,146,8383,Queensland - Outback
316,28393,2858,1577,182,13,22,129,33174,Sunshine Coast
317,13358,1107,804,133,10,15,92,15519,Toowoomba
318,20451,2019,1427,281,35,49,178,24440,Townsville
319,21956,2282,1712,239,32,44,217,26482,Wide Bay
397,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,28837,1940,851,157,9,9,75,31878,Adelaide - Central and Hills
402,38902,3938,2237,441,38,77,211,45844,Adelaide - North
403,34661,3253,1720,210,15,29,134,40022,Adelaide - South
404,20455,1622,722,155,9,23,103,23089,Adelaide - West
405,9515,866,554,92,7,7,79,11120,Barossa - Yorke - Mid North
406,7170,679,489,115,16,31,103,8603,South Australia - Outback
407,15237,1374,979,122,12,17,142,17883,South Australia - South East
497,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
501,15502,1399,995,125,9,15,102,18147,Bunbury
502,6940,821,533,61,10,19,68,8452,Mandurah
503,14789,878,286,52,0,5,36,16046,Perth - Inner
504,23400,2082,1152,268,16,36,126,27080,Perth - North East
505,55912,4090,2341,535,34,59,184,63155,Perth - North West
506,44070,3841,2047,581,27,80,233,50879,Perth - South East
507,38596,3342,1954,331,23,68,186,44500,Perth - South West
508,17324,1552,1173,445,61,89,279,20923,Western Australia - Outback
509,11747,958,712,115,12,20,140,13704,Western Australia - Wheat Belt
597,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
599,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (WA)
601,19276,2166,1257,153,13,25,142,23032,Hobart
602,12321,1300,874,65,6,17,94,14677,Launceston and North East
603,3202,353,190,35,6,7,29,3822,South East
604,9533,1179,774,84,3,18,97,11688,West and North West
697,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Tas.)
701,10868,1201,736,171,12,35,81,13104,Darwin
702,7000,557,416,692,106,91,278,9140,Northern Territory - Outback
797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
799,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NT)
801,38009,3063,1583,345,25,42,129,43196,Australian Capital Territory
897,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
899,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (ACT)
901,261,11,9,6,0,0,7,294,Other Territories
997,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
999,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (OT)
