SA4_MAIN11,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total,SA4_NAME11
111,141,1399,16537,53621,26843,4771,944,1553,105809,51,930,4090,2025,149,25,10,223,7503,13,302,1748,2210,236,46,15,113,4683,64,1232,5838,4235,385,71,25,336,12186,161,2494,3618,1162,80,11,28,346,7900,36,389,1244,334,10,3,3,113,2132,20,254,834,509,21,3,3,27,1671,13,93,42,21,8,0,3,7,187,230,3230,5738,2026,119,17,37,493,11890,46,264,405,87,27,10,6,59,904,6,37,39,22,8,0,5,3,120,487,6162,28557,59991,27382,4869,1017,2444,130909,Newcastle and Lake Macquarie
112,294,1661,8615,32347,18610,3407,666,1052,66652,33,381,2876,3130,333,36,17,211,7017,35,246,1201,2036,164,24,18,102,3826,68,627,4077,5166,497,60,35,313,10843,55,947,3552,1583,77,10,11,231,6466,3,132,838,324,8,0,0,42,1347,0,13,396,170,5,4,0,29,617,13,97,70,35,15,5,0,18,253,71,1189,4856,2112,105,19,11,320,8683,246,966,884,239,52,10,7,186,2590,3,21,26,20,13,3,3,3,92,682,4464,18458,39884,19277,3499,722,1874,88860,Richmond - Tweed
113,74,568,5081,23992,14965,2527,480,918,48605,23,172,820,417,55,12,3,60,1562,0,26,165,75,12,6,0,5,289,23,198,985,492,67,18,3,65,1851,32,473,2519,371,55,10,7,159,3626,0,27,57,9,0,0,0,4,97,3,15,47,16,0,0,0,3,84,3,11,14,4,3,0,3,3,41,38,526,2637,400,58,10,10,169,3848,46,140,91,86,26,10,8,55,462,4,11,15,9,11,0,4,20,74,185,1443,8809,24979,15127,2565,505,1227,54840,Riverina
114,80,760,5501,21478,14970,2735,605,748,46877,12,224,1109,855,221,29,7,82,2539,0,13,171,266,33,8,0,14,505,12,237,1280,1121,254,37,7,96,3044,19,368,990,225,11,3,4,74,1694,0,0,9,8,4,0,0,0,21,0,5,11,0,0,0,0,0,16,6,34,20,12,5,3,0,3,83,25,407,1030,245,20,6,4,77,1814,59,229,304,86,16,3,5,58,760,0,4,28,23,16,3,0,5,79,176,1637,8143,22953,15276,2784,621,984,52574,Southern Highlands and Shoalhaven
115,70,480,1822,13701,30467,8011,1788,463,56802,3,184,672,698,100,18,7,44,1726,3,61,650,2756,633,44,7,44,4198,6,245,1322,3454,733,62,14,88,5924,4,173,397,157,21,0,0,38,790,5,36,387,226,0,4,0,9,667,0,106,555,152,0,0,4,13,830,3,30,27,22,17,5,3,3,110,12,345,1366,557,38,9,7,63,2397,33,108,98,35,9,3,3,15,304,0,12,17,15,3,0,3,0,50,121,1190,4625,17762,31250,8085,1815,629,65477,Sydney - Baulkham Hills and Hawkesbury
116,124,556,3809,40024,27024,4408,830,1356,78131,20,259,874,2298,378,48,12,111,4000,27,173,816,4402,1198,143,38,133,6930,47,432,1690,6700,1576,191,50,244,10930,112,638,338,94,18,0,3,111,1314,9,61,1330,95,5,0,0,68,1568,14,63,1645,137,6,0,0,50,1915,10,67,32,20,3,3,3,8,146,145,829,3345,346,32,3,6,237,4943,14,120,157,61,14,0,0,29,395,0,9,9,31,13,6,4,0,72,330,1946,9010,47162,28659,4608,890,1866,94471,Sydney - Blacktown
117,105,550,3642,7535,3074,768,206,298,16178,40,793,4602,3210,486,65,30,166,9392,150,1128,4615,6029,2057,389,160,290,14818,190,1921,9217,9239,2543,454,190,456,24210,570,2522,3131,730,97,17,26,228,7321,687,3876,7606,1380,79,9,21,332,13990,3080,16650,20472,4365,214,23,71,901,45776,20,64,70,14,5,0,3,11,187,4357,23112,31279,6489,395,49,121,1472,67274,27,148,241,141,28,11,10,17,623,37,129,349,52,9,0,3,24,603,4716,25860,44728,23456,6049,1282,530,2267,108888,Sydney - City and Inner South
118,60,345,2686,9184,8021,3021,827,385,24529,41,240,2358,3046,830,139,28,121,6803,52,394,2644,5109,1995,311,68,191,10764,93,634,5002,8155,2825,450,96,312,17567,250,2017,5301,1654,209,32,23,231,9717,390,3934,12578,2873,171,78,29,460,20513,791,4780,12054,3672,178,22,21,470,21988,0,41,40,13,5,0,0,0,99,1431,10772,29973,8212,563,132,73,1161,52317,11,97,168,101,22,10,6,3,418,4,34,69,41,17,3,0,3,171,1599,11882,37898,25693,11448,3616,1002,1864,95002,Sydney - Eastern Suburbs
119,195,852,14641,49699,25471,6972,1603,2006,101439,177,807,3285,4713,768,132,22,268,10172,66,557,2414,5659,2935,286,55,257,12229,243,1364,5699,10372,3703,418,77,525,22401,314,2285,11626,1929,220,16,24,665,17079,98,1152,15024,2702,98,17,11,550,19652,105,1108,8828,2360,115,14,5,272,12807,12,67,99,63,30,8,0,13,292,529,4612,35577,7054,463,55,40,1500,49830,17,196,388,198,43,4,0,45,891,4,37,121,87,22,7,5,3,286,988,7061,56426,67410,29702,7456,1725,4079,174847,Sydney - Inner South West
120,100,635,7009,19132,10474,3114,819,645,41928,36,496,3602,2559,464,65,13,117,7352,25,527,2959,4131,886,87,23,102,8740,61,1023,6561,6690,1350,152,36,219,16092,366,2265,6617,1340,114,10,21,333,11066,161,1828,9349,1697,78,9,8,259,13389,265,2094,8043,2879,90,17,5,208,13601,14,80,70,30,14,3,3,5,219,806,6267,24079,5946,296,39,37,805,38275,21,123,328,169,43,5,4,21,714,3,38,65,34,3,0,3,7,153,991,8086,38042,31971,12166,3310,899,1697,97162,Sydney - Inner West
121,92,602,5149,26242,28885,9901,1898,634,73403,22,298,1536,1742,286,26,4,88,4002,34,383,1797,4252,751,105,22,92,7436,56,681,3333,5994,1037,131,26,180,11438,97,1831,5070,2034,129,19,11,236,9427,284,3173,10407,2678,103,6,12,215,16878,910,6369,14213,4491,123,11,15,387,26519,11,83,41,36,16,7,0,10,204,1302,11456,29731,9239,371,43,38,848,53028,15,92,97,49,20,0,0,10,283,9,48,71,51,19,7,7,11,223,1474,12879,38381,41575,30332,10082,1969,1683,138375,Sydney - North Sydney and Hornsby
122,77,648,4183,19903,18839,5926,1324,523,51423,66,355,696,909,218,36,11,73,2364,17,326,1226,2423,515,89,33,71,4700,83,681,1922,3332,733,125,44,144,7064,212,1902,3649,1105,115,23,17,223,7246,70,2291,8482,1208,52,14,6,213,12336,123,1469,3789,1196,33,5,5,131,6751,20,127,83,43,24,9,4,12,322,425,5789,16003,3552,224,51,32,579,26655,19,82,126,64,18,5,0,17,331,4,27,18,14,7,3,0,0,73,608,7227,22252,26865,19821,6110,1400,1263,85546,Sydney - Northern Beaches
123,115,398,2417,30413,24471,4749,1082,974,64619,24,196,1831,2276,237,26,10,115,4715,16,109,1198,1969,538,43,4,97,3974,40,305,3029,4245,775,69,14,212,8689,28,339,800,136,24,11,4,60,1402,0,5,292,150,0,0,0,14,461,0,33,203,41,3,0,0,5,285,6,54,32,13,7,0,0,4,116,34,431,1327,340,34,11,4,83,2264,22,81,64,94,48,9,4,28,350,3,5,5,14,15,0,0,0,42,214,1220,6842,35106,25343,4838,1104,1297,75964,Sydney - Outer South West
124,115,856,5903,41671,27057,5691,1262,1120,83675,45,388,1365,2625,270,47,19,112,4871,5,219,865,3110,371,57,17,86,4730,50,607,2230,5735,641,104,36,198,9601,92,479,1206,645,168,39,11,128,2768,5,148,1590,102,7,3,4,58,1917,5,36,381,56,19,3,0,10,510,10,97,56,93,59,15,4,8,342,112,760,3233,896,253,60,19,204,5537,17,101,122,61,14,4,4,28,351,0,39,31,19,6,3,0,7,105,294,2363,11519,48382,27971,5862,1321,1557,99269,Sydney - Outer West and Blue Mountains
125,193,868,8921,37575,20303,4783,1078,1460,75181,136,792,2523,3237,608,81,35,206,7618,49,296,1910,5218,1484,151,36,146,9290,185,1088,4433,8455,2092,232,71,352,16908,258,1817,7673,1681,146,13,10,439,12037,147,765,11236,2206,46,5,9,351,14765,165,1131,6279,1372,49,6,4,242,9248,11,97,81,50,16,0,0,13,268,581,3810,25269,5309,257,24,23,1045,36318,18,48,113,70,20,5,5,12,291,6,31,85,60,13,6,5,8,214,983,5845,38821,51469,22685,5050,1182,2877,128912,Sydney - Parramatta
126,61,235,3105,14436,11949,3615,798,394,34593,38,214,898,1950,189,28,5,62,3384,9,191,1477,1770,472,32,11,46,4008,47,405,2375,3720,661,60,16,108,7392,34,887,1678,449,37,6,10,102,3203,102,1283,5247,692,19,0,7,118,7468,40,1003,3401,624,26,5,4,87,5190,5,18,18,9,6,0,0,0,56,181,3191,10344,1774,88,11,21,307,15917,7,29,38,35,7,3,0,3,122,0,4,8,8,3,3,0,3,29,296,3864,15870,19973,12708,3692,835,815,58053,Sydney - Ryde
127,191,569,4039,35831,31228,5870,1244,1675,80647,48,419,934,2632,817,115,33,235,5233,38,300,1713,4347,1367,206,44,246,8261,86,719,2647,6979,2184,321,77,481,13494,214,669,1517,549,46,11,8,207,3221,35,465,4289,430,12,3,8,204,5446,25,270,2699,570,6,0,0,97,3667,4,58,56,48,22,3,0,8,199,278,1462,8561,1597,86,17,16,516,12533,12,101,116,30,11,3,0,18,291,3,16,28,37,11,3,0,4,102,570,2867,15391,44474,33520,6214,1337,2694,107067,Sydney - South West
128,42,394,3235,20873,19557,4836,800,471,50208,36,270,995,1559,95,15,3,67,3040,4,210,1107,3754,370,23,6,88,5562,40,480,2102,5313,465,38,9,155,8602,29,1320,1775,342,23,4,3,124,3620,10,641,5718,839,17,0,3,132,7360,46,476,3443,821,16,0,0,121,4923,11,43,22,23,12,4,4,0,119,96,2480,10958,2025,68,8,10,377,16022,29,113,102,42,8,3,0,9,306,0,3,6,6,5,0,0,0,20,207,3470,16403,28259,20103,4885,819,1012,75158,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,81,754,6830,28168,11685,1556,315,835,50224,7,442,1102,453,31,0,3,86,2124,0,13,78,151,33,11,0,8,294,7,455,1180,604,64,11,3,94,2418,21,820,1795,311,17,4,10,134,3112,0,15,14,5,3,0,0,0,37,0,0,12,0,0,0,0,0,12,0,9,10,4,3,0,0,3,29,21,844,1831,320,23,4,10,137,3190,62,171,92,48,24,5,3,35,440,0,3,3,7,5,0,0,3,21,171,2227,9936,29147,11801,1576,331,1104,56293,Ballarat
202,83,776,6800,27153,11419,1627,303,817,48978,23,220,819,285,46,3,0,51,1447,0,6,67,96,23,5,0,3,200,23,226,886,381,69,8,0,54,1647,26,492,1658,364,24,4,0,110,2678,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,6,10,3,3,3,0,3,28,26,501,1672,367,27,7,0,113,2713,66,183,88,74,27,3,10,38,489,0,3,3,9,3,0,0,0,18,198,1689,9449,27984,11545,1645,313,1022,53845,Bendigo
203,87,780,9027,47128,19949,2811,576,1215,81573,19,623,1948,684,51,6,5,116,3452,3,39,337,615,129,15,0,11,1149,22,662,2285,1299,180,21,5,127,4601,68,1756,4164,1015,71,11,10,251,7346,0,16,83,8,0,0,0,0,107,0,8,46,27,3,0,0,3,87,0,35,19,15,3,0,3,5,80,68,1815,4312,1065,77,11,13,259,7620,45,196,209,81,26,4,3,37,601,0,0,5,11,4,0,6,0,26,222,3453,15838,49584,20236,2847,603,1638,94421,Geelong
204,93,797,6481,29851,14071,1821,391,892,54397,5,381,1493,435,21,4,3,99,2441,0,4,48,66,17,3,4,4,146,5,385,1541,501,38,7,7,103,2587,15,556,1960,357,27,7,6,142,3070,0,4,5,8,0,0,0,0,17,4,7,7,10,0,0,0,0,28,3,18,3,0,0,0,5,0,29,22,585,1975,375,27,7,11,142,3144,82,237,184,166,60,19,15,79,842,5,5,5,13,4,0,5,0,37,207,2009,10186,30906,14200,1854,429,1216,61007,Hume
205,135,1200,11053,49486,21361,2858,564,1558,88215,18,597,1759,894,212,27,12,140,3659,0,9,72,159,32,10,3,5,290,18,606,1831,1053,244,37,15,145,3949,78,1207,3033,651,50,10,11,250,5290,3,8,43,7,3,0,0,3,67,0,0,0,0,0,0,0,0,0,0,19,10,5,3,0,3,3,43,81,1234,3086,663,56,10,14,256,5400,91,430,419,126,29,11,9,91,1206,0,4,4,23,3,3,3,0,40,325,3474,16393,51351,21693,2919,605,2050,98810,Latrobe - Gippsland
206,89,1211,16314,30613,11606,2368,540,962,63703,38,1706,12192,7259,1174,152,36,392,22949,79,1119,7017,10277,2155,383,98,312,21440,117,2825,19209,17536,3329,535,134,704,44389,568,9149,15410,3120,292,36,36,600,29211,843,10556,15043,2180,141,20,31,577,29391,1819,13280,21001,6388,251,41,41,933,43754,3,42,35,28,5,0,0,0,113,3233,33027,51489,11716,689,97,108,2110,102469,25,220,424,246,64,7,18,23,1027,6,29,49,35,10,3,7,5,144,3470,37312,87485,60146,15698,3010,807,3804,211732,Melbourne - Inner
