SA4_MAIN11,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,SA4_NAME11
114,827,23,12,4,0,866,410,10,4,3,0,427,355,11,5,3,0,374,711,19,13,3,0,746,977,31,13,3,0,1024,2464,77,29,5,4,2579,2536,83,20,3,0,2642,3085,70,8,3,4,3170,1233,32,8,0,0,1273,957,17,4,0,0,978,698,9,0,3,3,713,860,16,6,0,0,882,15113,398,122,30,11,15674,Southern Highlands and Shoalhaven
115,1085,67,13,0,0,1165,368,18,5,0,0,391,322,22,8,0,0,352,542,34,6,4,0,586,702,48,10,3,0,763,2216,157,34,3,0,2410,2481,177,56,0,4,2718,4633,500,183,3,4,5323,3811,475,153,0,0,4439,5884,464,78,0,4,6430,4548,124,25,0,0,4697,1604,75,18,5,0,1702,28196,2161,589,18,12,30976,Sydney - Baulkham Hills and Hawkesbury
116,1015,97,25,0,0,1137,434,39,13,0,0,486,456,40,12,3,0,511,931,62,21,0,0,1014,1198,104,50,0,3,1355,3682,407,205,3,3,4300,4757,722,244,5,0,5728,9151,1381,150,6,3,10691,6153,642,27,0,3,6825,5033,413,30,0,0,5476,1607,144,8,0,3,1762,1714,171,32,4,0,1921,36131,4222,817,21,15,41206,Sydney - Blacktown
117,215,241,449,3,0,908,56,80,138,3,0,277,76,75,120,0,0,271,102,132,221,0,4,459,112,188,322,5,7,634,379,455,1118,6,6,1964,405,526,1681,3,9,2624,756,1038,3417,5,14,5230,655,920,2653,8,11,4247,1167,1762,2587,8,8,5532,1047,1869,1766,9,3,4694,299,322,528,3,3,1155,5269,7608,15000,53,65,27995,Sydney - City and Inner South
118,467,239,343,3,3,1055,94,64,103,0,3,264,69,56,95,0,0,220,97,86,182,0,3,368,141,113,239,4,0,497,460,295,684,3,0,1442,398,299,805,0,0,1502,763,604,1771,3,3,3144,528,500,1589,5,0,2622,1054,935,1829,7,10,3835,3012,2093,1349,15,10,6479,674,372,412,3,5,1466,7757,5656,9401,43,37,22894,Sydney - Eastern Suburbs
119,1360,267,397,7,4,2035,544,109,174,3,0,830,484,95,188,0,0,767,832,164,342,0,0,1338,1092,258,527,6,3,1886,3271,761,1928,12,7,5979,3411,919,2612,14,15,6971,6246,1804,3517,16,17,11600,4861,1287,1456,6,10,7620,5930,1289,773,8,7,8007,3923,511,357,7,7,4805,2172,382,502,6,5,3067,34126,7846,12773,85,75,54905,Sydney - Inner South West
120,693,170,293,3,3,1162,217,84,101,0,0,402,164,52,98,3,0,317,289,108,158,0,0,555,347,119,234,3,0,703,1040,401,811,8,3,2263,968,400,1200,10,3,2581,1946,765,2497,12,4,5224,1437,705,1654,3,3,3802,2597,1315,1445,12,3,5372,3689,1402,699,21,3,5814,878,250,320,8,0,1456,14265,5771,9510,83,22,29651,Sydney - Inner West
121,1394,132,388,3,0,1917,352,38,143,0,0,533,335,34,109,0,0,478,466,60,181,0,4,711,598,67,268,0,0,933,1804,228,831,4,4,2871,1786,229,1259,3,3,3280,3638,440,2761,7,10,6856,2741,389,2146,5,6,5287,5186,648,2174,8,3,8019,9274,1027,1342,12,5,11660,1695,141,432,3,4,2275,29269,3433,12034,45,39,44820,Sydney - North Sydney and Hornsby
122,919,77,158,0,0,1154,263,21,73,0,0,357,227,33,65,0,0,325,398,37,118,0,0,553,476,50,136,0,3,665,1333,126,465,0,0,1924,1523,133,629,0,3,2288,2675,251,1511,7,4,4448,2082,257,1379,4,0,3722,4165,451,1327,10,0,5953,6471,486,638,9,3,7607,1294,111,295,8,0,1708,21826,2033,6794,38,13,30704,Sydney - Northern Beaches
123,891,66,8,3,0,968,448,47,8,3,0,506,429,35,5,0,0,469,873,95,11,4,0,983,1216,121,25,5,0,1367,3583,449,85,12,0,4129,4789,589,77,13,0,5468,8859,529,55,16,8,9467,4672,207,19,5,3,4906,3240,144,11,6,3,3404,1519,47,4,6,0,1576,1642,108,18,4,0,1772,32161,2437,326,77,14,35015,Sydney - Outer South West
124,1192,74,35,4,0,1305,632,39,18,3,0,692,650,34,20,0,0,704,1187,61,48,0,0,1296,1614,99,77,0,3,1793,4517,356,275,0,0,5148,5688,572,199,4,0,6463,10474,628,190,8,3,11303,5778,174,70,0,0,6022,3356,97,45,7,0,3505,1549,47,23,5,0,1624,2003,94,37,0,0,2134,38640,2275,1037,31,6,41989,Sydney - Outer West and Blue Mountains
125,1083,198,241,3,0,1525,428,69,100,0,0,597,407,64,68,0,5,544,718,97,189,3,0,1007,970,178,309,3,0,1460,2743,568,1171,10,8,4500,3014,857,1989,12,7,5879,5630,1751,2486,9,6,9882,4369,1090,875,3,11,6348,4373,753,558,0,11,5695,2051,275,248,3,3,2580,1435,235,254,3,0,1927,27221,6135,8488,49,51,41944,Sydney - Parramatta
126,620,89,118,3,0,830,191,27,46,0,0,264,157,21,27,0,0,205,273,36,75,0,0,384,363,54,115,0,0,532,1009,181,356,0,0,1546,959,220,521,0,0,1700,1763,424,969,3,0,3159,1353,398,514,0,3,2268,2425,449,361,3,0,3238,2979,257,149,0,3,3388,704,72,114,3,0,893,12796,2228,3365,12,6,18407,Sydney - Ryde
127,1148,131,96,0,0,1375,550,72,62,3,0,687,452,67,60,0,0,579,842,116,100,3,4,1065,1253,142,189,0,0,1584,3655,527,751,4,4,4941,4327,771,592,3,7,5700,7485,1291,345,3,5,9129,5166,637,89,0,4,5896,4169,331,49,0,0,4549,1878,158,35,0,0,2071,1937,247,106,0,4,2294,32862,4490,2474,16,28,39870,Sydney - South West
128,791,78,96,3,0,968,291,28,59,0,0,378,301,22,42,0,0,365,517,63,92,3,0,675,633,81,122,0,0,836,1781,206,371,4,0,2362,1953,259,650,0,3,2865,3456,484,1362,3,0,5305,3032,546,704,5,0,4287,4887,580,373,3,0,5843,3502,188,165,0,0,3855,1249,138,155,3,0,1545,22393,2673,4191,24,3,29284,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,878,13,21,6,0,918,812,15,9,0,0,836,728,4,14,3,0,749,1474,15,30,10,3,1532,1705,28,46,9,0,1788,4386,88,74,8,4,4560,3623,61,38,6,0,3728,2727,36,10,5,0,2778,819,10,4,3,0,836,551,5,0,3,0,559,295,4,4,0,0,303,935,15,9,3,0,962,18933,294,259,56,7,19549,Ballarat
202,941,15,13,12,0,981,797,7,10,5,0,819,726,11,13,0,0,750,1327,16,26,6,3,1378,1684,22,20,0,0,1726,4089,62,59,15,5,4230,3568,42,38,9,0,3657,2706,16,23,4,0,2749,819,3,4,0,0,826,545,7,3,5,0,560,287,4,3,5,0,299,872,16,7,8,0,903,18361,221,219,69,8,18878,Bendigo
203,1374,33,52,4,0,1463,893,24,44,3,3,967,831,18,39,0,0,888,1674,32,81,5,0,1792,2120,58,98,4,0,2280,5714,136,269,8,0,6127,5777,129,200,3,4,6113,6355,123,117,8,3,6606,2435,46,34,4,0,2519,1688,32,23,3,0,1746,869,19,27,3,0,918,1716,41,39,0,0,1796,31446,691,1023,45,10,33215,Geelong
204,957,10,18,12,0,997,681,11,22,8,0,722,734,7,10,12,0,763,1393,30,26,10,0,1459,1818,38,40,8,0,1904,4271,83,100,20,0,4474,3817,57,33,16,0,3923,3018,15,11,13,0,3057,1020,3,3,4,0,1030,653,4,6,11,0,674,381,3,4,11,4,403,1113,17,14,17,0,1161,19856,278,287,142,4,20567,Hume
205,1656,32,39,12,4,1743,1349,32,28,10,0,1419,1240,33,28,0,0,1301,2430,46,39,8,0,2523,3211,70,49,13,3,3346,6883,136,92,17,0,7128,5252,95,41,18,0,5406,4507,52,19,14,3,4595,1430,26,12,4,0,1472,978,13,7,3,0,1001,615,11,8,9,3,646,1864,35,19,13,3,1934,31415,581,381,121,16,32514,Latrobe - Gippsland
206,1037,545,692,3,0,2277,396,202,233,3,0,834,361,175,257,0,0,793,603,272,443,4,3,1325,810,361,619,6,0,1796,2048,1074,1990,12,3,5127,2100,1153,2603,24,4,5884,3500,2091,4206,42,6,9845,2327,1435,2504,18,6,6290,3033,2138,2234,27,5,7437,3406,2200,1418,14,4,7042,1264,601,692,11,3,2571,20885,12247,17891,164,34,51221,Melbourne - Inner
207,1741,226,139,3,0,2109,587,80,58,0,0,725,504,78,48,0,0,630,791,131,101,4,0,1027,1034,157,141,0,0,1332,2865,470,373,4,0,3712,2691,548,446,3,0,3688,4527,853,715,4,0,6099,2877,537,453,0,3,3870,4238,646,352,3,0,5239,5082,573,192,3,3,5853,1809,203,110,8,0,2130,28746,4502,3128,32,6,36414,Melbourne - Inner East
208,1663,336,192,3,0,2194,621,157,100,0,0,878,568,121,96,3,0,788,990,202,197,3,0,1392,1225,290,273,3,3,1794,3409,734,772,11,0,4926,3420,862,963,5,0,5250,5824,1441,1352,17,3,8637,3777,1012,692,14,5,5500,4955,1148,585,11,3,6702,5319,867,272,7,3,6468,2145,379,279,5,3,2811,33916,7549,5773,82,20,47340,Melbourne - Inner South
209,1977,113,61,3,0,2154,1137,52,45,6,0,1240,993,70,40,0,0,1103,1823,125,68,4,0,2020,2571,142,126,3,0,2842,6824,475,332,5,4,7640,7882,669,452,10,0,9013,12501,1062,540,10,3,14116,6522,466,234,4,0,7226,4709,305,120,3,3,5140,2534,109,55,3,0,2701,2951,177,102,4,0,3234,52424,3765,2175,55,10,58429,Melbourne - North East
210,1377,107,42,3,4,1533,809,65,34,0,0,908,817,57,26,4,0,904,1438,123,53,0,0,1614,1956,188,73,0,0,2217,5628,580,252,13,3,6476,6650,778,283,5,4,7720,8753,983,290,4,5,10035,3753,398,140,3,3,4297,2714,272,75,0,4,3065,1380,113,40,3,0,1536,2328,192,75,0,0,2595,37603,3856,1383,35,23,42900,Melbourne - North West
211,2782,175,58,5,0,3020,1706,108,46,3,0,1863,1566,78,42,0,0,1686,2924,161,82,4,0,3171,3818,223,102,9,0,4152,10231,643,309,10,0,11193,10865,870,346,3,0,12084,15150,1090,457,8,4,16709,7624,466,133,3,0,8226,5306,222,68,3,0,5599,2457,95,27,0,3,2582,3897,184,79,4,0,4164,68326,4315,1749,52,7,74449,Melbourne - Outer East
212,3058,190,161,3,0,3412,1693,99,90,0,0,1882,1657,80,116,5,0,1858,3140,171,162,0,0,3473,3999,251,265,3,0,4518,11820,654,689,7,0,13170,13958,889,864,9,0,15720,19167,1199,780,9,3,21158,8418,534,263,3,9,9227,5863,432,184,4,4,6487,2893,205,86,0,0,3184,4481,251,176,6,0,4914,80147,4955,3836,49,16,89003,Melbourne - South East
213,2639,162,90,3,0,2894,1544,85,73,3,0,1705,1524,85,54,0,0,1663,2842,154,132,3,0,3131,3832,204,203,3,0,4242,12045,728,637,6,3,13419,14196,956,743,11,5,15911,18989,1285,620,12,6,20912,8402,694,206,6,3,9311,5474,563,133,8,3,6181,2651,262,55,6,0,2974,4195,275,125,4,0,4599,78333,5453,3071,65,20,86942,Melbourne - West
214,1537,66,59,0,3,1665,886,29,35,3,0,953,852,36,47,5,3,943,1619,77,64,4,0,1764,2096,110,77,7,0,2290,5632,273,240,9,0,6154,6490,369,259,3,0,7121,7995,299,197,9,0,8500,3463,116,53,0,0,3632,2461,82,32,3,0,2578,1374,38,12,3,0,1427,2207,96,64,3,0,2370,36612,1591,1139,49,6,39397,Mornington Peninsula
215,1036,16,10,7,0,1069,887,3,11,10,0,911,931,13,10,5,3,962,1708,27,16,7,0,1758,2091,22,40,4,0,2157,3966,66,61,14,3,4110,2421,37,25,8,3,2494,1552,19,7,3,0,1581,466,0,4,0,0,470,288,6,0,4,0,298,207,0,3,6,0,216,940,4,7,8,0,959,16493,213,194,76,9,16985,North West
216,800,9,16,3,0,828,501,5,13,5,0,524,501,3,10,3,0,517,1084,13,29,0,0,1126,1492,18,40,3,0,1553,3495,43,61,9,0,3608,2720,25,24,3,6,2778,2116,14,12,8,0,2150,669,7,0,0,0,676,425,0,4,3,0,432,294,0,3,7,3,307,956,13,10,3,0,982,15053,150,222,47,9,15481,Shepparton
217,910,12,16,5,0,943,572,10,13,3,0,598,619,4,9,5,0,637,1111,19,17,10,0,1157,1432,22,18,5,0,1477,2919,45,50,11,0,3025,2240,43,28,6,3,2320,1822,26,16,8,0,1872,628,14,0,0,0,642,355,5,3,3,0,366,378,8,3,0,0,389,803,8,6,6,0,823,13789,216,179,62,3,14249,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,1024,47,9,0,0,1080,517,27,4,0,3,551,513,34,7,3,0,557,870,48,28,3,0,949,1227,55,14,3,0,1299,3127,169,50,6,0,3352,3547,255,39,5,0,3846,5918,344,76,5,0,6343,4548,107,35,0,0,4690,3955,58,15,3,0,4031,1782,31,5,3,0,1821,1461,40,25,3,0,1529,28489,1215,307,34,3,30048,Brisbane - East
302,879,48,34,4,0,965,433,28,20,0,0,481,419,18,20,0,0,457,753,52,44,0,0,849,966,73,75,4,0,1118,2543,166,154,0,0,2863,2841,248,238,0,0,3327,5063,458,416,0,3,5940,3412,206,163,0,0,3781,2776,91,65,0,0,2932,1231,28,28,0,0,1287,1104,55,49,0,0,1208,22420,1471,1306,8,3,25208,Brisbane - North
303,1365,90,43,0,0,1498,600,39,23,0,0,662,565,47,38,3,0,653,959,85,63,0,3,1110,1401,109,81,3,0,1594,3656,364,255,6,0,4281,3983,582,413,0,0,4978,6595,888,617,4,3,8107,5003,425,238,0,0,5666,4816,270,122,3,0,5211,2412,110,59,3,0,2584,1633,107,68,0,0,1808,32988,3116,2020,22,6,38152,Brisbane - South
304,888,50,44,0,0,982,369,19,13,0,0,401,303,14,16,0,3,336,562,32,35,0,0,629,733,40,43,0,0,816,2021,123,146,0,0,2290,2231,115,199,3,0,2548,3717,222,321,3,0,4263,2854,144,160,0,0,3158,3136,131,86,0,0,3353,2163,56,30,0,0,2249,873,40,36,0,0,949,19850,986,1129,6,3,21974,Brisbane - West
305,678,61,243,4,0,986,238,25,80,0,0,343,187,27,95,4,0,313,332,56,165,0,0,553,448,38,240,4,3,733,1261,170,754,0,0,2185,1276,206,1020,6,3,2511,2287,401,1788,5,0,4481,1844,294,1086,5,0,3229,2987,283,783,3,0,4056,3398,152,622,8,3,4183,804,71,284,0,3,1162,15740,1784,7160,39,12,24735,Brisbane Inner City
306,873,23,56,9,0,961,529,27,35,6,0,597,516,22,45,10,0,593,991,44,99,8,3,1145,1399,94,164,15,3,1675,3708,244,426,19,3,4400,3956,204,341,14,6,4521,5135,131,209,22,3,5500,2403,48,77,6,0,2534,1552,39,55,4,3,1653,728,23,50,14,0,815,1299,36,77,8,3,1423,23089,935,1634,135,24,25817,Cairns
307,963,10,10,9,0,992,429,5,0,3,0,437,447,3,3,6,0,459,897,3,3,6,5,914,1091,5,9,5,0,1110,2513,10,18,15,3,2559,1984,13,15,9,0,2021,1763,16,11,11,3,1804,639,5,3,8,0,655,478,3,8,4,0,493,348,4,0,10,3,365,810,14,5,7,8,844,12362,91,85,93,22,12653,Darling Downs - Maranoa
308,908,6,14,11,0,939,489,11,7,4,0,511,531,4,7,6,0,548,1008,8,13,7,0,1036,1304,18,22,15,0,1359,3331,56,49,24,0,3460,3758,44,66,20,0,3888,5339,44,104,20,7,5514,2891,22,34,6,0,2953,2183,12,19,11,0,2225,875,7,10,8,4,904,1475,17,23,9,0,1524,24092,249,368,141,11,24861,Fitzroy
309,1834,349,263,7,4,2457,890,183,96,4,0,1173,667,162,94,4,0,927,1360,278,175,6,0,1819,1890,388,286,6,0,2570,4989,1227,780,13,3,7012,5758,1642,1037,11,9,8457,10347,2238,1340,10,8,13943,8193,878,546,6,0,9623,7359,533,360,8,4,8264,4166,323,301,5,3,4798,3107,461,345,10,3,3926,50560,8662,5623,90,34,64969,Gold Coast
310,1199,23,4,3,0,1229,835,24,4,5,0,868,790,13,3,5,4,815,1537,39,7,3,0,1586,2004,31,12,5,0,2052,5170,131,28,5,3,5337,6199,166,39,3,3,6410,8325,162,16,10,0,8513,3884,41,3,3,0,3931,2309,22,5,9,0,2345,835,10,0,0,0,845,1672,24,7,3,0,1706,34759,686,128,54,10,35637,Ipswich
