SA4_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,SA4_NAME11
111,40565,3200,1693,401,22,45881,40983,1777,1265,59,21,44105,11430,3074,4104,128,32,18768,2956,1819,2372,0,4,7151,5737,1032,1170,71,24,8034,296,292,292,6,0,886,644,183,93,159,6,1085,426,69,95,10,4,604,21489,6469,8126,374,70,36528,440,313,260,8,0,1021,2331,427,547,64,7,3376,105808,12186,11891,906,120,130911,Newcastle and Lake Macquarie
112,27809,3282,1800,1469,29,34389,22456,2005,937,144,14,25556,6552,2779,3125,71,16,12543,1099,667,759,3,0,2528,5347,1172,1050,180,21,7770,331,164,183,5,0,683,592,104,137,483,4,1320,529,85,74,43,0,731,14450,4971,5328,785,41,25575,435,183,218,29,0,865,1503,402,401,163,4,2473,66653,10843,8684,2590,88,88858,Richmond - Tweed
113,18625,418,531,152,9,19735,16621,234,297,50,6,17208,4640,673,1850,54,18,7235,1902,107,244,3,5,2261,3306,159,380,49,8,3902,157,56,116,0,5,334,1179,39,112,79,0,1409,511,23,53,18,3,608,11695,1057,2755,203,39,15749,324,62,66,7,4,463,1340,80,199,49,16,1684,48605,1851,3848,461,74,54839,Riverina
114,20744,902,357,472,25,22500,15113,399,121,29,12,15674,4967,882,582,35,5,6471,1075,298,293,0,0,1666,2415,188,162,41,7,2813,255,94,98,0,0,447,600,30,31,117,11,789,285,24,15,9,0,333,9597,1516,1181,202,23,12519,294,99,64,11,9,477,1128,128,91,47,10,1404,46876,3044,1814,761,79,52574,Southern Highlands and Shoalhaven
115,21121,1509,588,136,12,23366,28196,2160,591,17,14,30978,4067,1155,722,10,0,5954,57,101,0,3,3,164,1757,279,139,24,3,2202,47,126,75,0,4,252,291,117,9,84,3,504,204,34,14,9,3,264,6423,1812,959,130,16,9340,321,314,158,6,8,807,742,129,99,15,0,985,56803,5924,2395,304,50,65476,Sydney - Baulkham Hills and Hawkesbury
116,20462,1108,238,114,28,21950,36130,4221,817,22,17,41207,9647,2646,2023,54,12,14382,5319,1778,1093,0,0,8190,3424,575,264,34,8,4305,219,105,160,4,0,488,460,65,37,128,6,696,279,54,39,4,0,376,19348,5223,3616,224,26,28437,370,92,32,6,0,500,1820,287,237,29,3,2376,78130,10931,4940,395,74,94470,Sydney - Blacktown
117,6470,5122,7553,72,17,19234,5270,7608,14999,52,65,27994,2269,6100,29613,273,131,38386,442,2049,5812,9,273,8585,908,2113,5746,161,50,8978,120,240,721,3,7,1091,77,131,543,25,7,783,95,149,394,10,3,651,3911,10782,42829,481,471,58474,94,148,324,3,22,591,434,550,1569,15,28,2596,16179,24210,67274,623,603,108889,Sydney - City and Inner South
118,12192,5763,9260,56,20,27291,7756,5656,9402,41,38,22893,2272,3465,22326,205,69,28337,257,540,2823,0,0,3620,1046,1285,5575,92,24,8022,62,65,355,0,0,482,122,176,326,12,10,646,132,97,423,3,3,658,3891,5628,31828,312,106,41765,106,110,401,3,3,623,584,411,1425,6,4,2430,24529,17568,52316,418,171,95002,Sydney - Eastern Suburbs
119,45890,5996,7220,138,49,59293,34127,7845,12774,85,74,54905,9272,3801,19073,394,106,32646,3226,2095,4182,0,8,9511,4065,1168,3242,141,30,8646,312,332,495,5,3,1147,637,207,414,68,11,1337,461,120,309,10,0,900,17973,7723,27715,618,158,54187,564,180,363,8,0,1115,2883,657,1760,42,5,5347,101437,22401,49832,891,286,174847,Sydney - Inner South West
120,19262,4040,5428,68,17,28815,14266,5770,9511,85,19,29651,4619,3881,16680,295,76,25551,284,647,1749,4,0,2684,1743,1033,2766,185,26,5753,166,117,428,5,0,716,172,160,345,28,3,708,200,69,199,11,0,479,7184,5907,22167,528,105,35891,224,85,229,4,4,546,993,289,940,28,8,2258,41929,16091,38275,713,153,97161,Sydney - Inner West
121,33645,3781,10860,48,40,48374,29268,3434,12034,44,41,44821,5948,2568,21799,109,53,30477,218,329,1120,0,0,1667,2457,773,4508,60,25,7823,108,80,466,0,4,658,208,55,292,10,37,602,267,48,277,0,3,595,9206,3853,28462,179,122,41822,297,144,637,4,10,1092,988,226,1036,7,9,2266,73404,11438,53029,282,222,138375,Sydney - North Sydney and Hornsby
122,21760,2327,5455,85,8,29635,21826,2033,6795,38,13,30705,3892,1163,9270,98,25,14448,251,243,670,0,0,1164,2133,569,2499,62,18,5281,64,90,389,3,0,546,180,113,152,23,3,471,226,53,168,5,4,456,6746,2231,13148,191,50,22366,268,252,508,0,0,1028,822,222,748,18,0,1810,51422,7065,26654,332,71,85544,Sydney - Northern Beaches
123,17318,1411,341,121,9,19200,32161,2437,326,77,15,35016,6896,1933,680,37,4,9550,3489,1840,390,0,6,5725,2473,420,155,28,3,3079,180,130,92,0,3,405,300,24,27,50,4,405,217,36,26,8,0,287,13555,4383,1370,123,20,19451,276,178,130,3,0,587,1308,279,96,25,0,1708,64618,8688,2263,349,44,75962,Sydney - Outer South West
124,26758,1809,629,138,16,29350,38639,2275,1035,32,6,41987,9469,3072,2265,68,13,14887,1927,1043,716,3,0,3689,3775,604,389,54,6,4828,246,227,137,0,9,619,576,101,42,22,3,744,348,64,39,8,3,462,16341,5111,3588,155,34,25229,369,147,63,5,35,619,1570,260,223,21,12,2086,83677,9602,5538,351,103,99271,Sydney - Outer West and Blue Mountains
125,29319,2949,3309,36,22,35635,27222,6135,8489,47,53,41946,8155,3570,15904,91,66,27786,3067,2034,3674,18,18,8811,3671,916,2182,56,25,6850,264,327,615,0,3,1209,585,299,343,20,14,1261,380,86,223,10,4,703,16122,7232,22941,195,130,46620,476,167,420,0,0,1063,2042,424,1160,10,10,3646,75181,16907,36319,288,215,128910,Sydney - Parramatta
126,16131,2050,2253,22,3,20459,12797,2228,3365,12,4,18406,2930,1633,6980,46,6,11595,307,527,1086,0,3,1923,1295,431,1099,31,4,2860,91,98,306,0,3,498,127,143,103,7,0,380,131,43,94,3,0,271,4881,2875,9668,87,16,17527,159,101,263,0,3,526,626,136,369,3,3,1137,34594,7390,15918,124,29,58055,Sydney - Ryde
127,27068,2268,1284,117,26,30763,32862,4490,2472,17,28,39869,8563,2799,5089,52,15,16518,3741,2108,1942,0,0,7791,3610,646,623,21,13,4913,273,231,204,0,5,713,1248,170,160,51,10,1639,411,79,105,8,3,606,17846,6033,8123,132,46,32180,467,118,64,5,3,657,2403,585,590,20,0,3598,80646,13494,12533,291,103,107067,Sydney - South West
128,22104,3076,2961,84,3,28228,22393,2674,4192,22,3,29284,2799,1356,5843,68,4,10070,353,493,931,0,0,1777,1251,331,1085,39,3,2709,100,101,186,0,0,387,139,200,54,79,3,475,130,26,69,4,3,232,4772,2507,8168,190,13,15650,178,95,253,3,0,529,762,251,447,9,0,1469,50209,8603,16021,308,19,75160,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,19730,530,549,204,0,21013,18933,293,258,56,10,19550,5217,843,1293,19,4,7376,1194,293,446,6,0,1939,2791,162,248,38,6,3245,174,61,120,0,0,355,342,32,43,73,0,490,279,22,35,8,0,344,9997,1413,2185,144,10,13749,297,68,45,11,0,421,1268,115,152,25,0,1560,50225,2419,3189,440,20,56293,Ballarat
202,19176,287,519,228,6,20216,18362,222,216,70,8,18878,4904,578,923,19,0,6424,1182,205,492,3,0,1882,2973,171,278,36,3,3461,232,57,61,0,0,350,341,36,44,81,0,502,292,17,21,9,0,339,9924,1064,1819,148,3,12958,280,13,24,9,0,326,1237,60,134,35,0,1466,48979,1646,2712,490,17,53844,Bendigo
203,31641,1156,1502,245,7,34551,31448,692,1024,44,7,33215,8746,1394,2745,43,9,12937,1759,463,635,0,3,2860,4410,366,786,53,0,5615,344,101,263,0,0,708,533,63,126,153,0,875,404,41,83,6,0,534,16196,2428,4638,255,12,23529,409,157,150,16,0,732,1879,166,308,41,0,2394,81573,4599,7622,601,26,94421,Geelong
204,21768,493,552,337,7,23157,19856,277,285,141,6,20565,4894,812,1204,38,4,6952,1568,454,423,4,0,2449,3137,211,328,96,6,3778,114,53,57,4,0,228,918,58,69,125,7,1177,451,42,50,9,0,552,11082,1630,2131,276,17,15136,382,60,31,15,4,492,1308,126,147,74,3,1658,54396,2586,3146,843,37,61008,Hume
205,36793,1268,1153,574,9,39797,31414,581,383,121,16,32515,8653,837,1890,31,5,11416,1888,482,869,0,3,3242,4799,229,404,99,5,5536,284,152,133,5,0,574,860,65,90,266,4,1285,701,42,72,14,0,829,17185,1807,3458,415,17,22882,529,108,110,18,0,765,2293,185,294,79,0,2851,88214,3949,5398,1207,42,98810,Latrobe - Gippsland
206,26723,11106,11995,133,22,49979,20884,12247,17890,166,34,51221,9247,12981,48934,389,49,71600,463,2042,9338,0,6,11849,3861,4130,8921,243,17,17172,189,275,1036,3,3,1506,195,206,712,41,3,1157,349,302,703,15,3,1372,14304,19936,69644,691,81,104656,339,240,499,15,0,1093,1454,860,2442,22,7,4785,63704,44389,102470,1027,144,211734,Melbourne - Inner
207,41964,5848,3846,29,4,51691,28749,4502,3127,33,7,36418,8384,4664,7663,117,16,20844,493,305,531,0,0,1329,3420,1315,1644,90,3,6472,152,164,309,0,0,625,254,91,149,13,4,511,368,119,156,4,0,647,13071,6658,10452,224,23,30428,458,371,294,0,3,1126,1730,393,531,9,0,2663,85972,17772,18250,295,37,122326,Melbourne - Inner East
208,38475,7765,5614,155,18,52027,33917,7549,5774,81,19,47340,8414,5719,12355,222,20,26730,523,605,1115,0,0,2243,3426,1657,2370,158,10,7621,114,151,318,0,0,583,208,99,171,145,0,623,363,141,190,11,0,705,13048,8372,16519,536,30,38505,427,236,378,6,0,1047,1847,636,928,29,3,3443,87714,24558,29213,807,70,142362,Melbourne - Inner South
209,49310,2500,1733,74,13,53630,52426,3763,2175,54,8,58426,12345,3806,4520,82,8,20761,2133,800,1243,10,0,4186,4708,757,847,59,7,6378,236,86,203,0,0,525,779,93,107,19,0,998,510,71,70,10,0,661,20711,5613,6990,180,15,33509,657,100,108,0,0,865,3190,333,416,12,3,3954,126294,12309,11422,320,39,150384,Melbourne - North East
210,34471,2071,1081,94,6,37723,37602,3858,1384,35,20,42899,8337,2443,2091,40,7,12918,1632,331,453,0,0,2416,3801,630,429,40,9,4909,141,41,47,4,3,236,538,61,46,143,0,788,397,49,148,7,3,604,14846,3555,3214,234,22,21871,446,106,37,5,0,594,2721,330,240,20,3,3314,90086,9920,5956,388,51,106401,Melbourne - North West
211,53918,4494,1638,223,9,60282,68327,4317,1750,52,3,74449,12155,4189,2098,43,9,18494,1402,872,492,0,4,2770,5284,1031,549,63,5,6932,242,240,154,0,3,639,404,80,53,102,0,639,508,93,52,16,0,669,19995,6505,3398,224,21,30143,835,457,292,10,3,1597,2684,566,234,24,3,3511,145759,16339,7312,533,39,169982,Melbourne - Outer East
212,61742,3966,3551,459,8,69726,80145,4955,3836,49,16,89001,21479,4519,7669,74,18,33759,2705,661,1460,3,0,4829,8004,1009,1632,80,10,10735,297,48,183,0,0,528,936,124,266,346,9,1681,740,91,144,18,6,999,34161,6452,11354,521,43,52531,995,198,635,11,5,1844,4785,521,901,67,0,6274,181828,16092,20277,1107,72,219376,Melbourne - South East
213,53133,3136,2081,216,9,58575,78332,5455,3069,65,22,86943,22661,4440,7273,81,22,34477,2466,842,1523,0,5,4836,8272,1047,1465,80,10,10874,406,94,257,3,0,760,1250,164,263,204,0,1881,705,76,154,16,0,951,35760,6663,10935,384,37,53779,814,201,161,8,0,1184,4845,463,711,38,6,6063,172884,15918,16957,711,74,206544,Melbourne - West
214,29147,2601,1665,469,7,33889,36611,1593,1141,47,7,39399,10439,2163,2450,25,7,15084,1423,417,490,3,0,2333,3958,491,580,50,9,5088,159,68,56,0,0,283,430,81,63,315,0,889,419,50,61,11,0,541,16828,3270,3700,404,16,24218,440,344,381,11,4,1180,2076,381,366,44,3,2870,85102,8189,7253,975,37,101556,Mornington Peninsula
215,21974,431,539,324,8,23276,16492,214,193,76,9,16984,4583,619,1260,25,0,6487,1297,247,547,4,0,2095,3207,141,271,63,4,3686,199,92,93,0,0,384,822,39,68,200,8,1137,594,32,45,16,0,687,10702,1170,2284,308,12,14476,369,50,33,14,0,466,1531,121,206,127,3,1988,51068,1986,3255,849,32,57190,North West
216,15526,324,659,377,16,16902,15051,150,223,46,11,15481,3906,489,1296,15,0,5706,1198,228,505,4,0,1935,2395,131,279,43,9,2857,173,27,115,0,0,315,560,16,78,176,7,837,369,11,49,14,0,443,8601,902,2322,252,16,12093,305,24,107,4,0,440,1099,53,226,43,0,1421,40582,1453,3537,722,43,46337,Shepparton
217,17997,463,405,114,5,18984,13786,214,181,61,5,14247,3231,433,894,20,0,4578,979,176,413,3,0,1571,2944,152,260,56,0,3412,103,34,98,0,0,235,669,29,50,52,5,805,451,14,29,22,0,516,8377,838,1744,153,5,11117,339,37,65,9,3,453,1089,59,129,44,0,1321,41588,1611,2524,381,18,46122,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,20558,1635,458,338,3,22992,28489,1215,308,33,3,30048,8844,1727,686,14,5,11276,985,824,642,3,3,2457,3414,894,318,31,3,4660,133,260,95,0,0,488,229,153,55,69,4,510,217,59,41,3,0,320,13822,3917,1837,120,15,19711,334,447,101,8,0,890,1085,303,115,21,0,1524,64288,7517,2819,520,21,75165,Brisbane - East
302,19578,1321,914,118,4,21935,22418,1470,1305,10,6,25209,7424,2217,3597,13,9,13260,1475,651,1098,0,0,3224,3182,851,1034,19,0,5086,127,84,167,4,0,382,355,175,98,291,5,924,230,56,53,9,0,348,12793,4034,6047,336,14,23224,219,322,227,0,0,768,1159,241,270,73,0,1743,56167,7388,8763,537,24,72879,Brisbane - North
303,29168,1957,1308,221,0,32654,32988,3115,2020,24,7,38154,11344,4540,5336,36,11,21267,2079,727,1647,0,5,4458,5446,1790,1792,30,15,9073,224,217,162,0,0,603,447,274,196,365,0,1282,349,103,91,14,0,557,19889,7651,9224,445,31,37240,326,174,202,5,0,707,1640,326,427,72,0,2465,84011,13223,13181,767,38,111220,Brisbane - South
304,17129,1102,1181,3,0,19415,19850,987,1130,5,0,21972,5371,1170,3479,10,5,10035,629,85,560,0,0,1274,2196,480,1045,11,7,3739,80,77,66,0,0,223,602,108,107,0,0,817,166,23,63,0,0,252,9044,1943,5320,21,12,16340,162,155,112,0,0,429,597,98,168,0,3,866,46782,4285,7911,29,15,59022,Brisbane - West
305,13098,1066,4770,80,5,19019,15742,1785,7159,41,9,24736,7332,3142,17037,47,35,27593,252,343,2261,0,0,2856,3493,959,6253,38,14,10757,99,40,561,4,6,710,206,59,500,9,6,780,201,49,288,0,0,538,11583,4592,26900,98,61,43234,185,29,202,6,0,422,743,136,952,16,4,1851,41351,7608,39983,241,79,89262,Brisbane Inner City
306,20353,750,1172,723,27,23025,23090,934,1635,134,25,25818,8216,1585,6116,62,22,16001,2083,429,1112,10,0,3634,5125,583,1749,110,13,7580,388,70,172,7,0,637,1055,98,381,307,14,1855,561,62,152,46,0,821,17428,2827,9682,542,49,30528,386,90,67,36,0,579,1513,195,513,107,5,2333,62770,4796,13069,1542,106,82283,Cairns
307,15869,168,165,244,21,16467,12361,91,85,95,21,12653,4389,231,700,20,4,5344,640,46,264,5,5,960,3477,59,202,50,16,3804,124,17,102,0,0,243,1548,39,109,115,12,1823,772,16,31,20,8,847,10950,408,1408,210,45,13021,441,27,31,17,3,519,1050,23,80,86,0,1239,40671,717,1769,652,90,43899,Darling Downs - Maranoa
308,19502,307,288,979,27,21103,24092,248,367,141,13,24861,8368,668,2117,21,5,11179,1866,195,809,7,0,2877,4390,174,506,102,12,5184,265,139,148,7,3,562,2374,145,282,308,15,3124,644,34,80,58,0,816,17907,1355,3942,503,35,23742,469,108,30,43,4,654,1532,90,191,119,5,1937,63502,2108,4818,1785,84,72297,Fitzroy
309,34168,6810,7263,1104,37,49382,50561,8661,5623,89,34,64968,17507,10301,13180,73,54,41115,1326,987,1410,0,3,3726,6600,4959,5082,134,36,16811,112,278,328,4,0,722,657,663,603,477,7,2407,559,318,342,22,7,1248,26761,17506,20945,710,107,66029,619,408,513,33,4,1577,2187,898,1288,95,9,4477,114296,34283,35632,2031,191,186433,Gold Coast
310,22484,702,266,377,9,23838,34759,687,126,53,11,35636,16090,1594,843,12,19,18558,3385,475,522,7,0,4389,5447,516,291,48,13,6315,226,165,148,0,4,543,1340,110,88,422,16,1976,486,50,33,4,0,573,26974,2910,1925,493,52,32354,382,285,44,12,0,723,1918,184,111,56,3,2272,86517,4768,2472,991,75,94823,Ipswich
311,21017,858,279,273,10,22437,38566,1490,339,19,8,40422,13157,3272,1182,3,5,17619,3186,494,577,0,0,4257,4993,1040,288,29,3,6353,133,129,63,3,0,328,569,225,64,206,0,1064,345,95,33,17,5,495,22383,5255,2207,258,13,30116,349,87,51,5,0,492,1848,244,147,31,4,2274,84163,7934,3023,586,35,95741,Logan - Beaudesert
312,14433,424,416,770,17,16060,17544,386,531,146,18,18625,5246,967,1725,26,16,7980,1012,261,618,9,6,1906,3547,269,646,100,7,4569,172,42,192,3,0,409,2989,290,269,332,12,3892,460,37,66,43,0,606,13426,1866,3516,513,41,19362,449,38,26,26,4,543,1033,119,223,101,0,1476,46885,2833,4712,1556,80,56066,Mackay
