SA4_MAIN11,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,SA4_NAME11
115,437,267,704,454,244,698,212,521,733,365,1457,1822,1993,1266,3259,2339,941,3280,2882,792,3674,2962,782,3744,3334,589,3923,6549,877,7426,6090,132,6222,7483,747,8230,5753,56,5809,3145,27,3172,5655,37,5692,5853,154,6007,682,402,1084,56188,9291,65479,Sydney - Baulkham Hills and Hawkesbury
116,592,403,995,849,537,1386,634,1791,2425,1247,3564,4811,5508,1794,7302,5275,1891,7166,5126,1499,6625,6299,1386,7685,6123,1006,7129,11092,1255,12347,9833,223,10056,6730,574,7304,4522,73,4595,2113,25,2138,2697,42,2739,6838,314,7152,1621,995,2616,77099,17372,94471,Sydney - Blacktown
117,790,2267,3057,593,1188,1781,402,3439,3841,644,5001,5645,3070,3329,6399,2911,3515,6426,2798,3430,6228,3224,4174,7398,3148,3986,7134,5928,6135,12063,6404,1646,8050,6062,7299,13361,5545,999,6544,3260,564,3824,6329,1046,7375,4904,2716,7620,722,1420,2142,56734,52154,108888,Sydney - City and Inner South
118,729,1425,2154,533,799,1332,261,1874,2135,463,3732,4195,2241,3077,5318,2321,2635,4956,2677,2612,5289,2737,2913,5650,2908,2654,5562,5392,3953,9345,5690,1093,6783,7229,4975,12204,5947,689,6636,3458,363,3821,8336,926,9262,5902,2166,8068,940,1353,2293,57764,37239,95003,Sydney - Eastern Suburbs
119,1637,1554,3191,1959,1338,3297,1329,4108,5437,2252,8651,10903,11540,5120,16660,11158,4129,15287,10476,3280,13756,11042,3201,14243,10032,2368,12400,16436,2963,19399,13304,653,13957,9677,1688,11365,7084,190,7274,3533,67,3600,5498,94,5592,12545,910,13455,2747,2283,5030,132249,42597,174846,Sydney - Inner South West
120,821,1065,1886,713,690,1403,437,1783,2220,700,3815,4515,3518,2792,6310,3420,2389,5809,3445,2193,5638,3929,2509,6438,3985,2251,6236,7322,3415,10737,6816,758,7574,7464,3595,11059,6105,382,6487,3400,215,3615,7525,428,7953,6297,1144,7441,879,961,1840,66776,30385,97161,Sydney - Inner West
121,1111,1152,2263,817,802,1619,357,1663,2020,600,3586,4186,2812,3771,6583,3301,3148,6449,4198,2977,7175,4415,3448,7863,4991,3101,8092,9281,4658,13939,8775,802,9577,14925,6645,21570,10871,486,11357,6332,263,6595,14827,501,15328,10288,1139,11427,1038,1293,2331,98939,39435,138374,Sydney - North Sydney and Hornsby
122,410,495,905,454,478,932,206,1129,1335,400,2865,3265,2234,2937,5171,2681,2166,4847,3381,1933,5314,3356,1933,5289,3842,1496,5338,6990,2203,9193,6745,489,7234,8540,2178,10718,6291,180,6471,3355,112,3467,6604,197,6801,6642,688,7330,916,1022,1938,63047,22501,85548,Sydney - Northern Beaches
123,377,349,726,543,424,967,465,1245,1710,916,2986,3902,4231,1686,5917,4271,1573,5844,4057,1375,5432,4901,1350,6251,4814,975,5789,8860,1079,9939,7903,178,8081,5226,522,5748,3563,48,3611,1713,21,1734,2276,13,2289,5900,230,6130,1201,694,1895,61217,14748,75965,Sydney - Outer South West
124,382,516,898,647,579,1226,420,1939,2359,886,4693,5579,4935,3153,8088,5089,2623,7712,5215,2189,7404,6156,2245,8401,6111,1538,7649,11099,1829,12928,9753,294,10047,6688,794,7482,4678,77,4755,1941,22,1963,2781,32,2813,7126,411,7537,1326,1104,2430,75233,24038,99271,Sydney - Outer West and Blue Mountains
125,1162,984,2146,1390,1012,2402,956,3021,3977,1623,5723,7346,7724,3408,11132,7959,2868,10827,7513,2494,10007,8023,2649,10672,7668,2025,9693,12620,2553,15173,10354,558,10912,7892,1477,9369,5511,196,5707,2617,86,2703,3798,104,3902,8732,741,9473,1899,1574,3473,97441,31473,128914,Sydney - Parramatta
126,507,804,1311,453,401,854,233,1059,1292,355,2312,2667,1977,1895,3872,2266,1360,3626,2455,1299,3754,2515,1437,3952,2521,1193,3714,4609,1560,6169,4221,279,4500,4975,1299,6274,3991,107,4098,2100,62,2162,4311,72,4383,3995,368,4363,472,590,1062,41956,16097,58053,Sydney - Ryde
127,997,617,1614,1419,659,2078,1056,2363,3419,1667,4320,5987,7984,2024,10008,7802,1872,9674,6841,1463,8304,7722,1392,9114,7155,883,8038,11326,924,12250,9251,185,9436,5806,416,6222,3879,34,3913,1984,16,2000,2641,20,2661,8716,325,9041,2137,1171,3308,88383,18684,107067,Sydney - South West
128,297,340,637,405,378,783,197,1149,1346,408,3142,3550,2637,2366,5003,2986,1822,4808,3395,1532,4927,3235,1650,4885,3510,1293,4803,6931,1664,8595,7022,298,7320,6793,1160,7953,5564,112,5676,2643,46,2689,4385,62,4447,5838,340,6178,759,800,1559,57005,18154,75159,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,243,347,590,416,499,915,308,1748,2056,698,4306,5004,4176,2854,7030,3995,2198,6193,3688,1524,5212,3709,1305,5014,3408,850,4258,4960,790,5750,3507,172,3679,2028,395,2423,1333,41,1374,481,15,496,623,16,639,3517,407,3924,807,930,1737,37897,18397,56294,Ballarat
202,217,317,534,450,456,906,279,1504,1783,584,3927,4511,3777,2763,6540,3716,2053,5769,3682,1388,5070,3504,1236,4740,3321,795,4116,4966,735,5701,3595,182,3777,2097,378,2475,1325,28,1353,449,7,456,652,14,666,3522,378,3900,739,808,1547,36875,16969,53844,Bendigo
203,415,561,976,747,711,1458,436,2465,2901,930,6006,6936,6108,4200,10308,5850,3169,9019,5778,2445,8223,5613,2192,7805,5544,1447,6991,9022,1620,10642,7162,300,7462,4880,871,5751,3210,83,3293,1250,38,1288,1515,51,1566,6466,588,7054,1391,1357,2748,66317,28104,94421,Geelong
204,329,406,735,592,497,1089,334,1867,2201,776,4260,5036,4422,2991,7413,4386,2293,6679,4196,1586,5782,4065,1320,5385,3919,820,4739,5657,719,6376,4174,134,4308,2058,335,2393,1342,18,1360,428,8,436,597,6,603,4253,263,4516,887,1067,1954,42415,18590,61005,Hume
205,553,633,1186,967,988,1955,553,3033,3586,1269,7622,8891,8040,4798,12838,7100,3380,10480,6831,2346,9177,5978,1923,7901,5778,1214,6992,8318,1235,9553,5859,211,6070,3800,841,4641,2426,49,2475,879,10,889,1139,34,1173,7029,393,7422,1825,1757,3582,68344,30467,98811,Latrobe - Gippsland
206,1683,4731,6414,1479,2657,4136,904,5478,6382,1356,9149,10505,6158,7142,13300,5524,7234,12758,5696,7058,12754,6145,8706,14851,6532,7875,14407,12059,10902,22961,12882,3238,16120,13069,11200,24269,11008,1638,12646,6085,899,6984,11707,1366,13073,10263,5579,15842,1616,2716,4332,114166,97568,211734,Melbourne - Inner
207,1102,1520,2622,1045,984,2029,451,1925,2376,817,4836,5653,4445,4431,8876,4733,3199,7932,5376,2617,7993,5158,2897,8055,5362,2329,7691,9441,2921,12362,8483,698,9181,10534,2638,13172,8231,255,8486,4336,133,4469,8410,151,8561,9339,1052,10391,1236,1240,2476,88499,33826,122325,Melbourne - Inner East
208,890,1416,2306,959,1078,2037,456,2735,3191,821,6797,7618,4932,5749,10681,5224,4337,9561,5861,3772,9633,5915,3955,9870,6199,3160,9359,11014,3768,14782,10439,724,11163,12227,3147,15374,9051,267,9318,4449,127,4576,8282,139,8421,9855,1086,10941,1640,1890,3530,98214,44147,142361,Melbourne - Inner South
209,1025,1012,2037,1357,993,2350,761,2791,3552,1419,6424,7843,8534,4226,12760,8000,3586,11586,8236,3032,11268,9336,3239,12575,9114,2455,11569,15967,2558,18525,13740,578,14318,10044,1457,11501,6967,163,7130,3192,69,3261,4383,57,4440,10800,867,11667,2356,1645,4001,115231,35152,150383,Melbourne - North East
210,784,624,1408,1219,647,1866,660,1893,2553,1244,4873,6117,7248,2843,10091,6801,2388,9189,6458,2047,8505,6999,2050,9049,6692,1537,8229,11363,1560,12923,9003,335,9338,6309,799,7108,3996,86,4082,1863,37,1900,2309,32,2341,8090,460,8550,1980,1175,3155,83018,23386,106404,Melbourne - North West
211,794,856,1650,1156,898,2054,658,2684,3342,1363,7655,9018,7957,5707,13664,8746,4508,13254,9550,3884,13434,10595,3706,14301,10683,2524,13207,18848,2897,21745,15754,569,16323,12079,1365,13444,7984,172,8156,3703,63,3766,4956,57,5013,12717,735,13452,2352,1807,4159,129895,40087,169982,Melbourne - Outer East
212,1849,1716,3565,2093,1341,3434,1296,3563,4859,2189,9261,11450,13302,6191,19493,13373,5472,18845,13657,4533,18190,15295,4261,19556,14853,2823,17676,24594,3000,27594,19297,728,20025,12754,1576,14330,8055,232,8287,3628,94,3722,4982,108,5090,16102,1208,17310,3661,2290,5951,170980,48397,219377,Melbourne - South East
213,1606,1432,3038,2001,1286,3287,1489,3839,5328,2413,8120,10533,12218,4987,17205,11783,5099,16882,11501,4672,16173,13392,4803,18195,12970,3422,16392,22579,3604,26183,18893,914,19807,12739,1974,14713,8169,272,8441,3697,112,3809,4857,114,4971,14492,1255,15747,3556,2284,5840,158355,48189,206544,Melbourne - West
214,493,691,1184,700,671,1371,456,2232,2688,999,6201,7200,6146,4575,10721,6180,3542,9722,6406,2642,9048,6235,2474,8709,6144,1532,7676,10014,1605,11619,7715,277,7992,5349,826,6175,3340,73,3413,1367,29,1396,1784,27,1811,7121,502,7623,1601,1608,3209,72050,29507,101557,Mornington Peninsula
215,380,388,768,599,570,1169,370,1855,2225,764,4707,5471,4678,3054,7732,4287,2209,6496,4222,1364,5586,3787,1100,4887,3561,623,4184,4701,609,5310,3217,127,3344,1437,327,1764,973,30,1003,300,7,307,456,17,473,3832,213,4045,1092,1335,2427,38656,18535,57191,North West
216,317,277,594,459,371,830,292,1294,1586,568,3318,3886,3815,2178,5993,3457,1651,5108,3439,1157,4596,3054,936,3990,2992,508,3500,4223,509,4732,2930,131,3061,1409,227,1636,919,25,944,326,6,332,446,9,455,3084,204,3288,914,892,1806,32644,13693,46337,Shepparton
217,271,268,539,399,425,824,196,1308,1504,524,3372,3896,3246,2419,5665,3201,1666,4867,3188,1240,4428,3027,1006,4033,3058,630,3688,4307,603,4910,2962,121,3083,1553,314,1867,1071,24,1095,333,6,339,552,14,566,3003,234,3237,742,837,1579,31633,14487,46120,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,324,366,690,454,378,832,254,1235,1489,554,3846,4400,3804,2503,6307,3873,1795,5668,3890,1393,5283,4069,1420,5489,4370,1040,5410,8141,1153,9294,7426,309,7735,5896,620,6516,4010,94,4104,1794,38,1832,2440,49,2489,5462,390,5852,963,813,1776,57724,17442,75166,Brisbane - East
302,270,392,662,364,403,767,223,1274,1497,489,3925,4414,2916,2988,5904,3280,2191,5471,3444,1957,5401,3730,1969,5699,3826,1592,5418,7003,2031,9034,6770,493,7263,5284,1092,6376,3786,200,3986,1698,68,1766,2254,93,2347,4409,635,5044,845,986,1831,50591,22289,72880,Brisbane - North
303,797,1015,1812,766,713,1479,458,1892,2350,847,4646,5493,4327,3578,7905,4927,2972,7899,5245,2675,7920,5653,2849,8502,5845,2279,8124,10442,3010,13452,10107,929,11036,8321,1715,10036,6445,358,6803,2947,154,3101,4497,208,4705,6977,1458,8435,1056,1116,2172,79657,31567,111224,Brisbane - South
304,349,549,898,304,396,700,148,726,874,291,1788,2079,1672,1767,3439,1996,1336,3332,2327,1243,3570,2477,1356,3833,2698,1166,3864,4968,1620,6588,5128,428,5556,6010,1134,7144,4751,152,4903,2305,86,2391,3951,106,4057,4284,689,4973,425,396,821,44084,14938,59022,Brisbane - West
305,483,989,1472,354,742,1096,201,1817,2018,363,3291,3654,1640,3312,4952,2000,2974,4974,2177,2794,4971,2554,3578,6132,2752,3079,5831,5347,4637,9984,5655,1459,7114,7073,4664,11737,5853,714,6567,3008,436,3444,6198,580,6778,4722,2236,6958,553,1026,1579,50933,38328,89261,Brisbane Inner City
306,533,609,1142,676,616,1292,470,2123,2593,948,4479,5427,4973,3471,8444,4818,3188,8006,4929,2435,7364,4912,2005,6917,5126,1334,6460,7781,1461,9242,5923,330,6253,3485,709,4194,2320,94,2414,823,40,863,1080,42,1122,7014,743,7757,1460,1334,2794,57271,25013,82284,Cairns
307,411,286,697,513,327,840,235,1055,1290,502,2802,3304,3536,1864,5400,3114,1447,4561,3057,998,4055,2882,853,3735,2851,527,3378,4076,542,4618,2737,108,2845,1528,329,1857,962,33,995,337,14,351,542,29,571,3515,218,3733,911,760,1671,31709,12192,43901,Darling Downs - Maranoa
308,442,390,832,494,445,939,308,1314,1622,666,3651,4317,3966,2236,6202,3396,1769,5165,3249,1396,4645,3367,1349,4716,3602,1119,4721,6840,1447,8287,5637,298,5935,5875,1303,7178,3930,160,4090,1624,64,1688,2300,138,2438,6565,545,7110,1318,1094,2412,53579,18718,72297,Fitzroy
309,1410,1608,3018,1459,1299,2758,877,3775,4652,1680,8675,10355,10476,7511,17987,10946,6266,17212,11342,5087,16429,11427,4497,15924,11857,3104,14961,18313,3647,21960,14651,1069,15720,9904,2137,12041,6692,279,6971,2681,128,2809,4002,127,4129,12451,2040,14491,2517,2499,5016,132685,53748,186433,Gold Coast
310,449,456,905,774,511,1285,520,1602,2122,1022,4699,5721,6008,2964,8972,6196,2529,8725,5865,2202,8067,6650,2074,8724,6356,1459,7815,10758,1417,12175,8568,361,8929,5022,544,5566,3125,85,3210,1222,30,1252,1422,29,1451,6843,543,7386,1419,1096,2515,72219,22601,94820,Ipswich
311,522,420,942,657,438,1095,520,1482,2002,1043,3737,4780,5808,2725,8533,6106,2524,8630,5748,2031,7779,6920,1960,8880,6949,1263,8212,11443,1214,12657,9159,356,9515,5315,476,5791,3185,78,3263,1388,25,1413,1580,24,1604,7335,526,7861,1706,1077,2783,75384,20356,95740,Logan - Beaudesert
312,326,313,639,369,273,642,192,850,1042,374,2238,2612,2459,1523,3982,2094,1321,3415,2346,1106,3452,2467,1075,3542,2747,812,3559,5169,1163,6332,4525,261,4786,4952,1234,6186,3469,145,3614,1505,65,1570,2067,159,2226,6058,510,6568,1070,826,1896,42189,13874,56063,Mackay
313,359,381,740,583,485,1068,407,1696,2103,868,4774,5642,6043,3586,9629,5718,2300,8018,5308,1716,7024,5196,1498,6694,5064,946,6010,7739,955,8694,5770,171,5941,3532,458,3990,2178,32,2210,830,15,845,985,16,1001,5365,385,5750,1311,1193,2504,57256,20607,77863,Moreton Bay - North
314,215,187,402,309,161,470,172,584,756,376,1586,1962,2314,1324,3638,2624,1219,3843,2780,979,3759,3446,1047,4493,3764,832,4596,7124,870,7994,6693,198,6891,5050,461,5511,3412,72,3484,1437,26,1463,1774,25,1799,4220,244,4464,596,397,993,46306,10212,56518,Moreton Bay - South
315,194,196,390,236,191,427,158,615,773,300,1245,1545,1319,736,2055,1377,803,2180,1274,560,1834,1367,625,1992,1248,449,1697,2099,655,2754,1723,109,1832,1392,486,1878,1117,72,1189,475,20,495,757,68,825,2304,159,2463,616,443,1059,17956,7432,25388,Queensland - Outback
316,718,679,1397,1063,778,1841,534,2519,3053,1195,6804,7999,8352,5590,13942,8313,3782,12095,8558,2586,11144,7730,2169,9899,7635,1542,9177,10944,1591,12535,7831,403,8234,5090,909,5999,3298,97,3395,1182,45,1227,1746,55,1801,9017,944,9961,1523,1491,3014,84729,31984,116713,Sunshine Coast
317,219,269,488,298,322,620,212,1006,1218,447,3097,3544,3133,2394,5527,3285,1858,5143,3140,1316,4456,3279,1208,4487,3244,776,4020,5202,849,6051,3915,189,4104,2323,348,2671,1638,42,1680,609,18,627,776,19,795,3680,343,4023,677,733,1410,36077,14787,50864,Toowoomba
318,345,452,797,477,463,940,336,1489,1825,659,3528,4187,3678,2487,6165,3783,2232,6015,3852,1928,5780,4319,2040,6359,4441,1417,5858,7760,1550,9310,6878,428,7306,4478,852,5330,3207,142,3349,1336,51,1387,1599,60,1659,7245,824,8069,1205,999,2204,55598,20942,76540,Townsville
319,680,619,1299,1138,836,1974,712,3034,3746,1570,8136,9706,11594,4900,16494,9625,3249,12874,8251,2089,10340,6711,1612,8323,6014,980,6994,7862,916,8778,5145,164,5309,2829,475,3304,1748,33,1781,547,17,564,750,22,772,7627,524,8151,2077,1841,3918,74880,29447,104327,Wide Bay
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,721,1303,2024,781,1095,1876,333,2622,2955,663,6019,6682,4394,4903,9297,4730,3780,8510,5117,3145,8262,5034,3158,8192,5048,2516,7564,8824,2956,11780,7902,512,8414,7158,2143,9301,5681,183,5864,2634,97,2731,4484,77,4561,7015,983,7998,905,1275,2180,71424,36767,108191,Adelaide - Central and Hills
402,621,761,1382,1163,1098,2261,801,3895,4696,1768,9151,10919,10919,5288,16207,10234,4861,15095,9570,4009,13579,10084,3597,13681,9392,2137,11529,15368,2080,17448,11601,469,12070,6155,736,6891,3737,84,3821,1421,39,1460,1546,25,1571,9216,712,9928,1846,1855,3701,105442,40797,146239,Adelaide - North
403,505,721,1226,809,1055,1864,479,3347,3826,1171,8339,9510,7621,6122,13743,8012,4513,12525,7853,3861,11714,7899,3389,11288,7933,2243,10176,13060,2380,15440,10963,454,11417,7077,1177,8254,4899,123,5022,1999,45,2044,2537,43,2580,8620,825,9445,1201,1611,2812,92638,40248,132886,Adelaide - South
404,430,709,1139,694,846,1540,472,2918,3390,900,7249,8149,5562,4138,9700,5194,3468,8662,4832,2697,7529,4845,2619,7464,4523,1759,6282,7304,1900,9204,6403,440,6843,3752,844,4596,2757,107,2864,1168,54,1222,1346,58,1404,4965,761,5726,966,1431,2397,56113,31998,88111,Adelaide - West
405,233,232,465,440,385,825,213,1367,1580,498,3745,4243,4017,1950,5967,3282,1458,4740,3087,949,4036,2576,843,3419,2582,529,3111,3590,441,4031,2554,61,2615,1322,249,1571,886,16,902,245,3,248,408,6,414,2904,138,3042,525,646,1171,29362,13018,42380,Barossa - Yorke - Mid North
406,171,187,358,263,316,579,214,1124,1338,420,2282,2702,2308,1247,3555,1898,1068,2966,1765,734,2499,1593,797,2390,1655,590,2245,2673,630,3303,1994,91,2085,1448,385,1833,973,36,1009,374,19,393,446,24,470,2282,170,2452,560,603,1163,21037,10303,31340,South Australia - Outback
407,433,432,865,768,693,1461,415,2207,2622,860,5608,6468,6204,3579,9783,5756,2650,8406,5448,1756,7204,4788,1331,6119,4549,799,5348,5985,690,6675,3834,108,3942,1886,337,2223,1090,19,1109,343,6,349,580,14,594,4375,260,4635,1023,1068,2091,48337,21557,69894,South Australia - South East
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
