sla_code_2006_,sla_name_2006_,ier_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
255050831,Baw Baw (S) - Pt A,974,504,4,37,VIC,66,4,33,885,1056,4147,0
245158109,Falls Creek Alpine Resort,987,624,5,45,VIC,90,5,44,987,987,255,84
210052754,Geelong West,944,257,2,19,VIC,21,2,11,788,1074,13664,0
225053191,Horsham (RC) - Central,948,286,3,21,VIC,30,2,15,756,1075,13478,0
225053194,Horsham (RC) Bal,1027,963,7,69,VIC,152,8,75,925,1111,5016,0
210052755,Newtown,1017,891,7,64,VIC,137,7,67,923,1135,9580,0
210052756,South Barwon - Inner,1009,835,6,60,VIC,123,7,61,890,1172,48216,1
210102757,Greater Geelong (C) - Pt B,1013,859,7,62,VIC,127,7,62,898,1184,33529,0
215106261,S. Grampians (S) - Hamilton,953,331,3,24,VIC,37,2,19,841,1092,9114,0
215106264,S. Grampians (S) - Wannon,969,455,4,33,VIC,55,3,27,890,1064,2318,0
215106265,S. Grampians (S) Bal,1037,1023,8,74,VIC,163,8,80,896,1122,5205,0
350103840,Iama (IC),588,20,1,2,QLD,6,1,2,588,588,312,0
350103930,Injinoo (S),609,29,1,3,QLD,11,1,3,609,609,417,0
225055811,N. Grampians (S) - St Arnaud,948,288,3,21,VIC,31,2,16,866,1056,3414,0
225055814,N. Grampians (S) - Stawell,954,333,3,24,VIC,38,2,19,866,1089,8497,0
210151751,Colac-Otway (S) - Colac,946,269,2,20,VIC,25,2,13,816,1160,10858,0
210151754,Colac-Otway (S) - North,1019,911,7,66,VIC,142,7,70,880,1077,6063,0
210151755,Colac-Otway (S) - South,991,657,5,48,VIC,100,5,49,927,1043,3374,0
210152491,Golden Plains (S) - North-West,1014,874,7,63,VIC,130,7,64,913,1091,7442,0
210152492,Golden Plains (S) - South-East,1048,1092,8,79,VIC,172,9,84,936,1195,9013,0
210152758,Greater Geelong (C) - Pt C,1060,1150,9,83,VIC,181,9,89,1037,1090,2956,19
215016730,Warrnambool (C),973,494,4,36,VIC,63,4,31,761,1128,30392,0
215051831,Corangamite (S) - North,970,467,4,34,VIC,59,3,29,850,1082,9205,0
215051832,Corangamite (S) - South,1038,1030,8,74,VIC,164,9,81,914,1137,7412,0
215055491,Moyne (S) - North-East,1003,787,6,57,VIC,116,6,57,917,1078,2405,0
215055493,Moyne (S) - North-West,1035,1014,8,73,VIC,161,8,79,964,1067,2785,0
215055496,Moyne (S) - South,1019,907,7,65,VIC,139,7,68,934,1116,10262,0
255053818,Latrobe (C) Bal,1055,1123,9,81,VIC,178,9,87,978,1082,2563,0
255100834,Baw Baw (S) - Pt B East,1005,803,6,58,VIC,117,6,58,911,1059,3836,0
255100835,Baw Baw (S) - Pt B West,1000,757,6,55,VIC,109,6,54,820,1137,29196,0
255107458,Yarra Ranges (S) - Pt B,978,544,4,39,VIC,71,4,35,946,1007,591,0
255200741,Bass Coast (S) - Phillip Is.,983,584,5,42,VIC,78,4,39,814,1100,8136,0
255200744,Bass Coast (S) Bal,961,389,3,28,VIC,47,3,23,846,1086,18408,0
255206171,South Gippsland (S) - Central,1007,817,6,59,VIC,121,6,60,900,1105,12317,0
255206174,South Gippsland (S) - East,989,640,5,46,VIC,94,5,46,886,1078,5636,0
255206175,South Gippsland (S) - West,999,742,6,54,VIC,108,6,53,865,1120,7784,0
255208529,French Island,1034,1008,8,73,VIC,159,8,78,1034,1034,92,0
215102411,Glenelg (S) - Heywood,1007,816,6,59,VIC,120,6,59,875,1079,6057,0
215102412,Glenelg (S) - North,955,344,3,25,VIC,41,3,21,890,1064,3330,0
215102413,Glenelg (S) - Portland,944,253,2,19,VIC,19,1,10,794,1050,10372,0
225056890,West Wimmera (S),991,661,5,48,VIC,101,5,50,861,1080,4475,0
255053811,Latrobe (C) - Moe,895,124,1,9,VIC,3,1,2,739,1077,17981,0
255053814,Latrobe (C) - Morwell,903,134,1,10,VIC,6,1,3,621,1134,21562,0
220050571,Ballarat (C) - Central,931,197,2,15,VIC,10,1,5,807,1105,32885,0
220050572,Ballarat (C) - Inner North,989,644,5,47,VIC,96,5,47,661,1148,28890,0
220050573,Ballarat (C) - North,1033,1002,8,72,VIC,158,8,78,987,1103,984,0
220050574,Ballarat (C) - South,955,342,3,25,VIC,40,2,20,681,1074,22436,1
220102911,Hepburn (S) - East,965,420,4,31,VIC,53,3,26,838,1050,7225,0
220102912,Hepburn (S) - West,963,400,3,29,VIC,49,3,24,888,1039,6508,0
220105151,Moorabool (S) - Bacchus Marsh,1014,871,7,63,VIC,129,7,63,850,1145,15972,0
220105154,Moorabool (S) - Ballan,1001,767,6,55,VIC,111,6,55,927,1059,5986,0
220105155,Moorabool (S) - West,1009,830,6,60,VIC,122,6,60,969,1061,3517,0
220150260,Ararat (RC),960,376,3,27,VIC,45,3,22,836,1108,11255,6
220155991,Pyrenees (S) - North,946,272,2,20,VIC,27,2,14,869,1010,3294,0
220155994,Pyrenees (S) - South,953,326,3,24,VIC,36,2,18,896,1045,3263,0
710404650,Wallace Rockhole (CGC),626,39,1,3,NT ,21,3,24,626,626,88,0
255053815,Latrobe (C) - Traralgon,977,532,4,39,VIC,68,4,34,749,1134,27223,0
230156611,Swan Hill (RC) - Central,947,278,2,20,VIC,28,2,14,799,1027,9684,0
230156614,Swan Hill (RC) - Robinvale,946,270,2,20,VIC,26,2,13,851,1043,3964,0
230156616,Swan Hill (RC) Bal,985,592,5,43,VIC,82,5,41,828,1067,6986,0
305011067,Bowen Hills,956,346,3,25,QLD,103,3,22,835,1002,1586,0
350104150,Johnstone (S),961,387,3,28,QLD,121,3,26,863,1055,18253,4
350104420,Kowanyama (S),600,25,1,2,QLD,9,1,2,600,600,1020,0
309054905,Maroochy (S) - Coastal North,1014,870,7,63,QLD,271,6,57,895,1160,23089,0
610052410,Glamorgan/Spring Bay (M),961,382,3,28,TAS,18,5,41,916,1015,4190,0
610053010,Huon Valley (M),965,421,4,31,TAS,23,6,53,843,1027,14001,0
235052621,Gr. Bendigo (C) - Central,900,131,1,10,VIC,5,1,3,667,998,17781,0
305011143,City - Inner,1016,886,7,64,QLD,274,6,58,796,1073,2718,0
320055550,Murilla (S),976,522,4,38,QLD,163,4,35,897,1129,2687,0
320056050,Pittsworth (S),1011,845,7,61,QLD,261,6,55,968,1106,4785,0
320056454,Rosalie (S) - Pt B,986,613,5,44,QLD,183,4,39,917,1087,4495,0
610053612,Kingborough (M) - Pt B,996,710,6,51,TAS,35,8,80,913,1057,2619,0
235052622,Gr. Bendigo (C) - Eaglehawk,888,110,1,8,VIC,1,1,1,719,1019,8629,0
235052623,Gr. Bendigo (C) - Inner East,965,422,4,31,VIC,54,3,27,866,1081,23350,0
235052624,Gr. Bendigo (C) - Inner North,994,692,5,50,VIC,102,5,50,902,1063,9691,0
235052625,Gr. Bendigo (C) - Inner West,980,565,5,41,VIC,74,4,37,812,1097,15950,0
235052626,Gr. Bendigo (C) - S'saye,1080,1238,9,89,VIC,191,10,94,986,1142,6539,0
235101671,C. Goldfields (S) - M'borough,896,125,1,9,VIC,4,1,2,757,975,7366,0
235101674,C. Goldfields (S) Bal,934,210,2,16,VIC,13,1,7,838,984,4960,0
235102628,Gr. Bendigo (C) - Pt B,995,700,6,51,VIC,103,6,51,881,1059,11312,0
235103943,Loddon (S) - North,982,577,5,42,VIC,76,4,38,884,1141,3191,0
235103945,Loddon (S) - South,939,232,2,17,VIC,18,1,9,839,1031,4647,0
309055752,Noosa (S) - Noosa-Noosaville,1041,1048,8,76,QLD,330,7,70,778,1178,9104,2
420056671,Renmark Paringa (DC) - Paringa,994,695,5,50,SA ,76,7,62,982,1018,1792,0
420056674,Renmark Paringa (DC) - Renmark,947,275,2,20,SA ,35,3,29,831,1051,7658,4
245158309,Mount Hotham Alpine Resort,988,637,5,46,VIC,93,5,46,988,988,117,54
250052111,E. Gippsland (S) - Bairnsdale,951,299,3,22,VIC,32,2,16,747,1060,25366,0
250052113,E. Gippsland (S) - Orbost,937,223,2,16,VIC,16,1,8,835,1065,8299,0
250052115,E. Gippsland (S) - South-West,1027,959,7,69,VIC,150,8,74,947,1060,3804,0
250052117,E. Gippsland (S) Bal,964,410,3,30,VIC,51,3,25,900,1062,2567,0
250156811,Wellington (S) - Alberton,971,477,4,35,VIC,60,3,30,861,1053,5474,0
250156812,Wellington (S) - Avon,1011,846,7,61,VIC,125,7,61,908,1079,3892,2
250156813,Wellington (S) - Maffra,974,502,4,36,VIC,65,4,32,873,1066,10068,0
250156814,Wellington (S) - Rosedale,995,703,6,51,VIC,105,6,52,848,1077,7310,17
250156815,Wellington (S) - Sale,948,284,3,21,VIC,29,2,15,806,1094,13336,0
305011146,City - Remainder,993,681,5,49,QLD,202,5,43,896,1077,4474,0
305011187,Dutton Park,929,188,2,14,QLD,61,2,13,766,1041,1365,0
309104918,Maroochy (S) Bal,1044,1063,8,77,QLD,340,8,72,875,1126,24763,0
305011274,Herston,1027,961,7,69,QLD,300,7,63,1004,1084,1795,4
305011277,Highgate Hill,974,507,4,37,QLD,158,4,34,839,1051,5428,0
305011315,Kelvin Grove,1000,761,6,55,QLD,231,5,49,877,1088,4385,0
305011304,Kangaroo Point,1004,791,6,57,QLD,240,6,51,878,1108,6867,0
705102808,Gray,864,95,1,7,NT ,37,5,41,741,988,3294,0
305011378,Milton,996,716,6,52,QLD,214,5,45,900,1070,1731,0
305011427,Newstead,1090,1268,10,91,QLD,420,9,89,991,1140,4819,0
710405000,Yuendumu (CGC),628,40,1,3,NT ,22,3,25,628,628,693,1
305011421,New Farm,999,749,6,54,QLD,228,5,48,848,1188,10943,0
305031345,Lutwyche,971,479,4,35,QLD,151,4,32,924,1086,2674,0
305071435,Northgate,988,638,5,46,QLD,189,4,40,842,1125,3840,0
305011454,Paddington,1070,1201,9,87,QLD,392,9,83,1003,1142,7623,0
305011631,Woolloongabba,938,226,2,17,QLD,73,2,16,762,1029,3916,1
305011481,Red Hill,1050,1102,8,79,QLD,351,8,74,952,1124,5267,0
305031004,Albion,1004,790,6,57,QLD,239,6,51,940,1071,2421,0
305011525,South Brisbane,972,486,4,35,QLD,153,4,33,856,1094,4283,2
305011528,Spring Hill,974,503,4,37,QLD,156,4,33,915,1113,5238,0
305011607,West End,947,280,3,21,QLD,87,2,19,777,1041,6207,0
305071556,Taigum-Fitzgibbon,999,747,6,54,QLD,227,5,48,908,1093,7649,0
305031007,Alderley,1041,1052,8,76,QLD,333,7,70,824,1158,5070,12
305031536,Stafford Heights,1007,819,6,59,QLD,251,6,53,877,1105,6789,0
305031026,Ascot,1066,1184,9,85,QLD,387,9,82,917,1212,4845,0
305031031,Ashgrove,1075,1225,9,88,QLD,402,9,85,888,1137,11903,0
305031255,Hamilton,1070,1204,9,87,QLD,394,9,83,983,1203,4369,0
305031048,Bardon,1106,1307,10,94,QLD,434,10,91,1066,1170,9111,0
305031533,Stafford,950,296,3,22,QLD,91,2,20,776,1059,5513,0
305031151,Clayfield,1029,975,7,70,QLD,306,7,65,945,1151,9533,0
305031271,Hendra,1087,1259,10,91,QLD,416,9,88,1032,1129,4116,0
305031293,Indooroopilly,1061,1151,9,83,QLD,372,8,78,910,1173,10733,0
305031132,Chelmer,1123,1345,10,97,QLD,451,10,95,1074,1201,2560,0
305031244,Grange,1068,1194,9,86,QLD,389,9,82,1029,1096,4043,0
305031162,Corinda,1023,932,7,67,QLD,288,7,61,883,1118,4454,0
305031206,Enoggera,961,386,3,28,QLD,120,3,26,872,1048,6338,6
305031241,Graceville,1092,1273,10,92,QLD,422,9,89,1066,1174,4096,0
305031312,Kedron,1000,755,6,55,QLD,230,5,49,866,1116,11726,0
305111402,Mount Gravatt,976,521,4,38,QLD,162,4,34,837,1074,3090,0
305031634,Wooloowin,1040,1045,8,75,QLD,328,7,69,924,1149,5486,0
305031424,Newmarket,1024,934,7,67,QLD,289,7,61,902,1139,4215,0
305111416,Nathan,1013,863,7,62,QLD,268,6,57,1012,1017,1383,39
305111154,Coopers Plains,960,371,3,27,QLD,111,3,24,769,1015,4093,0
305031446,Nundah,945,264,2,19,QLD,83,2,18,861,1117,8284,0
305031506,St Lucia,1019,905,7,65,QLD,281,6,59,881,1175,10613,17
305031522,Sherwood,1072,1210,9,87,QLD,398,9,84,889,1162,4765,0
305031558,Taringa,1021,920,7,66,QLD,286,6,60,918,1117,7490,0
305111492,Robertson,1043,1059,8,76,QLD,336,8,71,931,1135,4751,0
305031623,Windsor,1011,842,7,61,QLD,260,6,55,907,1121,6164,0
345057001,Aitkenvale,968,452,4,33,QLD,143,3,30,889,1030,4839,0
305071072,Bracken Ridge,1050,1099,8,79,QLD,350,8,74,887,1143,14619,0
305091097,Camp Hill,1061,1152,9,83,QLD,373,8,79,994,1125,9823,0
305071585,Upper Kedron,1139,1363,10,98,QLD,462,10,97,1130,1186,2709,0
320012551,Crow's Nest (S) - Pt A,1115,1330,10,96,QLD,444,10,94,1011,1151,8720,1
305031574,Toowong,1029,978,8,71,QLD,308,7,65,883,1137,14959,0
305031618,Wilston,1079,1235,9,89,QLD,407,9,86,981,1159,3654,0
325055800,Paroo (S),912,147,2,11,QLD,53,2,12,815,1142,1927,0
325056150,Quilpie (S),968,442,4,32,QLD,141,3,30,916,1084,984,0
305071018,Anstead,1162,1380,10,99,QLD,471,10,99,1136,1168,1102,0
805403819,Harrison,1165,1383,10,100,ACT,99,10,96,1094,1173,304,0
340105050,Mirani (S),1005,799,6,58,QLD,243,6,51,923,1046,5408,0
340105700,Nebo (S),1032,994,8,72,QLD,313,7,66,1016,1080,2523,15
305071034,Aspley,1060,1146,9,83,QLD,370,8,78,773,1198,11840,3
305071045,Banyo,995,696,5,50,QLD,206,5,44,954,1046,4867,0
305071037,Bald Hills,1051,1105,8,80,QLD,353,8,75,1005,1205,7076,0
305071053,Bellbowrie,1134,1357,10,98,QLD,458,10,97,1080,1204,5208,0
305071078,Brighton,993,688,5,50,QLD,205,5,43,929,1048,8599,0
305071084,Brookfield (incl. Brisbane Forest Park),1173,1386,10,100,QLD,473,10,100,1002,1227,4467,0
305071064,Boondall,1025,950,7,69,QLD,292,7,62,992,1081,8544,0
805208469,Waramanga,1027,968,7,70,ACT,31,3,30,889,1092,2535,0
305071121,Carseldine,1081,1242,9,89,QLD,412,9,87,1021,1161,6670,0
305111405,Mount Gravatt East,1000,751,6,54,QLD,229,5,49,779,1159,10245,0
305071135,Chermside,892,117,1,9,QLD,44,1,10,823,960,6347,0
805250609,Bonython,1059,1143,9,82,ACT,48,5,47,928,1123,3361,0
305071075,Bridgeman Downs,1158,1377,10,99,QLD,469,10,99,1057,1210,6884,0
535105250,Meekatharra (S),862,93,1,7,WA ,9,1,6,812,1122,1135,8
305071127,Chapel Hill,1156,1376,10,99,QLD,468,10,99,1052,1207,9983,0
345057051,Pimlico,915,154,2,12,QLD,54,2,12,894,1047,2287,0
305071138,Chermside West,1056,1131,9,82,QLD,363,8,77,1009,1173,5955,0
305071203,Ellen Grove,1062,1159,9,84,QLD,375,8,79,1015,1104,5233,0
305111642,Wynnum West,999,739,6,53,QLD,224,5,47,773,1126,10755,3
615054011,Launceston (C) - Inner,939,228,2,17,TAS,13,3,30,929,943,255,0
615054012,Launceston (C) - Pt B,923,171,2,13,TAS,8,2,19,636,1103,59193,0
615054211,Meander Valley (M) - Pt A,1013,860,7,62,TAS,41,10,94,897,1138,8231,0
305071167,Darra-Sumner,952,310,3,23,QLD,97,3,21,931,1110,4051,0
305071173,Deagon,957,353,3,26,QLD,106,3,23,902,993,3109,0
615054611,Northern Midlands (M) - Pt A,968,443,4,32,TAS,25,6,57,888,1107,7579,0
615055811,West Tamar (M) - Pt A,1002,776,6,56,TAS,40,10,91,830,1138,18916,0
305071176,Doolandella-Forest Lake,1048,1087,8,78,QLD,349,8,74,993,1167,17508,0
615104212,Meander Valley (M) - Pt B,964,412,3,30,TAS,22,6,51,861,1052,10121,0
305071184,Durack,954,336,3,25,QLD,102,3,22,900,1023,6119,0
510031190,Bunbury (C),992,670,5,48,WA ,65,5,42,760,1160,29700,0
615104612,Northern Midlands (M) - Pt B,963,406,3,30,TAS,20,5,46,877,1051,4514,0
615105812,West Tamar (M) - Pt B,1018,898,7,65,TAS,43,10,98,1004,1049,1897,0
615150210,Break O'Day (M),924,175,2,13,TAS,10,3,23,804,1011,6068,0
615151810,Dorset (M),949,290,3,21,TAS,15,4,35,763,1030,6999,0
615152010,Flinders (M),940,237,2,17,TAS,14,4,32,899,986,861,0
620050611,Burnie (C) - Pt A,904,136,1,10,TAS,3,1,7,618,1076,16996,0
305071211,Everton Park,1024,936,7,68,QLD,290,7,61,921,1122,7715,0
305071217,Ferny Grove,1086,1255,9,90,QLD,415,9,88,936,1163,5488,0
305071222,Fig Tree Pocket,1189,1392,10,100,QLD,475,10,100,1138,1219,3259,0
305071236,Geebung,1026,952,7,69,QLD,293,7,62,966,1055,4104,0
305071301,Jindalee,1095,1281,10,92,QLD,425,9,90,1053,1155,4990,0
305071306,Karana Downs-Lake Manchester,1115,1327,10,96,QLD,443,10,93,1062,1182,5712,0
305071318,Kenmore,1116,1334,10,96,QLD,445,10,94,1052,1197,8205,0
520056510,Narrogin (S),1085,1252,9,90,WA ,146,10,94,1078,1089,832,0
305071288,Inala,810,75,1,6,QLD,33,1,7,682,918,13169,0
305071296,Jamboree Heights,1043,1061,8,77,QLD,338,8,71,1018,1067,3279,0
305150552,Beaudesert (S) - Pt A,1103,1300,10,94,QLD,431,10,91,982,1205,41136,0
305202002,Bribie Island,963,397,3,29,QLD,126,3,27,834,1185,15914,0
435209529,Unincorp. Flinders Ranges,945,263,2,19,SA ,33,3,27,690,1024,1099,0
305071323,Kenmore Hills,1129,1350,10,97,QLD,455,10,96,1044,1182,2517,0
305071375,Middle Park,1103,1299,10,94,QLD,430,10,91,1082,1129,4053,0
520102100,Corrigin (S),982,576,5,42,WA ,57,4,37,931,1085,1145,0
305071326,Keperra,959,363,3,27,QLD,109,3,23,775,1090,7026,0
305071353,McDowall,1135,1358,10,98,QLD,459,10,97,1036,1185,6904,0
520104620,Kondinin (S),1006,805,6,58,WA ,85,6,55,890,1097,967,0
520104760,Kulin (S),1026,951,7,69,WA ,109,7,70,926,1099,882,0
305071383,Mitchelton,1026,956,7,69,QLD,297,7,63,928,1091,7033,11
305071408,Mount Ommaney,1154,1375,10,99,QLD,467,10,98,1124,1192,2199,0
305071386,Moggill,1129,1352,10,97,QLD,456,10,96,1098,1173,2147,0
525108190,Tammin (S),966,425,4,31,WA ,37,3,24,884,1067,390,0
305071442,Nudgee,1040,1042,8,75,QLD,327,7,69,1003,1069,2467,0
505154174,Joondalup (C) - South,1101,1295,10,93,WA ,150,10,97,947,1243,99998,0
505157914,Stirling (C) - Central,975,516,4,37,WA ,47,4,31,745,1203,98737,0
505157915,Stirling (C) - Coastal,1053,1115,8,80,WA ,133,9,86,825,1226,62434,1
305071451,Oxley,1020,915,7,66,QLD,284,6,60,956,1065,6377,1
305071465,Pinjarra Hills,1182,1389,10,100,QLD,474,10,100,1182,1182,410,0
305071467,Pinkenba-Eagle Farm,964,408,3,30,QLD,129,3,28,961,978,341,0
305071473,Pullenvale,1200,1394,10,100,QLD,476,10,100,1119,1257,3153,0
305071653,Zillmere,907,142,2,11,QLD,51,2,11,663,991,7467,6
705051074,Moil,1009,834,6,60,NT ,69,8,76,906,1095,2092,0
305071484,Richlands,961,385,3,28,QLD,119,3,25,946,992,829,0
305071487,Riverhills,1052,1108,8,80,QLD,354,8,75,987,1109,3956,0
520053010,Dumbleyung (S),1019,908,7,66,WA ,100,7,65,925,1097,631,0
305071517,Seventeen Mile Rocks,1114,1326,10,95,QLD,442,10,93,937,1251,8646,0
305071567,The Gap,1109,1314,10,95,QLD,435,10,92,1020,1196,15663,0
305071514,Sandgate,967,440,4,32,QLD,139,3,30,843,1031,6504,17
305091102,Cannon Hill,1053,1112,8,80,QLD,355,8,75,824,1186,5351,0
305071593,Virginia,1001,764,6,55,QLD,233,5,49,871,1043,1841,0
345057054,Railway Estate,970,464,4,34,QLD,148,4,32,956,997,2811,0
305071604,Wavell Heights,1038,1034,8,75,QLD,324,7,68,954,1092,8761,0
305111265,Hemmant-Lytton,1017,893,7,64,QLD,275,6,58,931,1078,2698,0
305071612,Westlake,1172,1385,10,100,QLD,472,10,99,1140,1186,4680,0
350102900,Eacham (S),990,649,5,47,QLD,192,5,41,848,1041,6359,0
305071596,Wacol,831,83,1,6,QLD,37,1,8,751,1049,4452,38
345152700,Dalrymple (S),1012,851,7,61,QLD,264,6,56,813,1138,3504,0
305091015,Annerley,962,392,3,29,QLD,124,3,26,828,1063,9568,0
305091108,Carindale,1144,1369,10,99,QLD,463,10,98,1013,1228,13278,0
307053471,Edens Landing-Holmview,1005,797,6,58,QLD,242,6,51,928,1076,5731,0
307053473,Jacobs Well-Alberton,1041,1047,8,76,QLD,329,7,69,991,1076,2937,0
350107110,Umagico (S),579,16,1,2,QLD,5,1,2,579,579,229,0
305091113,Carina,1016,881,7,64,QLD,273,6,58,938,1104,9199,0
305091116,Carina Heights,986,608,5,44,QLD,180,4,38,833,1114,5763,0
305091157,Coorparoo,1019,903,7,65,QLD,280,6,59,922,1134,13799,0
355054800,McKinlay (S),1046,1080,8,78,QLD,346,8,73,939,1175,896,0
305091195,East Brisbane,1001,765,6,55,QLD,234,5,50,816,1106,5229,0
305111023,Archerfield,949,291,3,21,QLD,89,2,19,948,950,580,0
355055250,Mornington (S),623,36,1,3,QLD,14,1,3,621,683,1031,0
305091214,Fairfield,1001,769,6,56,QLD,235,5,50,907,1041,2581,0
305091247,Greenslopes,974,510,4,37,QLD,159,4,34,894,1116,8088,0
305091258,Hawthorne,1079,1237,9,89,QLD,409,9,86,1016,1142,4308,0
305091282,Holland Park,995,707,6,51,QLD,210,5,45,803,1114,7485,0
305091285,Holland Park West,1037,1021,8,74,QLD,319,7,67,883,1097,5520,0
305091391,Moorooka,985,590,5,43,QLD,177,4,38,856,1081,9194,0
305111356,MacGregor,1044,1062,8,77,QLD,339,8,72,1001,1084,5314,0
305091397,Morningside,1006,808,6,58,QLD,247,6,52,884,1109,8663,0
305091432,Norman Park,1058,1133,9,82,QLD,365,8,77,1005,1106,6753,0
305091563,Tarragindi,1064,1173,9,85,QLD,382,9,81,994,1135,9439,0
305091645,Yeerongpilly,999,737,6,53,QLD,223,5,47,885,1076,2416,0
305091648,Yeronga,1042,1056,8,76,QLD,335,8,71,905,1138,5355,0
305111001,Acacia Ridge,895,123,1,9,QLD,46,1,10,721,1002,6859,0
305111012,Algester,1030,982,8,71,QLD,309,7,65,925,1072,8166,0
305111057,Belmont-Mackenzie,1118,1339,10,96,QLD,449,10,95,1022,1189,4708,0
305111364,Manly,1014,866,7,63,QLD,270,6,57,928,1085,3815,0
305111123,Chandler-Capalaba West,1144,1370,10,99,QLD,464,10,98,1113,1159,1402,0
305111091,Burbank,1128,1349,10,97,QLD,454,10,96,1057,1162,1156,0
305111094,Calamvale,1087,1262,10,91,QLD,417,9,88,985,1145,10178,0
305111367,Manly West,1038,1027,8,74,QLD,321,7,68,949,1165,10012,0
305111198,Eight Mile Plains,1064,1167,9,84,QLD,378,8,80,789,1148,12019,0
305111372,Mansfield,1059,1140,9,82,QLD,368,8,78,906,1199,10205,0
305111394,Moreton Island,1055,1126,9,81,QLD,359,8,76,991,1080,250,0
305111251,Gumdale-Ransome,1133,1355,10,98,QLD,457,10,96,1114,1142,1530,0
305111331,Kuraby,1095,1282,10,92,QLD,426,9,90,956,1176,6742,0
305111337,Lota,1027,967,7,70,QLD,302,7,64,996,1047,2981,0
305111495,Rochedale,1055,1127,9,81,QLD,360,8,76,1016,1082,1170,0
305111498,Rocklea,960,375,3,27,QLD,113,3,24,936,978,1499,0
305111413,Murarrie,958,357,3,26,QLD,107,3,23,833,1003,2221,0
305111456,Pallara-Heathwood-Larapinta,1080,1240,9,89,QLD,410,9,86,1054,1227,1524,0
305111463,Parkinson-Drewvale,1135,1359,10,98,QLD,460,10,97,1014,1215,11862,0
305111541,Stretton-Karawatha,1146,1371,10,99,QLD,465,10,98,909,1187,3809,0
305111503,Runcorn,1009,833,6,60,QLD,257,6,54,926,1108,12475,0
305111511,Salisbury,986,612,5,44,QLD,182,4,39,948,1019,5523,0
305111547,Sunnybank,1001,763,6,55,QLD,232,5,49,869,1059,7847,0
305111552,Sunnybank Hills,1043,1060,8,76,QLD,337,8,71,880,1154,16108,0
710203030,Pine Creek (CGC),868,99,1,8,NT ,39,5,43,868,868,346,26
805105589,Macgregor,1070,1200,9,86,ACT,59,6,57,992,1140,3485,0
305111626,Wishart,1061,1155,9,83,QLD,374,8,79,946,1140,10270,0
305111571,Tingalpa,1036,1019,8,73,QLD,318,7,67,972,1164,8888,0
305111588,Upper Mount Gravatt,999,734,6,53,QLD,222,5,47,920,1085,7914,0
305111601,Wakerley,1161,1379,10,99,QLD,470,10,99,1040,1216,3906,0
305111615,Willawong,1047,1084,8,78,QLD,348,8,73,1047,1047,227,0
345057033,Mt Louisa-Mt St John-Bohle,1054,1118,9,81,QLD,357,8,75,866,1151,5532,0
305111637,Wynnum,993,685,5,50,QLD,204,5,43,834,1151,11719,0
312100555,Beaudesert (S) - Pt C,985,603,5,44,QLD,179,4,38,879,1113,11269,3
705102811,Gunn-Palmerston City,1095,1284,10,92,NT ,89,10,98,1067,1115,2380,0
305202005,Burpengary-Narangba,1075,1226,9,88,QLD,403,9,85,963,1219,22609,0
305304645,Tanah Merah,975,517,4,38,QLD,160,4,34,975,975,963,0
305202008,Caboolture (S) - Central,939,230,2,17,QLD,74,2,16,719,1117,18269,0
305202013,Caboolture (S) - East,1030,984,8,71,QLD,310,7,65,922,1145,15534,0
305202014,Caboolture (S) - Hinterland,1020,914,7,66,QLD,283,6,60,950,1120,6010,15
305202015,Caboolture (S) - Midwest,1093,1279,10,92,QLD,424,9,89,990,1144,13956,0
305202016,Deception Bay,950,295,3,22,QLD,90,2,19,769,1112,20365,0
305202018,Morayfield,976,523,4,38,QLD,164,4,35,788,1118,19816,0
305253962,Ipswich (C) - Central,961,378,3,28,QLD,115,3,25,741,1170,69952,0
305253965,Ipswich (C) - East,992,671,5,49,QLD,198,5,42,720,1222,50390,0
305253966,Ipswich (C) - North,1110,1317,10,95,QLD,437,10,92,1038,1196,7872,0
305253974,Ipswich (C) - South-West,1008,822,6,59,QLD,254,6,54,933,1064,4254,0
305253976,Ipswich (C) - West,1014,864,7,62,QLD,269,6,57,913,1088,7715,6
705102814,Moulden,865,97,1,7,NT ,38,5,42,765,918,3363,0
340106550,Sarina (S),1013,861,7,62,QLD,267,6,56,864,1095,10720,0
710204020,Thamarrurr (CGC),586,19,1,2,NT ,14,2,16,505,601,1930,0
305304601,Browns Plains,1026,953,7,69,QLD,294,7,62,860,1168,28263,0
305304642,Springwood,1065,1175,9,85,QLD,383,9,81,980,1122,6008,0
305304603,Carbrook-Cornubia,1117,1337,10,96,QLD,448,10,94,1017,1183,3579,0
307053481,Ormeau-Yatala,1112,1321,10,95,QLD,439,10,93,938,1206,10740,0
305304605,Daisy Hill-Priestdale,1072,1212,9,87,QLD,399,9,84,915,1202,4187,0
305304623,Marsden,953,321,3,23,QLD,99,3,21,813,1021,19302,0
345153800,Hinchinbrook (S),961,388,3,28,QLD,122,3,26,830,1074,11557,0
305405973,Lawnton,961,379,3,28,QLD,116,3,25,792,1135,5643,0
305304608,Greenbank-Boronia Heights,999,733,6,53,QLD,221,5,47,937,1126,8180,0
