lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Wyalkatchem (S),59330,228,209,439,79,38,119,19,43,63,9,3,6,9,12,19,116,90,211,80,88,173,7.8,13.3,9.0,50.9,43.1,48.1,46.9,40.2,42.8,0,0,0,0,4,4,8,20,27,6,15,21,51,23,71,0,3,7,5,4,10,56,25,80,198,182,385,21,27,49,149,119,270,70,79,153
Yilgarn (S),59360,651,396,1046,326,98,427,44,84,128,37,12,50,28,19,43,434,211,646,105,124,237,6.5,9.0,6.7,66.7,53.3,61.8,62.5,49.0,57.8,3,4,5,0,9,9,18,39,52,20,27,42,139,35,176,3,10,14,11,9,16,156,51,205,495,340,831,110,63,174,358,235,595,213,142,355
York (S),59370,1500,1491,2988,523,277,801,168,340,506,55,35,86,41,40,88,790,694,1485,534,638,1169,5.2,5.8,5.9,52.7,46.5,49.7,49.7,43.7,46.6,18,20,34,3,26,34,91,177,272,100,155,255,368,144,520,8,31,38,26,41,70,404,218,627,1391,1364,2754,204,205,408,984,936,1914,530,573,1100
No usual address (WA),59499,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20.0,42.8,35.7,39.8,33.7,29.0,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
Migratory - Offshore - Shipping (WA),59799,408,26,434,286,17,301,20,3,23,15,0,18,0,0,0,322,17,341,11,6,20,0.0,0.0,0.0,78.9,65.4,78.6,78.7,76.9,78.8,9,0,9,0,0,0,31,3,31,52,4,55,130,4,134,3,0,5,13,0,13,139,4,145,259,11,272,73,12,84,143,9,147,187,18,206
Break O'Day (M),60210,2662,2580,5247,580,307,890,312,584,899,68,78,141,130,102,237,1095,1075,2172,1347,1299,2651,11.9,9.5,10.9,41.1,41.7,41.4,36.1,37.6,36.8,31,46,72,19,38,53,155,251,406,124,204,333,716,299,1013,20,59,88,41,71,118,781,435,1217,2408,2342,4750,362,381,747,1781,1702,3484,894,936,1836
Brighton (M),60410,6027,6595,12624,2547,1379,3929,618,1689,2306,185,211,398,345,232,574,3698,3515,7207,1934,2640,4578,9.3,6.6,8.0,61.4,53.3,57.1,55.6,49.7,52.5,29,58,81,29,62,91,204,337,540,268,423,693,1585,905,2490,82,186,265,85,209,293,1752,1297,3049,6328,6536,12865,925,1057,1980,4507,4527,9038,2237,2631,4869
Burnie (C),60610,7377,8069,15446,2804,1526,4327,861,2006,2870,220,249,464,440,304,746,4326,4081,8410,2606,3518,6121,10.2,7.4,8.9,58.6,50.6,54.4,52.7,46.9,49.6,112,108,223,49,116,165,418,692,1104,402,638,1038,2010,1051,3063,121,217,334,115,217,332,2243,1485,3730,7132,7675,14800,1108,1290,2394,5087,5308,10396,2819,3264,6092
Barkly (R),70420,2495,2419,4911,751,609,1362,183,210,390,69,76,139,329,301,628,1333,1188,2521,859,983,1844,24.7,25.3,24.9,53.4,49.1,51.3,40.2,37.0,38.5,35,38,73,20,38,60,100,182,288,88,104,190,377,182,560,34,54,95,27,28,54,441,265,704,2527,2507,5026,466,446,914,1847,1859,3707,867,839,1700
Belyuen (S),70540,77,59,131,5,3,7,0,3,3,0,0,0,14,7,17,16,16,31,57,39,99,87.5,43.8,54.8,20.8,27.1,23.7,6.5,10.2,7.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,9,0,3,3,10,5,16,82,74,153,3,0,3,79,56,135,3,6,18
Central Desert (R),70620,1234,1366,2593,299,205,501,96,125,215,41,35,76,278,261,538,706,625,1337,406,620,1030,39.4,41.8,40.2,57.2,45.8,51.6,35.3,26.7,30.5,5,14,14,7,8,13,37,67,99,27,31,57,114,57,179,22,28,53,47,26,67,184,111,299,1469,1592,3056,175,162,333,1216,1354,2572,292,264,548
Coomalie (S),70700,576,505,1073,181,123,304,45,67,116,16,21,35,33,15,50,280,232,505,160,172,337,11.8,6.5,9.9,48.6,45.9,47.1,42.0,41.8,42.4,11,10,18,4,8,8,22,48,72,23,38,58,119,53,165,8,14,30,9,19,25,135,81,217,419,376,795,104,117,222,313,235,549,190,217,404
MacDonnell (R),72330,2501,2287,4797,342,339,680,147,207,355,55,53,111,205,150,353,750,749,1499,1306,1072,2375,27.3,20.0,23.5,30.0,32.8,31.2,21.8,26.2,23.9,20,23,45,11,20,29,52,103,154,35,57,93,163,113,274,45,65,111,34,32,70,243,211,454,1860,2085,3946,264,272,537,1501,1727,3231,444,483,930
