lga_code_2016,ia_ds_separate_house,ia_ds_semd_ro_tr_h_th,ia_ds_flat_or_apart,ia_ds_other_dwelling,ia_ds_not_stated,ia_total,i_na_ds_separate_house,i_na_ds_semd_ro_tr_h_th,i_na_ds_flat_or_apart,i_na_ds_other_dwelling,i_na_ds_not_stated,i_na_total,ic_ns_ds_separate_house,ic_ns_ds_semd_ro_tr_h_th,ic_ns_ds_flat_or_apart,ic_ns_ds_other_dwelling,ic_ns_ds_not_stated,ic_not_stated_total,total_ds_separate_house,total_ds_semd_ro_tr_h_th,total_ds_flat_or_apart,total_ds_other_dwelling,total_ds_not_stated,total_total,lga_name_2016
11250,4781,89,70,13,13,4969,1754,70,98,3,5,1931,255,6,18,0,8,286,6792,164,184,18,23,7184,Broken Hill (C)
13910,4634,163,129,30,28,4983,1513,130,150,26,15,1830,203,23,20,0,10,254,6350,318,307,54,54,7075,Hilltops (A)
14000,32147,3502,6845,105,106,42706,1836,502,1084,24,21,3456,510,93,210,11,34,851,34488,4099,8129,132,159,47010,Hornsby (A)
14100,2590,685,752,8,17,4049,173,33,228,0,3,440,45,13,25,0,4,86,2810,724,1005,8,24,4573,Hunters Hill (A)
14170,14598,20536,23404,872,317,59727,2256,1593,3166,106,41,7164,398,458,778,51,223,1911,17252,22580,27340,1030,590,68796,Inner West (A)
14200,3866,92,162,37,60,4209,1364,73,167,18,46,1662,190,7,25,6,3,243,5422,170,356,61,103,6113,Inverell (A)
14300,1366,20,6,4,10,1403,376,20,25,0,4,428,82,0,4,0,0,89,1822,43,40,4,9,1922,Junee (A)
14350,6936,205,228,64,90,7522,2307,202,182,42,24,2758,298,24,24,6,20,370,9539,430,429,119,136,10651,Kempsey (A)
14400,5434,762,407,39,57,6695,528,110,221,14,0,868,105,15,30,7,6,154,6065,885,655,54,65,7719,Kiama (A)
14500,26736,1340,7651,19,61,35812,1188,173,716,4,5,2082,351,36,181,0,11,580,28271,1556,8538,21,84,38476,Ku-ring-gai (A)
14550,2393,15,34,44,17,2504,861,3,31,18,4,921,96,0,4,0,0,105,3351,18,63,62,26,3525,Kyogle (A)
14600,1313,4,32,7,43,1403,650,3,24,8,23,712,74,0,5,3,3,90,2037,13,65,20,70,2206,Lachlan (A)
14650,52588,4704,1699,317,104,59422,8559,2142,964,275,23,11963,1242,257,123,45,31,1694,62390,7106,2788,630,162,73075,Lake Macquarie (C)
14700,5376,662,6308,16,56,12409,273,68,535,0,5,884,71,15,146,4,4,235,5717,749,6986,19,59,13534,Lane Cove (A)
14750,2534,104,132,18,26,2812,735,80,72,20,7,916,114,8,12,0,4,143,3380,197,214,35,37,3868,Leeton (A)
14850,11014,994,475,243,63,12787,2054,486,227,129,15,2914,339,58,54,25,9,495,13407,1541,754,399,91,16195,Lismore (C)
14870,5004,275,64,262,44,5646,1548,233,58,81,20,1944,211,34,8,14,3,266,6766,538,134,353,72,7862,Lithgow (C)
14900,37870,4780,5482,85,214,48418,5221,1137,1959,32,44,8397,1308,246,337,8,72,1972,44395,6159,7775,125,325,58786,Liverpool (C)
14920,1954,8,38,19,5,2024,762,6,40,7,0,814,62,0,5,0,3,73,2772,16,88,24,7,2916,Liverpool Plains (A)
14950,821,0,6,9,3,844,239,4,14,4,0,259,30,0,0,0,0,30,1085,3,21,14,9,1129,Lockhart (A)
15050,20221,1675,346,67,156,22467,3140,695,229,31,121,4219,485,65,27,8,104,685,23848,2435,607,108,381,27374,Maitland (C)
15240,22751,2072,1392,424,174,26822,5854,1211,879,254,55,8254,806,150,117,54,29,1162,29413,3437,2392,738,254,36233,Mid-Coast (A)
15270,6132,167,116,57,41,6516,1646,145,89,47,24,1950,225,27,10,23,9,298,8005,337,219,129,78,8768,Mid-Western Regional (A)
15300,2579,166,207,46,15,3008,992,72,192,30,10,1287,190,9,39,10,0,244,3758,244,441,85,20,4545,Moree Plains (A)
15350,3717,1255,4991,46,29,10036,134,57,580,3,3,773,49,26,136,0,0,215,3901,1337,5699,53,33,11022,Mosman (A)
15520,2947,106,133,76,19,3270,841,60,100,33,5,1047,107,11,13,11,5,149,3897,177,243,116,30,4470,Murray River (A)
15560,929,3,25,14,3,968,299,0,37,9,0,348,35,0,3,0,0,40,1260,0,60,23,6,1361,Murrumbidgee (A)
15650,3986,347,28,20,31,4412,938,204,16,5,6,1165,137,25,16,3,7,187,5060,576,58,21,48,5764,Muswellbrook (A)
15700,4938,164,245,199,26,5570,1378,115,200,152,9,1851,205,10,24,21,4,263,6519,283,472,369,38,7684,Nambucca (A)
15750,2982,78,107,43,21,3234,1003,69,120,22,7,1218,137,9,18,3,4,172,4122,157,248,69,30,4625,Narrabri (A)
15800,1405,26,34,4,10,1486,547,8,25,8,0,587,66,0,3,0,0,72,2015,38,69,16,15,2148,Narrandera (A)
15850,1528,14,38,0,9,1591,556,19,55,4,7,639,80,0,3,6,3,93,2162,30,90,10,22,2318,Narromine (A)
15900,35745,7061,5360,155,193,48509,5963,1900,1977,44,40,9925,922,257,308,16,38,1542,42634,9215,7644,213,271,59974,Newcastle (C)
15950,3113,3966,20298,58,65,27506,139,179,1655,6,10,1987,52,70,426,9,17,573,3301,4224,22382,70,92,30068,North Sydney (A)
15990,46840,6540,24359,352,271,78362,2990,1087,3375,52,47,7558,886,263,761,45,59,2014,50714,7895,28497,455,385,87940,Northern Beaches (A)
16100,1274,3,17,7,50,1353,411,6,23,0,21,460,58,0,8,0,0,62,1745,11,41,11,66,1875,Oberon (A)
16150,10092,889,303,15,54,11355,2187,452,221,9,21,2897,341,58,23,9,58,485,12629,1405,547,34,125,14735,Orange (C)
16200,3462,80,138,24,36,3743,1138,58,138,13,12,1363,163,3,16,3,0,186,4764,146,290,41,50,5294,Parkes (A)
16260,30753,10106,25167,210,216,66452,3182,1145,3051,19,26,7434,710,301,860,11,50,1937,34645,11562,29082,240,297,75819,Parramatta (C)
11300,3886,1693,4372,46,63,10054,696,232,574,10,10,1521,130,53,177,4,18,384,4711,1978,5123,50,84,11957,Burwood (A)
11350,8074,691,526,267,106,9661,927,108,161,102,41,1327,261,25,43,24,26,384,9266,819,727,389,171,11368,Byron (A)
11400,3467,7,26,27,20,3549,926,17,46,21,5,1005,118,4,4,0,0,129,4510,30,75,44,26,4686,Cabonne (A)
11450,20158,1022,115,47,54,21394,1777,334,66,24,11,2218,372,71,14,3,9,472,22310,1432,195,71,68,24084,Camden (A)
11500,33497,6007,1592,60,71,41220,4846,1967,524,21,32,7383,968,300,88,3,13,1376,39315,8272,2202,82,109,49981,Campbelltown (C) (NSW)
11520,10538,2630,14543,264,120,28104,1613,281,1365,37,19,3306,237,69,368,13,19,692,12384,2978,16273,306,159,32102,Canada Bay (A)
11570,49692,14135,21297,492,278,85893,10003,2608,5533,98,60,18291,1855,564,1057,29,72,3582,61550,17305,27889,617,406,107772,Canterbury-Bankstown (A)
11600,667,0,21,6,5,698,220,0,11,16,3,250,31,0,0,4,0,40,917,0,29,26,9,986,Carrathool (A)
11650,79953,10326,6375,664,297,97614,12845,4060,2460,419,123,19899,2278,636,418,61,131,3532,95068,15026,9260,1150,545,121048,Central Coast (C) (NSW)
11700,308,13,3,3,5,329,215,3,4,7,3,235,23,3,4,3,0,40,548,19,16,15,13,605,Central Darling (A)
11720,13572,885,136,35,84,14708,3398,507,143,20,17,4085,449,92,14,3,15,578,17418,1482,293,57,116,19368,Cessnock (C)
11730,12854,639,530,338,110,14468,3495,406,370,226,24,4516,470,45,53,34,14,614,16821,1093,947,600,145,19605,Clarence Valley (A)
11750,1058,17,54,21,3,1154,364,5,42,10,0,420,60,0,8,0,0,73,1481,22,105,33,0,1640,Cobar (A)
11800,17109,2368,1860,361,182,21878,2528,806,744,225,48,4346,454,144,126,43,50,814,20092,3315,2729,631,280,27042,Coffs Harbour (C)
12000,1073,0,10,0,16,1097,321,0,14,3,0,349,40,0,5,0,0,46,1440,5,29,4,17,1491,Coolamon (A)
12150,785,5,24,10,8,829,430,9,26,3,3,468,58,0,8,3,7,72,1271,14,58,15,9,1370,Coonamble (A)
12350,3153,83,103,21,31,3390,1037,75,115,8,18,1254,142,12,10,3,3,176,4334,171,225,29,53,4823,Cowra (A)
12380,29578,8407,13863,281,198,52320,5312,1617,2686,59,54,9725,1209,404,725,28,90,2458,36102,10426,17270,368,342,64503,Cumberland (A)
12700,2445,8,18,32,18,2516,627,17,18,12,3,665,66,0,3,3,3,74,3133,23,39,43,22,3257,Dungog (A)
12730,2244,28,112,16,25,2433,676,24,102,14,12,832,93,3,13,3,0,111,3012,57,232,35,39,3376,Edward River (A)
12750,9959,785,576,171,79,11563,2146,362,334,130,11,2982,348,55,53,20,7,481,12447,1201,964,319,103,15032,Eurobodalla (A)
12850,33424,5598,5156,287,145,44612,6456,1510,2370,139,68,10541,1327,283,335,33,58,2037,41207,7390,7856,460,271,57190,Fairfield (C)
12870,3205,113,144,40,17,3513,935,67,114,44,4,1158,132,10,17,3,3,168,4270,187,277,86,26,4843,Federation (A)
12900,2279,61,62,37,11,2444,787,51,65,20,6,925,105,4,16,6,0,128,3171,115,139,61,15,3496,Forbes (A)
12930,22561,4614,14060,214,106,41561,3085,922,1842,46,15,5907,563,154,438,6,42,1203,26208,5690,16341,276,163,48676,Georges River (A)
12950,1002,0,17,3,10,1027,474,3,30,0,3,509,40,0,0,0,0,45,1519,4,43,3,16,1587,Gilgandra (A)
13010,2187,22,55,23,34,2324,884,13,61,13,17,981,101,0,10,0,7,118,3174,36,128,34,57,3427,Glen Innes Severn (A)
13310,7305,499,195,54,40,8101,1981,313,150,46,14,2507,265,45,12,14,4,339,9550,860,361,115,59,10945,Goulburn Mulwaree (A)
13340,2751,23,15,16,20,2820,714,25,23,12,3,765,97,8,4,0,3,112,3563,46,34,26,30,3699,Greater Hume Shire (A)
13450,5389,242,503,34,42,6208,1494,149,266,44,13,1969,211,18,64,7,3,312,7096,406,834,88,64,8487,Griffith (C)
13510,2868,69,37,35,23,3021,1035,76,53,18,9,1183,138,3,3,0,0,155,4043,150,89,52,26,4358,Gundagai (A)
13550,2962,77,117,23,19,3198,983,64,112,13,5,1186,120,10,12,0,3,143,4060,158,248,34,33,4527,Gunnedah (A)
13660,1232,10,6,17,7,1273,592,15,16,15,0,634,71,0,4,4,0,79,1892,19,26,38,7,1987,Gwydir (A)
13800,15879,1546,328,73,119,17949,2041,568,141,65,25,2843,383,76,18,18,25,520,18306,2191,491,154,172,21307,Hawkesbury (C)
13850,646,8,31,7,9,696,308,11,21,3,3,350,45,0,5,3,0,52,995,27,51,14,9,1097,Hay (A)
16350,44978,5723,2647,134,172,53656,5716,1442,1033,80,42,8314,1169,328,151,18,27,1699,51865,7490,3826,231,245,63667,Penrith (C)
16380,18723,2741,2114,371,125,24075,3377,1132,1037,293,34,5876,543,152,144,43,22,910,22644,4026,3293,706,188,30855,Port Macquarie-Hastings (A)
16400,16875,2576,607,280,74,20413,2930,840,246,180,22,4219,497,112,55,132,24,823,20298,3534,908,591,120,25452,Port Stephens (A)
16490,12716,2242,1826,61,57,16898,1614,481,486,25,8,2617,336,93,62,8,9,509,14664,2819,2374,94,77,20023,Queanbeyan-Palerang Regional (A)
16550,11604,7304,23656,395,125,43081,1427,793,3452,46,12,5730,283,206,1003,16,54,1567,13319,8305,28104,452,194,50374,Randwick (C)
16610,5214,283,311,112,20,5940,1732,183,286,88,10,2303,235,17,35,13,0,296,7179,479,637,217,30,8549,Richmond Valley (A)
16650,13063,4473,13374,237,102,31247,2515,828,2052,84,25,5501,477,159,533,14,20,1205,16052,5457,15957,334,150,37956,Rockdale (C)
16700,17222,5800,12805,92,147,36064,1909,782,1542,20,19,4269,399,161,335,3,41,935,19528,6739,14676,115,203,41267,Ryde (C)
16900,15937,2329,583,164,77,19087,2596,837,317,160,28,3943,413,134,33,26,9,613,18944,3305,931,351,112,23643,Shellharbour (C)
16950,26648,1617,609,539,180,29592,5785,851,284,404,69,7395,920,116,70,60,30,1205,33364,2585,963,1002,277,38187,Shoalhaven (C)
17000,5684,392,153,32,35,6298,963,148,108,31,15,1263,138,19,14,3,5,176,6790,558,269,63,53,7741,Singleton (A)
17040,5034,228,253,69,176,5757,1195,97,110,31,23,1462,175,21,48,10,41,302,6402,342,414,111,244,7518,Snowy Monaro Regional (A)
17080,3632,62,77,22,24,3815,1262,62,66,5,9,1401,133,10,14,4,4,167,5033,135,153,32,41,5388,Snowy Valleys (A)
17420,37058,5081,2278,50,98,44568,1757,403,299,14,11,2487,603,96,57,6,21,784,39414,5577,2636,72,134,47836,The Hills Shire (A)
17550,19181,4590,2806,680,207,27462,3184,1632,1169,461,47,6492,564,264,209,75,27,1131,22929,6489,4180,1211,282,35089,Tweed (A)
17620,3542,67,118,40,40,3807,1030,24,114,29,7,1200,129,3,12,3,3,152,4698,92,242,75,48,5161,Upper Hunter Shire (A)
17640,2027,26,0,30,17,2106,663,40,3,12,12,721,74,8,0,0,0,82,2763,73,3,46,26,2912,Upper Lachlan Shire (A)
17650,1677,5,13,20,9,1726,451,8,13,13,3,488,64,0,3,0,0,67,2191,15,34,28,11,2281,Uralla (A)
17750,15625,594,1421,145,55,17834,2903,283,681,39,8,3915,488,40,93,17,10,645,19013,917,2194,202,71,22397,Wagga Wagga (C)
17850,772,3,12,13,15,803,317,0,15,3,4,337,43,0,3,0,0,45,1124,3,24,13,20,1187,Walcha (A)
17900,1128,0,63,92,49,1331,657,0,50,75,32,822,106,0,5,20,7,135,1892,5,116,190,91,2286,Walgett (A)
17950,624,4,11,0,5,649,281,3,27,7,3,321,36,0,4,0,0,43,944,6,39,8,8,1007,Warren (A)
18020,2241,20,40,22,44,2357,959,23,36,15,14,1041,98,3,3,4,6,121,3299,50,78,45,55,3517,Warrumbungle Shire (A)
18050,3830,4354,13676,305,98,22262,230,313,1586,33,12,2176,92,108,504,7,15,726,4160,4774,15759,344,129,25166,Waverley (A)
18100,977,21,4,7,3,1020,335,31,3,3,0,370,54,4,0,0,0,61,1365,53,7,9,11,1449,Weddin (A)
18200,1624,19,51,39,19,1756,469,14,55,26,3,576,71,0,8,8,5,89,2163,38,115,74,23,2420,Wentworth (A)
18230,11661,652,675,239,65,13278,2752,379,472,82,12,3695,379,28,67,17,11,500,14789,1054,1208,339,87,17474,Western Plains Regional (A)
18250,11129,1937,10650,56,46,23815,743,112,950,8,5,1818,208,35,272,3,8,519,12077,2077,11873,72,58,26155,Willoughby (C)
18350,13835,769,203,68,95,14978,1946,258,98,49,13,2364,338,26,21,18,21,419,16121,1055,324,136,129,17759,Wingecarribee (A)
18400,12370,438,65,61,43,12980,1483,183,36,42,11,1757,321,30,0,8,4,367,14179,647,108,113,55,15094,Wollondilly (A)
18450,42616,6659,9250,332,261,59108,7596,2186,2734,148,80,12741,1159,305,471,34,132,2102,51367,9154,12454,511,468,73953,Wollongong (C)
18500,4220,4380,10328,129,94,19151,186,222,937,14,7,1359,95,103,378,8,8,589,4500,4703,11636,158,106,21105,Woollahra (A)
18710,4444,119,21,26,38,4648,630,90,3,14,11,749,107,12,0,3,0,119,5185,220,26,40,51,5519,Yass Valley (A)
19399,270,0,0,0,3,273,44,0,0,0,0,46,17,0,0,7,0,16,331,0,0,5,4,336,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No usual address (NSW)
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
20110,3508,92,67,30,53,3744,829,54,30,10,12,930,137,9,6,0,0,154,4476,155,100,32,71,4832,Alpine (S)
20260,2955,52,61,23,14,3106,913,61,46,19,8,1042,130,4,10,0,3,147,3995,121,113,43,25,4298,Ararat (RC)
20570,26109,3860,795,103,109,30971,4706,1332,332,34,33,6443,766,172,54,3,28,1032,31586,5362,1185,146,167,38449,Ballarat (C)
20660,30148,5673,2279,47,85,38233,3672,1097,390,5,25,5177,722,191,86,0,21,1022,34541,6962,2749,50,130,44431,Banyule (C)
20740,9520,426,125,85,55,10209,2162,255,58,78,3,2569,335,36,9,10,9,397,12019,714,192,176,69,13175,Bass Coast (S)
20830,13284,381,455,73,61,14252,2271,244,289,72,11,2880,394,26,33,11,12,474,15945,655,776,155,80,17605,Baw Baw (S)
20910,20087,7251,3495,177,130,31142,1576,910,671,8,12,3181,383,176,134,3,10,711,22051,8336,4296,193,154,35037,Bayside (C)
21010,3873,38,198,21,30,4160,1072,21,157,11,4,1259,133,5,24,3,0,171,5082,61,379,33,34,5594,Benalla (RC)
21110,30749,11009,12051,168,167,54151,2253,1063,1159,11,16,4503,567,197,412,5,13,1201,33568,12272,13622,181,204,59849,Boroondara (C)
21180,40260,6394,1838,86,74,48653,8468,1353,775,30,32,10654,1758,311,141,33,22,2260,50486,8056,2753,151,122,61562,Brimbank (C)
21270,1626,13,21,16,6,1688,625,15,28,10,0,677,76,6,10,0,3,95,2324,35,56,30,12,2455,Buloke (S)
21370,9599,430,206,63,36,10337,2463,302,217,54,7,3048,376,52,21,7,7,469,12443,786,446,124,52,13855,Campaspe (S)
21450,24908,1767,68,69,63,26881,2820,470,52,56,11,3405,600,96,18,7,8,726,28330,2330,137,128,80,31009,Cardinia (S)
21610,73264,6544,584,150,84,80628,7135,1485,318,98,15,9053,2061,280,57,19,26,2449,82465,8309,961,263,133,92127,Casey (C)
21670,3456,162,30,55,11,3711,1297,146,37,40,12,1529,174,18,11,6,0,208,4932,317,76,101,25,5445,Central Goldfields (S)
21750,5509,287,34,48,33,5908,1544,247,25,16,16,1847,208,31,3,11,3,254,7262,561,59,76,46,8005,Colac-Otway (S)
21830,4251,44,56,21,48,4421,1275,53,57,8,9,1401,172,9,20,0,7,207,5697,105,135,24,67,6022,Corangamite (S)
21890,25305,11776,6400,259,141,43886,5953,2040,1168,40,22,9227,941,397,247,12,25,1620,32209,14221,7808,307,189,54736,Darebin (C)
22110,12327,362,173,155,108,13128,3285,251,117,119,32,3813,483,36,14,18,72,627,16102,649,305,297,213,17564,East Gippsland (S)
22170,34321,6350,866,241,49,41823,4034,1885,397,172,5,6497,942,317,76,19,11,1364,39300,8550,1343,436,67,49687,Frankston (C)
22250,2875,3,32,20,8,2942,1039,4,70,14,0,1131,135,0,11,5,0,147,4048,10,111,42,13,4219,Gannawarra (S)
22830,15910,1321,82,138,33,17485,3395,712,66,135,10,4321,595,123,21,25,7,777,19902,2156,166,303,53,22583,Greater Shepparton (C)
22910,4287,48,23,266,65,4691,974,39,24,69,26,1133,150,30,3,13,15,214,5413,125,52,345,97,6029,Hepburn (S)
22980,1508,69,30,10,21,1635,527,32,43,0,4,607,60,6,5,0,3,68,2092,111,72,11,27,2320,Hindmarsh (S)
23110,17513,7221,1605,92,91,26528,3426,1116,539,36,10,5130,526,197,108,5,11,854,21470,8540,2264,128,107,32508,Hobsons Bay (C)
23190,5335,223,221,10,20,5810,1308,208,164,10,4,1694,178,19,19,0,0,221,6819,446,399,24,30,7721,Horsham (RC)
23270,44388,4537,1553,179,88,50735,5950,1003,474,130,22,7583,1434,219,89,28,41,1809,51768,5756,2113,330,148,60129,Hume (C)
23350,4516,49,122,42,34,4763,835,50,83,23,7,994,119,0,16,3,0,140,5472,98,218,59,40,5897,Indigo (S)
23430,28952,12134,6013,215,135,47453,3882,1916,1267,101,38,7206,701,343,289,12,32,1375,33536,14392,7565,333,212,56036,Kingston (C) (Vic.)
23670,40850,5134,907,188,76,47156,3743,1159,342,65,15,5327,856,217,76,14,15,1174,45452,6516,1322,269,104,53657,Knox (C)
23810,19921,933,814,74,51,21795,4225,680,553,34,12,5507,682,92,95,8,37,915,24827,1710,1458,112,105,28211,Latrobe (C) (Vic.)
23940,1935,4,14,32,36,2027,752,6,25,24,4,817,103,0,7,7,5,118,2792,11,50,67,47,2964,Loddon (S)
24130,12976,475,106,53,42,13657,1458,190,51,17,8,1723,299,26,3,7,14,346,14735,694,154,79,67,15728,Macedon Ranges (S)
24210,27128,5456,2203,36,57,34872,3144,708,382,4,11,4254,605,183,81,0,78,949,30872,6348,2668,35,150,40074,Manningham (C)
24250,2428,33,5,20,15,2501,528,21,12,9,9,577,118,0,4,4,3,128,3077,48,17,37,25,3207,Mansfield (S)
24330,13018,6291,5919,145,76,25446,2138,912,1054,25,28,4156,419,221,212,8,24,886,15576,7422,7182,174,131,30481,Maribyrnong (C)
24410,31486,2655,781,20,63,35005,3345,604,128,3,15,4097,695,116,27,0,23,857,35525,3373,942,29,100,39962,Maroondah (C)
24600,1457,6612,42564,91,325,51048,146,462,3612,17,21,4254,54,177,1375,49,45,1708,1657,7253,47554,156,394,57012,Melbourne (C)
24650,32063,3605,238,64,73,36043,3470,879,95,55,9,4511,971,156,15,5,3,1153,36502,4643,347,125,85,41704,Melton (C)
24780,12907,1019,545,112,78,14659,3191,608,514,102,21,4430,531,85,90,8,17,733,16631,1709,1146,224,106,19817,Mildura (RC)
24850,10727,313,180,52,43,11323,1714,126,160,27,8,2037,315,22,23,5,4,369,12761,454,364,87,51,13725,Mitchell (S)
24900,7453,175,200,64,67,7962,2084,137,261,34,33,2545,320,22,37,3,8,389,9853,329,496,105,108,10899,Moira (S)
24970,38606,8256,6735,38,161,53796,4998,1047,870,4,16,6937,989,303,161,3,32,1492,44601,9602,7768,41,206,62221,Monash (C)
17310,14713,1025,218,226,100,16287,3656,683,202,166,26,4730,550,117,30,25,15,739,18918,1830,441,417,139,21752,Tamworth Regional (A)
17350,1549,14,55,13,7,1645,546,25,56,6,0,636,66,0,3,0,0,69,2149,40,118,23,14,2344,Temora (A)
17400,1718,21,12,24,15,1797,728,24,19,14,6,794,89,3,0,4,3,97,2536,51,36,43,19,2682,Tenterfield (A)
22620,30503,2042,360,139,116,33165,5729,1004,160,79,47,7022,939,163,41,19,16,1178,37175,3211,561,241,179,41361,Greater Bendigo (C)
22670,28299,6123,3759,226,76,38497,5224,1569,1192,133,24,8137,1214,396,255,27,30,1928,34738,8098,5209,392,130,48563,Greater Dandenong (C)
22750,61454,6718,1665,380,211,70421,10975,2443,669,154,37,14278,1783,331,125,23,31,2299,74212,9490,2457,559,276,86995,Greater Geelong (C)
25060,20759,7758,7142,159,110,35928,3645,1059,1657,22,14,6393,586,213,371,3,23,1196,24992,9028,9160,188,151,43513,Moonee Valley (C)
25150,8556,520,57,52,24,9207,1369,182,66,13,6,1641,227,36,12,6,17,294,10156,735,131,77,52,11145,Moorabool (S)
25250,27106,13864,8732,233,175,50099,6424,1781,1179,31,38,9454,917,437,277,13,19,1661,34444,16083,10188,275,231,61218,Moreland (C)
25340,41636,4225,1910,253,113,48135,5797,1333,671,186,38,8015,1243,225,126,32,15,1637,48672,5776,2706,472,167,57791,Mornington Peninsula (S)
25430,5580,143,28,23,51,5832,1203,104,26,17,9,1350,164,16,3,0,3,189,6949,266,57,43,58,7374,Mount Alexander (S)
25490,4461,54,20,37,39,4608,1063,31,6,12,3,1118,161,3,3,0,3,167,5687,85,26,46,46,5897,Moyne (S)
25620,3874,62,21,71,40,4071,843,42,29,35,8,960,156,21,4,41,3,230,4870,134,54,152,48,5263,Murrindindi (S)
25710,17201,552,409,10,47,18221,1006,104,87,3,3,1213,289,20,14,0,7,324,18502,682,506,15,56,19759,Nillumbik (S)
25810,3193,31,78,27,36,3376,1023,44,73,24,9,1171,117,6,8,3,3,142,4333,87,163,56,52,4695,Northern Grampians (S)
25900,3550,9585,25762,437,136,39472,343,939,3139,31,14,4467,82,237,810,13,33,1172,3974,10764,29702,484,183,45110,Port Phillip (C)
25990,1901,0,4,11,14,1932,678,0,13,12,6,713,71,0,3,3,3,75,2653,0,21,27,18,2723,Pyrenees (S)
26080,887,64,19,13,10,986,134,11,12,0,0,164,28,4,0,0,0,29,1048,80,32,13,11,1181,Queenscliffe (B)
26170,8096,143,132,47,37,8449,1782,92,115,31,11,2034,282,11,7,6,3,314,10155,249,254,80,49,10796,South Gippsland (S)
26260,4528,99,53,28,51,4764,1252,61,46,3,14,1385,156,9,7,0,3,176,5936,177,106,38,71,6326,Southern Grampians (S)
26350,10791,8199,19464,223,125,38805,879,670,2288,18,13,3874,223,192,593,10,14,1044,11898,9065,22347,257,159,43724,Stonnington (C)
26430,2929,48,47,34,21,3079,805,64,43,33,0,945,129,12,8,3,4,151,3866,120,94,61,24,4174,Strathbogie (S)
26490,8282,487,86,25,37,8923,889,82,42,10,7,1025,186,15,3,5,0,213,9358,583,129,43,46,10163,Surf Coast (S)
26610,4615,156,219,60,73,5123,1459,105,164,46,17,1791,216,12,30,9,8,286,6294,276,412,113,103,7198,Swan Hill (RC)
26670,1691,10,3,11,9,1726,497,6,7,9,4,518,69,4,4,3,0,81,2259,24,12,24,15,2333,Towong (S)
26700,7594,595,41,39,31,8298,1842,412,37,28,3,2314,290,58,4,4,3,360,9726,1066,78,71,35,10980,Wangaratta (RC)
26730,8454,990,324,49,44,9866,1630,494,242,27,8,2402,235,55,76,0,8,375,10316,1537,645,79,60,12637,Warrnambool (C)
