lga_name_2016,lga_code_2016,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot
Willoughby (C),18250,3,20,0,0,0,20,10,3,34,837,420,49,1308,49,34,85,1395,991,11,2395
Wingecarribee (A),18350,0,12,0,0,0,13,14,3,35,518,475,50,1037,25,38,61,1104,691,13,1801
Wollondilly (A),18400,3,17,0,0,0,17,10,5,37,578,399,47,1021,42,45,84,1108,526,20,1654
Wollongong (C),18450,12,44,3,8,14,57,99,41,196,2470,1997,217,4682,246,236,482,5167,4015,91,9276
Woollahra (A),18500,4,6,0,0,0,6,14,8,27,601,336,29,975,25,30,57,1026,514,12,1555
Yass Valley (A),18710,3,9,0,0,0,9,0,0,11,181,119,23,320,3,11,18,336,139,3,474
Unincorporated NSW,19399,0,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,10,8,0,17
No usual address (NSW),19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine (S),20110,0,5,0,0,0,5,3,3,12,93,135,21,249,10,5,16,264,148,8,423
Ararat (RC),20260,0,4,0,0,0,3,5,4,13,112,91,16,219,11,10,23,244,180,5,432
Ballarat (C),20570,8,32,4,4,8,39,59,26,120,1190,1204,122,2510,143,206,344,2859,1907,51,4817
Banyule (C),20660,8,22,0,4,5,26,42,23,97,1571,1149,128,2855,81,112,189,3043,1851,40,4932
Bass Coast (S),20740,0,5,3,0,3,11,22,3,36,247,393,46,691,44,53,95,789,607,17,1411
Baw Baw (S),20830,0,12,0,0,0,12,21,3,33,496,486,72,1051,45,48,93,1153,772,16,1939
Bayside (C),20910,3,26,0,0,0,25,19,9,51,1065,770,80,1916,54,55,115,2036,1098,17,3151
Benalla (RC),21010,0,0,0,0,0,4,19,3,23,128,148,18,297,17,15,34,327,275,3,610
Boroondara (C),21110,11,23,7,4,5,32,29,20,80,1713,1174,122,3008,92,100,197,3201,1849,36,5083
Brimbank (C),21180,14,64,6,9,17,78,128,78,285,2325,1745,252,4318,410,419,831,5155,4866,149,10164
Buloke (S),21270,0,0,0,0,0,0,5,3,7,21,54,10,85,8,3,8,94,88,3,185
Campaspe (S),21370,0,4,0,3,4,7,24,9,44,359,363,32,752,42,45,92,846,591,26,1463
Cardinia (S),21450,5,37,0,4,3,35,31,19,88,1219,1082,113,2419,89,120,204,2623,1327,43,3998
Casey (C),21610,28,75,12,10,19,90,98,78,261,3778,2605,334,6710,349,338,694,7407,4633,134,12171
Central Goldfields (S),21670,0,3,0,0,0,3,17,9,27,92,134,15,235,18,30,48,287,377,11,673
Colac-Otway (S),21750,3,3,0,0,0,3,12,10,24,173,238,25,437,19,17,34,469,339,21,830
Corangamite (S),21830,3,3,0,0,0,3,15,9,26,135,142,15,299,13,13,26,325,234,13,574
Darebin (C),21890,12,34,3,3,5,41,64,35,141,1338,1180,102,2621,130,106,239,2859,2602,67,5521
East Gippsland (S),22110,3,14,0,3,4,15,17,19,54,358,476,62,891,41,43,82,971,717,33,1721
Frankston (C),22170,11,46,5,3,7,58,77,43,179,2208,1778,197,4184,191,215,409,4586,2602,84,7275
Gannawarra (S),22250,0,3,0,0,0,3,7,3,8,75,76,3,147,7,6,12,161,154,8,322
Greater Shepparton (C),22830,11,28,3,0,3,34,41,23,90,704,659,95,1454,65,93,163,1621,1146,37,2800
Hepburn (S),22910,0,0,3,0,3,3,5,9,19,110,161,22,296,10,24,36,329,256,10,591
Hindmarsh (S),22980,0,0,0,0,0,0,4,3,10,34,28,4,68,4,5,8,70,100,3,174
Hobsons Bay (C),23110,5,22,0,3,3,23,39,24,82,1209,751,79,2038,95,88,184,2222,1567,44,3836
Horsham (RC),23190,0,7,0,0,0,7,7,5,17,200,198,19,411,18,28,46,456,339,12,807
Hume (C),23270,17,56,3,3,4,63,98,63,223,2323,1700,234,4261,240,237,479,4739,4276,121,9140
Indigo (S),23350,0,3,0,0,0,3,3,3,13,174,171,19,361,11,9,24,384,173,6,564
Kingston (C) (Vic.),23430,7,28,0,0,0,33,39,28,105,2015,1492,143,3654,96,124,215,3867,2249,61,6179
Knox (C),23670,17,63,0,3,7,65,43,22,135,2140,1621,174,3931,114,141,256,4186,2148,44,6381
Latrobe (C) (Vic.),23810,7,13,3,3,8,20,61,27,108,785,855,96,1737,174,158,334,2072,1618,55,3744
Loddon (S),23940,0,0,0,0,0,0,11,0,13,30,49,4,84,10,0,6,93,142,3,238
Macedon Ranges (S),24130,3,13,0,0,0,13,12,9,31,449,447,43,934,38,22,57,992,473,16,1481
Manningham (C),24210,6,17,0,0,3,19,36,20,68,1201,915,80,2198,62,89,157,2350,1703,37,4092
Mansfield (S),24250,0,3,0,0,0,3,0,3,5,69,101,12,174,3,3,5,184,74,7,268
Maribyrnong (C),24330,4,22,0,3,3,21,25,13,61,789,590,74,1450,100,94,196,1641,1396,35,3072
Maroondah (C),24410,5,32,0,0,0,32,37,19,90,1627,1175,113,2914,74,100,177,3090,1535,46,4665
Melbourne (C),24600,0,13,0,3,4,21,25,16,65,687,420,50,1161,62,68,134,1293,1124,28,2453
Melton (C),24650,5,30,0,9,7,42,63,42,141,1731,1270,157,3165,199,219,420,3580,2486,68,6132
Mildura (RC),24780,6,11,3,0,8,18,47,25,88,598,533,52,1187,80,74,152,1339,1076,50,2461
Mitchell (S),24850,0,15,0,0,0,15,17,10,39,491,428,61,979,60,41,98,1077,710,24,1810
Moira (S),24900,4,7,0,0,0,6,13,7,31,243,293,37,576,42,27,69,644,493,23,1164
Monash (C),24970,4,33,0,0,3,36,42,26,103,1898,1309,150,3362,124,148,269,3629,2764,59,6452
Strathfield (A),17100,0,4,0,0,0,4,9,4,22,404,267,35,708,26,29,50,752,599,10,1359
Sutherland Shire (A),17150,9,67,4,0,6,71,39,18,135,3068,1997,191,5257,116,139,251,5510,2417,47,7968
Sydney (C),17200,7,16,0,0,0,16,35,24,75,1271,712,102,2086,90,89,179,2265,1770,40,4071
Tamworth Regional (A),17310,4,13,4,4,8,22,39,19,80,734,619,92,1443,97,99,198,1638,1243,33,2912
Temora (A),17350,0,3,0,0,0,3,6,3,7,39,64,4,108,3,6,11,120,112,3,238
Tenterfield (A),17400,0,0,0,0,0,0,0,0,0,52,50,6,110,13,14,27,138,134,4,280
Glen Eira (C),22310,4,32,0,0,3,35,33,14,79,1498,1082,101,2686,97,82,183,2867,1515,28,4409
Glenelg (S),22410,3,5,0,0,0,5,13,5,28,203,191,27,418,19,19,39,462,320,13,790
Golden Plains (S),22490,0,4,0,0,0,6,3,0,9,172,163,22,359,18,15,35,386,254,3,644
Greater Bendigo (C),22620,5,29,0,0,3,31,51,21,107,1267,1350,151,2769,135,157,292,3065,2103,48,5211
Greater Dandenong (C),22670,9,33,8,3,8,44,59,51,157,1609,1208,165,2985,225,213,439,3421,3659,103,7194
Greater Geelong (C),22750,13,58,5,7,10,69,109,65,250,2706,2665,288,5659,292,281,576,6238,4097,120,10451
Moonee Valley (C),25060,4,28,3,3,5,31,66,26,124,1278,889,119,2287,98,103,204,2489,1841,55,4384
Moorabool (S),25150,0,3,3,0,4,4,14,8,24,350,321,35,703,38,35,73,779,524,19,1321
Moreland (C),25250,6,24,0,6,7,30,62,30,121,1486,1119,122,2726,119,135,249,2977,2655,75,5707
Mornington Peninsula (S),25340,11,51,0,0,6,55,60,29,146,1712,1852,181,3741,133,159,293,4032,2267,79,6371
Mount Alexander (S),25430,0,0,0,0,0,6,6,0,11,167,224,12,407,17,26,40,444,312,11,762
Moyne (S),25490,0,3,0,0,0,7,3,0,11,110,149,10,271,10,15,25,301,190,4,496
Murrindindi (S),25620,0,0,0,0,0,0,11,3,19,112,94,14,215,18,17,34,247,161,10,414
Nillumbik (S),25710,3,12,0,0,0,12,15,8,34,751,577,57,1384,23,38,61,1447,489,13,1946
Northern Grampians (S),25810,0,3,0,0,0,3,7,0,9,83,102,19,202,9,0,9,213,195,4,406
Port Phillip (C),25900,0,10,0,0,0,13,24,15,52,889,602,60,1555,71,78,149,1707,936,23,2671
Pyrenees (S),25990,0,0,0,0,0,0,3,4,6,37,55,0,93,12,7,17,110,115,8,230
Queenscliffe (B),26080,0,0,0,0,0,0,3,0,5,15,31,0,48,0,6,6,53,23,0,75
South Gippsland (S),26170,5,6,0,0,0,12,10,0,26,205,281,37,528,38,30,61,587,394,12,999
Southern Grampians (S),26260,0,0,0,0,0,0,14,3,16,136,171,21,319,7,14,25,346,220,3,571
Stonnington (C),26350,8,13,0,0,0,13,20,9,48,876,592,53,1528,47,59,102,1626,1013,27,2666
Strathbogie (S),26430,0,3,0,3,6,3,7,5,14,94,93,10,192,12,9,22,215,165,8,390
Surf Coast (S),26490,0,13,0,0,0,15,6,3,25,263,286,23,572,18,20,40,614,219,5,842
Swan Hill (RC),26610,0,0,0,3,3,3,11,11,22,187,153,15,360,15,18,36,394,325,16,737
Towong (S),26670,0,0,0,0,0,0,0,0,3,46,52,4,98,6,3,8,106,50,3,161
Wangaratta (RC),26700,0,5,0,0,0,5,15,16,42,245,306,31,581,34,33,69,651,464,19,1138
Warrnambool (C),26730,4,10,0,0,3,15,11,15,41,346,440,48,839,29,34,62,902,522,28,1446
Wellington (S),26810,0,16,3,0,3,17,13,13,41,360,423,44,823,46,49,91,920,633,18,1574
West Wimmera (S),26890,0,0,0,0,0,0,0,0,0,23,30,0,53,0,3,5,60,41,0,103
Whitehorse (C),26980,12,21,0,0,0,20,40,20,88,1779,1366,123,3268,109,101,214,3477,2386,48,5910
Whittlesea (C),27070,10,69,3,5,11,76,87,44,205,2417,1862,223,4505,207,208,423,4922,3661,94,8675
Wodonga (C),27170,5,16,0,0,3,17,17,3,37,533,487,53,1070,66,54,118,1190,712,15,1916
Wyndham (C),27260,13,51,3,3,9,58,81,60,204,2716,1717,258,4689,305,272,583,5272,3281,126,8673
Yarra (C),27350,3,7,0,0,0,7,37,25,74,639,450,46,1136,73,89,153,1293,1283,29,2607
Yarra Ranges (S),27450,19,68,3,0,7,73,47,27,147,1959,1849,176,3975,102,125,223,4201,2016,58,6268
Yarriambiack (S),27630,0,0,0,0,0,0,9,5,17,33,59,8,103,7,0,4,106,134,3,247
Unincorporated Vic,29399,0,0,0,0,0,0,0,0,0,8,3,0,9,0,0,0,9,3,0,11
No usual address (Vic.),29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurukun (S),30250,0,0,0,0,0,0,0,0,0,3,5,0,13,13,3,14,28,78,0,105
Balonne (S),30300,0,3,0,0,0,3,3,0,3,49,32,4,86,5,4,11,97,57,0,159
Banana (S),30370,0,3,0,0,0,3,8,5,11,132,93,7,227,15,7,20,252,131,5,385
Barcaldine (R),30410,0,3,0,0,0,3,0,0,4,31,17,3,54,0,0,3,53,29,0,88
Barcoo (S),30450,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,3,0,6
Blackall-Tambo (R),30760,0,0,0,0,0,0,0,4,4,15,12,0,27,0,0,0,27,19,4,53
Longreach (R),34710,0,0,0,0,0,0,0,3,6,44,32,7,76,3,4,10,85,38,3,121
Mackay (R),34770,11,42,5,0,3,46,51,18,117,1334,965,117,2414,265,205,470,2882,1644,45,4573
McKinlay (S),34800,0,0,0,0,0,0,0,0,0,10,3,0,11,0,0,0,11,3,0,18
Mapoon (S),34830,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,19,0,20
Maranoa (R),34860,0,0,0,0,0,0,4,3,7,128,84,10,228,14,3,15,245,142,3,390
Mareeba (S),34880,0,8,0,0,0,8,5,10,22,212,172,22,403,34,29,57,463,418,14,893
Moreton Bay (R),35010,37,115,14,9,25,140,152,89,380,5950,4440,569,10968,741,671,1416,12385,7538,169,20089
Mornington (S),35250,0,0,0,0,0,0,3,5,12,19,5,0,26,7,0,8,36,39,9,93
Mount Isa (C),35300,0,7,0,0,0,7,14,14,26,298,97,22,417,37,24,62,479,292,17,789
Murweh (S),35600,0,0,0,0,0,0,5,5,12,41,23,9,76,3,3,5,81,81,4,164
Napranum (S),35670,0,0,0,0,0,0,0,0,0,11,5,0,15,3,0,5,16,52,0,64
Noosa (S),35740,0,9,0,0,0,9,14,11,38,564,702,42,1310,62,69,131,1443,806,23,2267
North Burnett (R),35760,0,0,0,0,0,0,7,8,16,68,78,13,158,14,0,22,172,143,4,327
Northern Peninsula Area (R),35780,0,0,0,0,0,0,0,0,0,53,32,3,83,16,3,24,105,100,0,204
Palm Island (S),35790,0,0,0,0,0,0,0,0,0,24,20,4,51,6,14,21,68,128,0,200
Paroo (S),35800,0,0,0,0,0,0,3,0,7,23,10,0,43,0,4,4,48,40,0,88
Pormpuraaw (S),36070,0,0,0,0,0,0,0,0,0,4,8,0,11,0,0,3,11,42,0,55
Quilpie (S),36150,0,0,0,0,0,0,0,0,0,12,4,3,17,0,0,0,18,8,0,29
Redland (C),36250,10,36,3,3,7,41,43,23,107,2231,1501,148,3878,165,159,326,4201,2052,58,6310
Richmond (S),36300,0,0,0,0,0,0,0,0,0,17,3,3,19,0,0,3,26,12,0,33
Rockhampton (R),36370,4,14,3,6,6,26,35,23,79,1054,816,102,1968,216,156,373,2343,1651,38,4032
Scenic Rim (R),36510,0,13,3,0,3,10,14,5,29,383,392,34,811,50,40,95,905,689,21,1614
Somerset (R),36580,3,5,0,0,0,5,8,6,24,205,190,33,425,46,37,84,512,540,13,1069
South Burnett (R),36630,4,10,0,3,4,8,23,12,42,271,295,31,596,53,43,102,698,704,30,1436
Southern Downs (R),36660,6,14,0,0,0,16,17,14,44,295,346,51,688,54,53,107,800,660,21,1486
Sunshine Coast (R),36720,20,86,3,3,5,90,92,45,230,3412,3652,347,7404,340,394,735,8135,4213,92,12447
Tablelands (R),36820,0,10,0,0,0,8,14,7,38,237,235,22,497,55,44,95,592,485,17,1092
Toowoomba (R),36910,3,29,0,3,7,32,52,24,108,1852,1503,157,3511,245,202,447,3958,2580,58,6589
Torres (S),36950,0,6,0,0,0,6,6,3,16,50,27,9,86,8,3,9,97,70,9,175
Torres Strait Island (R),36960,0,3,0,0,0,3,7,0,12,58,61,8,121,14,8,17,136,206,8,356
