lga_name_2016,lga_code_2016,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot
Hilltops (A),13910,0,0,0,70,59,5,0,55,3,30,4,8,3,19,103,287,0,0,0,4,0,3,0,0,0,0,7,14,365,88,25,543,47,298,20,88,32,178,112,1786
Hornsby (A),14000,20,68,3,5710,433,56,16,410,33,206,16,83,37,127,1097,2520,21,5,5,32,5,17,5,3,3,8,30,146,5872,785,129,6708,653,4365,158,959,184,1282,1159,22244
Hunters Hill (A),14100,3,19,0,849,32,7,0,47,3,23,3,13,4,18,123,275,3,0,0,0,0,4,0,0,0,0,3,17,478,48,16,549,52,344,18,84,9,107,131,1838
Inner West (A),14170,30,71,11,6063,246,35,10,232,27,141,14,58,18,133,908,1829,18,0,3,17,6,8,0,4,0,12,38,104,4966,713,158,5529,845,3204,144,793,177,1441,988,18951
Inverell (A),14200,0,0,0,63,40,4,8,25,0,13,0,7,0,12,79,203,0,3,0,0,0,0,0,3,0,3,5,11,355,69,24,426,36,229,20,84,24,189,96,1553
Junee (A),14300,0,0,0,32,14,0,0,10,0,9,0,0,0,4,19,63,0,0,0,0,0,0,0,0,0,3,3,6,146,20,10,158,20,87,8,23,10,47,21,543
Kempsey (A),14350,3,4,0,61,45,7,0,63,7,17,4,13,7,37,103,306,3,0,0,3,0,3,0,0,3,10,13,34,415,121,36,596,63,323,39,173,37,356,129,2293
Kiama (A),14400,0,0,0,368,59,14,3,69,9,22,4,9,9,21,146,368,0,0,5,0,0,0,0,0,0,3,0,9,495,117,26,884,115,349,27,127,31,190,154,2524
Ku-ring-gai (A),14500,29,171,5,7826,339,60,10,370,12,268,11,75,26,126,1256,2548,22,3,11,36,5,12,3,4,9,10,37,159,4709,589,94,5389,442,3952,117,800,131,1185,1301,18710
Kyogle (A),14550,0,0,0,34,9,4,0,16,0,9,0,3,3,15,37,93,0,0,0,0,0,0,0,0,0,3,0,11,163,38,4,164,12,101,10,51,11,117,37,713
Lachlan (A),14600,0,0,0,30,23,3,0,18,0,6,0,0,7,3,25,92,4,0,0,0,0,0,0,0,0,0,0,9,122,15,21,180,20,112,7,18,12,53,27,593
Lake Macquarie (C),14650,15,31,3,2373,399,73,29,432,36,217,28,103,28,203,1150,2690,31,6,6,37,3,17,3,9,10,36,45,208,4589,892,185,7920,810,3719,297,1113,254,2080,1238,23096
Lane Cove (A),14700,13,22,3,1971,84,15,6,77,9,56,0,14,3,12,255,538,7,0,6,3,0,3,0,0,6,0,6,40,1257,149,36,1378,169,990,39,197,44,207,264,4722
Leeton (A),14750,0,0,0,59,37,7,0,19,5,7,0,3,0,5,50,139,0,0,0,0,0,0,0,0,0,0,3,8,295,31,9,337,53,197,9,43,11,87,62,1133
Lismore (C),14850,4,4,3,198,73,22,4,68,5,31,7,21,0,34,188,449,0,0,5,0,0,3,0,0,3,10,15,32,892,260,32,1204,115,575,48,282,47,368,207,4034
Lithgow (C),14870,0,4,0,191,31,9,0,50,4,35,0,10,4,23,83,251,3,0,5,3,0,3,0,0,3,9,4,29,360,75,24,621,72,307,24,101,34,228,100,1936
Liverpool (C),14900,23,108,9,2530,405,56,42,333,47,350,14,119,68,423,1137,3001,25,10,25,27,5,17,9,17,15,61,110,313,6599,899,239,5995,767,6378,213,1972,481,4609,1340,29481
Liverpool Plains (A),14920,0,3,0,32,24,0,0,22,0,9,0,4,0,7,33,108,3,0,0,5,0,0,0,0,0,3,0,14,152,21,4,199,20,147,5,24,16,76,40,716
Lockhart (A),14950,0,0,0,17,7,4,0,14,0,3,0,0,0,8,14,58,3,0,0,0,0,0,0,0,0,0,0,4,69,9,3,116,18,51,0,17,0,29,14,323
Maitland (C),15050,3,13,0,968,167,20,10,191,9,89,5,34,10,57,550,1141,8,0,5,17,3,3,0,3,3,12,17,72,2022,308,75,3121,348,1778,96,415,119,673,577,9533
Mid-Coast (A),15240,4,3,6,265,148,39,14,161,11,88,17,46,14,102,399,1041,9,0,3,12,3,6,0,3,8,20,26,95,1261,423,69,1970,201,1090,109,587,130,1049,458,7357
Mid-Western Regional (A),15270,0,0,0,222,55,18,0,65,7,32,3,15,7,26,121,347,3,0,0,0,0,3,3,0,4,3,11,26,430,101,27,799,78,497,30,121,35,214,138,2485
Moree Plains (A),15300,0,3,0,80,51,4,3,37,7,22,0,3,4,13,63,201,7,0,3,5,0,7,0,0,0,4,4,33,339,33,19,360,44,189,14,32,17,101,68,1219
Mosman (A),15350,11,65,0,1757,50,21,3,66,7,89,0,26,4,27,270,557,3,0,3,3,0,3,0,0,0,0,7,27,760,109,23,921,103,893,27,166,35,200,278,3511
Murray River (A),15520,0,0,0,61,35,0,0,23,3,15,0,3,0,4,71,161,0,3,0,3,0,0,0,0,0,0,0,8,292,50,13,374,39,144,16,43,15,46,75,1119
Murrumbidgee (A),15560,0,0,0,16,26,0,3,18,3,9,0,3,0,5,15,76,3,0,0,0,0,0,0,0,0,0,3,3,110,16,10,120,12,66,5,19,3,22,20,401
Muswellbrook (A),15650,0,3,0,180,38,0,4,45,0,25,3,4,3,14,77,209,0,0,3,5,0,0,0,0,0,0,9,17,331,55,25,525,62,380,24,67,33,141,91,1741
Nambucca (A),15700,0,0,0,45,18,13,0,34,3,24,0,13,4,25,66,213,0,0,0,0,0,0,0,0,0,3,3,17,259,100,12,364,37,242,29,162,21,232,77,1541
Narrabri (A),15750,0,0,0,97,45,3,8,38,0,20,0,3,0,12,60,197,7,0,0,3,0,3,0,0,0,0,3,16,343,38,22,441,51,206,15,41,11,91,67,1316
Narrandera (A),15800,0,0,0,23,17,7,0,20,0,9,0,3,0,9,31,94,0,0,0,0,0,0,0,0,0,0,0,5,137,15,11,174,22,83,12,26,4,49,31,559
Narromine (A),15850,0,0,0,37,21,5,0,14,0,6,0,4,0,4,41,99,0,0,0,0,0,0,0,0,0,0,4,13,164,22,6,164,17,82,11,23,6,48,51,605
Newcastle (C),15900,9,29,0,2103,254,42,11,255,31,140,10,61,15,112,909,1853,17,0,14,14,12,9,3,9,4,16,39,133,3145,670,124,5499,645,2544,168,788,179,1301,984,16046
North Sydney (A),15950,11,28,0,2448,68,20,3,66,8,51,3,18,7,32,370,647,3,3,0,7,0,3,0,0,0,0,8,34,1495,186,58,1542,369,1337,48,208,60,239,384,5927
Northern Beaches (A),15990,51,176,12,10704,661,116,32,771,59,352,20,168,30,203,1881,4300,34,10,25,57,14,30,4,10,4,18,60,272,8082,1361,283,12399,1181,5820,300,1375,266,1727,1995,34793
Oberon (A),16100,0,0,0,42,19,0,0,18,0,3,0,0,0,5,32,92,5,0,0,0,0,0,0,0,0,0,0,7,133,27,6,150,17,76,3,18,12,31,33,505
Orange (C),16150,5,3,0,449,88,6,0,97,6,36,8,12,3,25,228,504,3,0,4,3,0,0,0,0,0,7,7,28,1080,134,39,1411,176,672,45,182,46,267,245,4283
Parkes (A),16200,0,0,0,81,34,5,0,37,3,19,0,3,0,13,92,225,0,0,0,3,0,0,0,0,0,4,10,18,327,41,9,452,55,243,12,52,22,141,111,1460
Parramatta (C),16260,12,76,3,4186,360,60,25,319,34,263,9,109,47,211,1449,2897,32,3,14,22,8,8,3,5,4,15,93,206,7349,1075,220,6911,915,7785,216,1844,395,2804,1595,31093
Cowra (A),12350,0,0,0,55,36,3,4,25,4,16,0,3,3,17,48,155,0,0,3,0,0,0,0,0,0,8,0,11,274,41,13,366,37,166,16,44,17,133,56,1163
Cumberland (A),12380,16,106,3,1940,257,68,22,218,33,374,9,190,93,448,1272,2979,8,5,12,24,13,19,3,9,31,82,158,358,5073,965,212,4615,603,7127,186,2836,616,5165,1553,28943
Dungog (A),12700,0,0,0,74,21,8,4,28,0,15,6,5,0,7,52,140,0,0,0,3,0,0,0,0,0,5,3,14,205,57,16,318,31,164,14,45,17,91,58,1007
Edward River (A),12730,0,0,0,53,25,0,3,25,0,9,0,3,3,3,46,120,0,0,0,6,0,0,0,0,0,0,3,15,202,24,10,271,18,98,17,35,10,55,51,797
Eurobodalla (A),12750,3,8,0,111,47,21,3,56,4,27,3,26,5,43,155,396,3,3,0,4,0,0,0,0,0,5,11,36,508,205,26,803,64,363,22,221,37,371,181,2807
Burwood (A),11300,8,28,3,756,63,15,9,47,8,32,0,11,9,38,207,432,3,0,7,3,0,3,0,0,3,0,13,30,968,180,34,891,112,790,28,272,44,473,222,4024
Byron (A),11350,0,6,0,224,44,31,5,71,5,26,6,25,4,33,214,460,7,0,0,4,3,3,0,3,0,0,9,28,436,354,42,798,67,342,48,252,46,239,240,2862
Cabonne (A),11400,3,0,3,150,48,9,0,38,3,8,0,5,0,18,93,223,3,0,0,0,0,0,0,0,0,0,4,21,406,57,13,550,56,219,22,48,23,90,106,1593
Camden (A),11450,0,23,0,1507,226,18,9,170,30,130,20,29,18,61,412,1129,22,3,3,20,5,13,3,3,8,8,24,104,3322,307,122,3688,575,2136,109,352,111,568,456,11745
Campbelltown (C) (NSW),11500,11,36,3,1418,328,34,16,246,38,262,15,101,45,269,725,2073,35,3,12,14,3,19,4,3,3,48,72,212,4792,612,152,4445,576,4906,169,1286,313,2287,856,20390
Canada Bay (A),11520,12,48,6,3041,173,36,5,162,26,93,4,24,9,98,522,1159,5,0,10,10,3,6,4,0,3,10,12,73,2728,380,65,2944,423,2073,98,482,90,902,558,10740
Canterbury-Bankstown (A),11570,23,214,6,3815,457,100,73,416,62,565,32,284,121,741,1953,4804,42,0,31,27,11,36,3,13,45,89,236,539,8005,1724,356,8549,1027,10705,362,4432,873,7921,2380,46332
Carrathool (A),11600,0,0,0,19,11,3,0,8,0,6,0,3,0,0,14,53,0,0,4,0,0,0,0,0,0,0,0,3,63,17,5,93,17,43,5,12,4,6,17,281
Central Coast (C) (NSW),11650,17,51,0,3229,648,122,48,789,84,410,37,175,65,328,1730,4450,38,13,32,63,3,30,3,12,11,47,88,342,7213,1472,337,11921,1258,6574,401,1828,477,2930,1908,36311
Central Darling (A),11700,0,0,0,7,7,0,0,4,0,3,0,0,0,3,5,27,3,0,0,0,0,0,0,0,0,0,0,7,35,5,4,14,3,32,0,5,0,36,8,141
Cessnock (C),11720,0,8,0,429,100,14,6,102,15,63,7,40,12,61,259,671,7,0,7,7,0,8,0,3,0,8,15,53,1040,228,66,1729,195,1122,78,332,81,709,293,5869
Clarence Valley (A),11730,0,9,0,151,79,29,9,103,11,52,3,30,6,66,237,626,4,4,3,6,0,0,0,0,9,10,8,47,763,252,38,1154,124,712,61,311,80,588,265,4348
Cobar (A),11750,0,0,0,49,14,0,0,13,0,3,0,0,0,3,26,60,0,0,0,0,0,0,0,0,0,3,0,6,110,8,7,122,13,105,9,8,16,22,30,460
Coffs Harbour (C),11800,0,10,0,387,134,36,4,136,15,75,10,43,6,76,370,912,6,3,6,10,3,0,0,0,3,17,21,62,1463,433,51,2152,205,1133,88,435,74,685,413,7141
Coolamon (A),12000,0,5,0,32,18,0,0,16,4,0,0,0,0,5,28,68,0,0,0,3,0,0,0,0,0,0,0,3,114,15,3,130,21,62,4,14,5,44,29,449
Coonamble (A),12150,0,0,0,9,17,0,0,11,0,0,0,0,0,5,10,53,0,0,0,0,0,0,0,0,0,0,3,8,75,9,5,69,15,41,13,12,4,33,18,291
Fairfield (C),12850,15,136,3,1456,276,69,31,227,29,358,14,163,72,604,949,2791,32,0,12,10,3,12,0,17,12,112,177,400,4025,837,183,3526,383,5720,145,2569,479,7198,1245,26313
Federation (A),12870,0,0,0,44,31,3,4,39,7,14,0,6,0,10,67,178,4,0,0,3,0,0,0,0,0,3,4,23,264,40,17,376,37,163,15,44,5,66,79,1110
Forbes (A),12900,0,0,0,44,31,0,0,17,3,9,3,3,0,11,34,119,4,0,5,3,0,0,0,0,0,7,3,16,222,29,16,282,37,142,16,42,4,63,44,896
Georges River (A),12930,10,98,8,3099,290,62,21,256,33,207,18,82,32,184,920,2116,15,0,19,18,4,10,3,0,3,13,54,142,4427,829,170,5026,553,3975,162,1280,224,1945,1005,19592
Gilgandra (A),12950,0,0,0,11,15,3,3,13,0,10,3,0,0,0,26,75,0,0,0,0,0,0,0,0,0,0,3,4,84,21,6,106,17,56,3,13,3,28,25,369
Glen Innes Severn (A),13010,0,0,0,31,22,4,0,16,4,3,0,4,0,6,40,106,0,0,0,0,0,3,0,0,0,0,0,7,173,36,7,189,18,97,12,49,4,78,39,716
Goulburn Mulwaree (A),13310,0,5,0,209,59,13,7,56,3,23,12,12,6,24,157,368,6,0,3,7,0,3,0,3,3,4,4,33,730,117,24,871,110,482,54,144,46,231,169,2972
Greater Hume Shire (A),13340,0,3,0,76,31,0,0,35,0,10,0,4,3,8,63,156,0,0,0,0,0,3,0,0,0,5,0,9,229,57,10,414,48,165,21,56,11,74,67,1153
Griffith (C),13450,3,3,0,184,86,4,5,84,6,36,5,7,4,21,120,390,6,0,3,5,3,6,0,0,0,9,17,51,673,86,30,1019,98,486,29,111,29,251,152,2957
Gundagai (A),13510,0,3,0,50,38,3,0,26,0,18,3,7,3,10,57,163,6,0,0,3,0,0,0,0,0,0,5,21,219,43,9,331,36,149,13,36,20,106,66,1030
Gunnedah (A),13550,0,0,0,111,44,0,0,26,9,6,3,5,0,5,71,173,3,0,0,0,0,0,0,0,0,3,3,15,297,43,14,411,56,220,12,51,25,99,80,1308
Gwydir (A),13660,0,0,0,13,27,0,4,5,0,5,0,0,0,3,29,74,0,0,0,4,0,0,0,0,0,3,0,11,107,15,4,145,12,86,9,20,3,47,29,470
Hawkesbury (C),13800,7,12,0,990,199,20,11,194,24,99,6,30,13,47,324,970,24,5,15,15,3,4,0,3,8,8,21,107,2177,274,86,2792,268,1485,79,295,96,473,367,8393
Hay (A),13850,0,0,0,15,12,0,0,12,0,3,0,0,0,3,22,53,0,0,0,0,0,0,0,0,0,0,0,5,58,17,0,67,13,44,3,12,3,26,25,273
Penrith (C),16350,18,60,7,2610,454,41,26,392,40,268,23,107,35,208,869,2463,37,0,22,36,5,21,0,5,18,31,77,260,6786,648,229,7013,987,5257,217,1073,320,1863,1017,25421
Port Macquarie-Hastings (A),16380,6,9,0,466,118,33,7,134,16,65,3,31,4,78,373,854,14,0,7,15,0,3,0,3,3,16,11,75,1580,373,71,2214,181,1080,87,404,86,705,400,7192
Port Stephens (A),16400,4,10,0,560,124,36,6,148,13,94,6,41,13,72,487,1045,6,0,5,11,4,3,3,3,0,7,8,58,1418,298,83,2210,235,1247,77,399,89,666,522,7243
Queanbeyan-Palerang Regional (A),16490,4,7,3,1496,181,17,14,115,18,63,0,22,8,38,401,867,9,3,3,7,3,3,0,0,4,0,18,50,2389,202,86,1943,353,1018,73,220,75,314,431,7107
Randwick (C),16550,18,81,7,4506,267,37,13,259,28,129,6,53,7,99,831,1730,23,0,15,24,4,13,4,0,6,14,22,117,3764,548,136,4319,598,2523,111,603,116,999,884,14593
Richmond Valley (A),16610,0,3,0,48,35,15,0,32,3,22,8,15,0,34,87,256,3,0,0,0,0,3,0,0,0,11,0,18,420,132,24,539,60,361,35,165,29,277,91,2141
Rockdale (C),16650,10,51,0,1484,184,38,18,173,24,133,13,71,19,156,620,1434,13,3,14,14,6,7,0,3,8,15,42,125,2816,520,117,2992,426,2652,116,952,201,1474,686,12949
Ryde (C),16700,11,79,0,3198,191,35,14,188,17,126,11,61,18,124,744,1525,18,0,6,23,4,7,0,0,5,7,35,112,3666,530,111,3896,501,3181,125,788,155,1233,800,14982
Shellharbour (C),16900,6,10,0,690,129,22,7,172,22,107,7,41,17,90,376,989,7,0,3,7,3,9,0,4,4,16,9,62,1625,295,67,2844,298,1567,97,444,105,785,404,8532
Shoalhaven (C),16950,3,18,3,468,157,45,14,184,20,95,13,46,17,107,522,1212,10,5,7,16,3,6,0,3,6,16,22,96,1583,475,83,2662,274,1445,100,589,122,1023,582,8936
Singleton (A),17000,3,4,0,410,54,9,3,71,3,32,9,8,0,20,132,345,7,0,4,9,0,3,0,0,4,3,6,33,521,78,17,987,101,640,32,102,42,189,141,2854
Snowy Monaro Regional (A),17040,0,0,0,133,77,8,3,42,8,14,3,3,0,9,110,285,3,0,3,5,0,0,0,0,0,3,6,28,603,88,26,594,80,226,29,66,22,107,127,1970
Snowy Valleys (A),17080,0,0,0,45,42,8,0,43,0,27,3,3,3,12,81,222,3,0,3,0,0,3,0,0,0,0,0,20,293,59,17,442,37,228,20,50,22,116,88,1378
The Hills Shire (A),17420,31,122,7,6782,488,70,22,450,34,298,19,97,33,168,1240,2916,41,8,26,30,5,18,6,5,10,10,38,189,7548,887,179,7659,707,5136,186,1047,222,1513,1322,26403
Tweed (A),17550,6,4,0,550,149,49,4,183,10,95,3,72,3,70,479,1130,10,0,4,12,0,3,3,3,4,10,30,84,1529,510,70,2786,252,1423,114,606,87,836,545,8751
Upper Hunter Shire (A),17620,0,0,0,136,43,0,5,41,12,16,3,8,4,8,68,196,3,0,0,0,0,0,0,0,0,3,6,19,379,57,22,450,48,269,26,59,22,87,77,1492
Upper Lachlan Shire (A),17640,0,0,0,44,33,5,0,31,4,12,0,3,0,7,34,125,0,0,0,0,0,0,0,0,0,0,4,5,196,37,14,259,25,99,11,32,10,58,42,791
Uralla (A),17650,0,0,0,23,19,0,0,11,0,4,0,3,3,4,45,88,0,0,0,0,0,0,0,0,3,3,0,12,143,27,3,198,19,69,6,42,6,55,51,631
Wagga Wagga (C),17750,0,6,4,544,136,15,4,151,16,54,6,10,3,25,381,799,9,0,6,11,0,7,0,0,0,12,20,65,1807,206,52,2179,268,1010,77,227,53,358,416,6648
Walcha (A),17850,0,0,0,19,21,4,0,12,0,9,0,0,0,3,11,57,0,0,0,0,0,0,0,0,0,0,4,7,91,14,0,103,5,56,3,11,3,12,13,312
Walgett (A),17900,0,0,0,16,17,3,0,16,3,8,0,0,0,12,14,79,0,0,0,0,0,0,0,0,0,0,3,10,86,12,9,105,16,53,3,26,9,83,17,420
Warren (A),17950,0,0,0,12,21,0,0,5,3,3,0,3,0,3,16,56,0,0,0,0,0,0,0,0,0,0,0,0,91,5,0,62,5,36,6,5,4,16,20,250
Warrumbungle Shire (A),18020,0,0,0,28,37,7,0,35,0,12,3,4,0,7,37,146,3,0,4,3,0,0,0,0,0,4,0,14,158,38,5,246,20,99,13,41,10,97,47,774
Waverley (A),18050,9,34,0,2674,121,25,3,157,4,80,8,37,4,39,419,885,10,0,9,11,4,3,0,0,5,7,15,67,1580,263,48,2198,296,1282,55,268,55,272,441,6754
Weddin (A),18100,0,0,0,26,3,3,0,16,0,3,0,0,0,3,16,46,0,0,0,0,0,0,0,0,0,0,0,4,63,10,3,122,15,36,5,19,4,29,16,320
Wentworth (A),18200,0,0,0,40,22,3,0,28,3,7,0,3,3,3,41,110,0,0,0,0,0,0,0,0,3,5,0,11,159,18,6,210,28,86,14,19,15,72,44,676
Western Plains Regional (A),18230,4,6,0,344,134,22,12,120,13,52,0,14,3,38,353,761,9,0,7,6,0,3,0,0,3,12,11,47,1444,179,47,1504,198,732,49,160,44,348,376,5075
Willoughby (C),18250,8,70,0,3752,139,26,6,124,12,96,6,41,9,81,707,1244,10,0,7,19,0,4,0,0,3,3,26,74,2408,336,69,2669,353,2409,67,466,77,703,736,10290
Wingecarribee (A),18350,0,8,0,550,129,22,7,137,16,81,7,18,3,44,282,746,11,3,4,10,4,7,0,0,0,6,13,55,1067,236,48,1680,150,854,56,213,37,334,311,4984
Wollondilly (A),18400,0,11,0,919,157,14,10,177,18,95,4,25,7,37,269,821,13,3,8,19,0,10,0,0,5,9,18,87,1826,206,74,2308,266,1203,70,235,72,388,310,6960
Wollongong (C),18450,17,54,6,2907,361,63,21,447,48,266,15,91,32,240,1100,2675,18,0,14,36,4,12,9,3,5,30,41,177,4595,882,196,7727,823,4065,267,1202,280,2485,1178,23697
Woollahra (A),18500,19,72,3,2597,104,19,5,123,3,112,0,34,9,38,369,818,10,0,3,15,3,11,0,4,7,0,8,57,1251,188,32,1529,215,1289,35,271,60,294,391,5567
Yass Valley (A),18710,3,7,0,438,59,6,3,56,3,17,3,4,0,9,94,260,7,0,4,6,0,0,0,0,0,4,4,17,646,73,33,648,104,271,32,67,17,91,104,2086
Unincorporated NSW,19399,0,0,0,8,3,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,41,6,4,23,3,11,0,3,0,0,7,102
No usual address (NSW),19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine (S),20110,0,0,0,49,29,9,4,28,0,20,0,3,0,10,79,182,0,0,0,0,0,0,0,0,0,0,0,5,230,91,14,384,35,163,16,47,16,71,84,1142
Ararat (RC),20260,0,0,0,37,33,7,3,41,0,12,4,4,0,13,57,176,7,0,0,0,0,0,0,0,0,0,0,8,216,49,12,320,41,127,29,57,7,82,57,993
Ballarat (C),20570,3,7,0,827,183,27,8,236,22,107,8,34,8,87,447,1163,15,0,7,20,5,11,0,0,0,19,18,111,1910,448,96,3834,389,1810,119,509,101,772,485,10460
Banyule (C),20660,13,28,0,2786,207,47,17,313,23,187,14,59,18,138,694,1711,30,6,13,36,5,8,4,3,9,18,34,169,2915,644,124,5676,608,2965,172,714,148,1202,760,15931
Bass Coast (S),20740,0,0,0,120,53,18,5,88,6,28,5,26,0,24,128,390,3,3,0,5,0,3,3,0,0,3,9,31,443,189,35,958,92,412,37,201,47,257,150,2825
Baw Baw (S),20830,3,3,0,376,102,13,4,148,19,61,3,25,11,40,238,656,16,0,14,13,3,6,0,5,0,9,7,73,931,232,64,1854,194,1004,73,265,64,340,259,5285
Bayside (C),20910,29,76,3,5045,232,46,9,350,27,182,10,53,13,71,861,1854,17,5,8,35,3,23,0,6,4,12,23,140,2888,464,77,4688,403,2614,97,559,103,686,896,13462
Benalla (RC),21010,0,0,0,59,33,3,3,28,5,13,0,3,0,10,52,158,3,0,0,0,0,0,0,0,0,0,3,10,230,48,12,368,51,208,18,52,15,116,58,1166
Boroondara (C),21110,33,170,12,8386,356,89,20,497,22,305,17,123,22,139,1475,3063,34,0,27,48,12,25,6,3,6,15,44,221,4782,845,153,7058,616,4296,181,1045,171,1432,1550,22119
Brimbank (C),21180,8,64,0,1297,272,66,50,305,56,349,20,165,62,456,938,2740,24,4,25,28,3,20,7,10,14,78,158,371,4280,976,227,5094,616,5621,207,2021,459,4282,1177,24956
